 301 ; 15 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 14 ; Участник № 136 ; 2400 
 302 ; Рубль ; 1892 ; (АГ) ; Ag ; VF-XF ; 36 ; cr18 ; 4998 
 303 ; Рубль ; 1892 ; (АГ) ; Ag ; XF- ; 18 ; Участник № 133 ; 9500 
 304 ; 5 копеек ; 1892 ; СПБ АГ ; Ag ; AU ; 16 ; Участник № 606 ; 800 
 305 ; 1/2 копейки ; 1892 ; СПБ ; Cu ; AU ; 7 ; PSP ; 639 
 306 ; 1/4 копейки ; 1892 ; СПБ ; Cu ; AU ; 14 ; Участник № 133 ; 1500 
 307 ; 25 копеек ; 1893 ; (АГ) АГ ; Ag ; AU ; 35 ; Kolya-kms ; 27074 
 308 ; 20 копеек ; 1893 ; СПБ АГ ; Ag ; AU ; 45 ; Участник № 606 ; 2500 
 309 ; 15 копеек ; 1893 ; СПБ АГ ; Ag ; AU ; 14 ; tisa66 ; 3400 
 310 ; Копейка ; 1893 ; СПБ ; Cu ; AU ; 9 ; hummer ; 1360 
 311 ; 25 копеек ; 1894 ; (АГ) АГ ; Ag ; XF+ ; 25 ; Sky2 ; 9000 
 312 ; 10 копеек ; 1894 ; СПБ АГ ; Ag ; AU ; 11 ; Участник № 30 ; 4800 
 313 ; 25 копеек ; 1895 ; АГ ; Ag ; XF+ ; 16 ; Basilio ; 7038 
 314 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; AU ; 16 ; Участник № 585 ; 34000 
 315 ; Полтина ; 1896 ; ( * ) ; Ag ; XF ; 9 ; Участник № 132 ; 2300 
 316 ; 25 копеек ; 1896 ; АГ ; Ag ; XF- ; 17 ; Участник № 606 ; 2100 
 317 ; Полтина ; 1897 ; ( * ) ; Ag ; XF ; 13 ; андрейх ; 2550 
 318 ; Рубль ; 1898 ; (АГ) На открытие папмятника Ал ; Ag ; VF+ ; 44 ; Gatchina ; 90537 
 319 ; 2 копейки ; 1899 ; СПБ ; Cu ; AU ; 13 ; Участник № 132 ; 2600 
 320 ; 20 копеек ; 1901 ; СПБ ФЗ ; Ag ; AU ; 29 ; fanfan ; 7001 
 321 ; 15 копеек ; 1905 ; СПБ АР ; Ag ; Proof ; 35 ; Участник № 147 ; 11000 
