 151 ; 1/2 копейки ; 1881 ; СПБ ; Cu ; XF- ; 38 ; SSK ; 2550 
 152 ; 1/4 копейки ; 1881 ; СПБ ; Cu ; XF ; 28 ; ANK ; 3672 
 153 ; 1/2 копейки ; 1882 ; СПБ ; Cu ; XF- ; 60 ; SSK ; 1855 
 154 ; 5 рублей ; 1886 ; (АГ) Борода длиннее ; Au ; AU ; 48 ; батя ; 37044 
 155 ; 1/2 копейки ; 1886 ; СПБ ; Cu ; XF ; 46 ; Участник № 147 ; 2600 
 156 ; 1/4 копейки ; 1886 ; СПБ ; Cu ; AU ; 42 ; Участник № 1341 ; 2100 
 157 ; 1/2 копейки ; 1887 ; СПБ ; Cu ; XF- ; 31 ; pmaster ; 1632 
 158 ; 15 копеек ; 1889 ; СПБ АГ ; Ag ; AU ; 69 ; andreyx  ; 3776 
 159 ; 5 копеек ; 1891 ; СПБ АГ ; Ag ; Unc/AU ; 39 ; tisa66 ; 1022 
 160 ; 1/4 копейки ; 1893 ; СПБ ; Cu ; AU ; 39 ; ААФ ; 3111 
 161 ; 10 копеек ; 1894 ; СПБ АГ ; Ag ; AU ; 31 ; 462 ; 1750 
 162 ; Полтина ; 1895 ; (АГ) АГ ; Ag ; XF/AU ; 35 ; Седой ; 9282 
 163 ; Рубль ; 1898 ; ( ** ) ; Ag ; XF/AU ; 51 ; Участник № 1362 ; 12000 
 164 ; Копейка ; 1898 ; СПБ ; Cu ; AU ; 7 ; tisa66 ; 1529 
 165 ; 3 копейки ; 1899 ; СПБ ; Cu ; AU/XF ; 11 ; Участник № 1362 ; 1800 
 166 ; 2 копейки ; 1903 ; СПБ ; Cu ; XF/AU ; 40 ; Участник № 621 ; 950 
 167 ; Рубль ; 1909 ; (ЭБ) ; Ag ; Unc/AU ; 95 ; Участник № 1501 ; 90000 
 168 ; Полтина ; 1909 ; (ЭБ) АГ ; Ag ; VF-XF ; 23 ; Участник № 1177 ; 14200 
 169 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 6 ; ZOLTAN333 ; 8670 
 170 ; Рубль. Редкая датировка ; 1913 ; (ЭБ) ; Ag ; AU ; 82 ; Участник № 1177 ; 85000 
 171 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; XF ; 32 ; antiquar ; 6500 
 172 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; XF-/XF+ ; 28 ; antiquar ; 6000 
 173 ; 1/2 копейки ; 1916 ;  ; Cu ; AU ; 90 ; Участник № 222 ; 8000 
 174 ; 5 копеек ; 1922 ; Вторая государственная шорно-ф ;  ; XF ; 35 ; ghjk ; 15300 
 175 ; 2 копейки ; 1922 ; Вторая государственная шорно-ф ;  ; XF+ ; 19 ; ghjk ; 15402 
