 101 ; 10 копеек ; 1885 ; СПБ АГ ; Ag ; XF+ ; 22 ; Участник № 384 ; 2300 
 102 ; Копейка ; 1885 ; СПБ ; Cu ; XF ; 29 ; ealiev ; 1041 
 103 ; Рубль ; 1886 ; (АГ) ; Ag ; AU ; 43 ; Участник № 51 ; 56000 
 104 ; 10 копеек ; 1886 ; СПБ АГ ; Ag ; AU ; 17 ; Участник № 147 ; 3800 
 105 ; 1/4 копейки ; 1886 ; СПБ ; Cu ; XF+ ; 13 ; TDN ; 1941 
 106 ; Копейка ; 1888 ; СПБ ; Cu ; XF+ ; 36 ; SSK ; 1020 
 107 ; 15 копеек ; 1889 ; СПБ АГ ; Ag ; AU ; 29 ; Участник № 147 ; 3300 
 108 ; 10 копеек ; 1894 ; СПБ АГ ; Ag ; AU ; 31 ; Участник № 147 ; 2600 
 109 ; 1/2 копейки ; 1895 ; СПБ ; Cu ; AU ; 41 ; Участник № 18 ; 3200 
 110 ; Полтина ; 1896 ; (АГ) АГ ; Ag ; XF+ ; 27 ; skylink ; 1804 
 111 ; Полтина ; 1896 ; (АГ) АГ ; Ag ; XF+ ; 15 ; OMT ; 4080 
 112 ; 1/4 копейки ; 1896 ; СПБ ; Cu ; AU ; 14 ; Участник № 1341 ; 1900 
 113 ; Рубль ; 1897 ; (АГ) ; Ag ; XF- ; 11 ; bazis ; 2661 
 114 ; Полтина ; 1897 ; ( * ) ; Ag ; XF ; 13 ; skylink ; 1625 
 115 ; 1/4 копейки ; 1897 ; СПБ ; Cu ; AU ; 18 ; Iova ; 1400 
 116 ; 10 копеек ; 1898 ; СПБ АГ ; Ag ; AU ; 37 ; ZOLTAN333 ; 4896 
 117 ; 1/4 копейки ; 1899 ; СПБ ; Cu ; AU/XF ; 22 ; alex550 ; 1031 
 118 ; Полтина ; 1902 ; (АР) АГ ; Ag ; XF- ; 81 ; Участник № 384 ; 53000 
 119 ; 15 копеек ; 1902 ; СПБ АР ; Ag ; AU ; 32 ; VAP20 ; 3162 
 120 ; Копейка ; 1907 ; СПБ ; Cu ; AU/XF ; 19 ; Iova ; 1224 
 121 ; 5 рублей. М-4,3г ; 1909 ; (ЭБ) ; Au ; AU ; 32 ; нумизмат ; 25857 
 122 ; 5 копеек ; 1911 ; СПБ ; Cu ; XF- ; 19 ; bazis ; 1487 
 123 ; 5 копеек ; 1912 ; СПБ ; Cu ; VF ; 31 ; alex550 ; 2299 
 124 ; 5 копеек ; 1916 ;  ; Cu ; VF- ; 24 ; dimon46 ; 7769 
 125 ; 1/2 копейки ; 1916 ;  ; Cu ; AU ; 30 ; niger ; 9000 
 126 ; 15 копеек ; 1917 ; ВС ; Ag ; XF+ ; 16 ; alex550 ; 2550 
 127 ; 10 копеек ; 1917 ; ВС ; Ag ; AU/XF ; 19 ; pmaster ; 3018 
 128 ; Медаль. Екатерина II и Александр II. За службу и храбрость 1769 - 26.11 -1869. Медальер В.Алексеев. D-70мм ;  ;  ; Br ; VF-XF ; 37 ; Aleksey1975 ; 8925 
 129 ; Медаль. Установка памятника Александру III в Хельсинки 1894г. Александр II император и великий князь. D-68мм ;  ;  ; Br ; AU ; 24 ; Aleksey1975 ; 5610 
 130 ; Знак об окончании не медицинских факультетов Императорских Российских Университетов ;  ;  ; Ag,позол,  ; XF- ; 32 ; Mike! ; 4567 
 131 ; 5 копеек. В капсуле NGC ; 1884 ; СПБ АГ ; Ag ; MS65 ; 14 ; bazis ; 2042 
 132 ; 1/2 копейки. В капсуле NGC ; 1886 ; СПБ ; Cu ; AU 55 ; 24 ; Участник № 1104 ; 3600 
 133 ; 3 копейки. В капсуле PCGS ; 1924 ; Гурт гладкий ; Cu ; MS 62 ; 35 ; Участник № 384 ; 3500 
 134 ; Полушка ; 1735 ; Орёл 1735 г. ; Cu ; XF ; 22 ; Basilio ; 700 
 135 ; 2 копейки ; 1761 ;  ; Cu ; VF+ ; 35 ; Iova ; 3774 
 136 ; 4 копейки ; 1762 ;  ; Cu ; VF+ ; 37 ; SSK ; 13000 
 137 ; 2 копейки ; 1763 ; СПМ ; Cu ; VF+ ; 16 ; ANK ; 1020 
 138 ; 2 копейки ; 1766 ; ММ ; Cu ; VF+ ; 30 ; OMT ; 1683 
 139 ; 2 копейки ; 1766 ; СПМ ; Cu ; VF+ ; 24 ; SSK ; 1286 
 140 ; Денга ; 1766 ; ЕМ ; Cu ; VF+ ; 17 ; 439 ; 651 
 141 ; 2 копейки ; 1777 ; ЕМ ; Cu ; VF+ ; 26 ; OMT ; 3071 
 142 ; Деньга ; 1797 ; ЕМ ; Cu ; XF ; 22 ; Fedor_K ; 5667 
 143 ; 1 копейка ; 1922 ; Вторая государственная шорно-футлярная и чемоданная фабрика (Петроград) ;  ; XF+ ; 24 ; Sky2 ; 8113 
 144 ; Рубль. М-1,6г ; 1756 ;  ; Au ; XF- ; 38 ; Участник № 1837 ; 46000 
 145 ; Рубль. М-1,59г ; 1757 ;  ; Au ; XF- ; 54 ; Участник № 1837 ; 38000 
 51 ; 10 копеек ; 1826 ; СПБ НГ ; Ag ; VF+ ; 23 ; SSK ; 1632 
 52 ; Рубль ; 1830 ; СПБ НГ ; Ag ; VF+ ; 18 ; Участник № 66 ; 5000 
 53 ; 5 копеек (Петров-2р) ; 1831 ; ЕМ ; Cu ; VF+ ; 40 ; ГРУСТНЫЙ КОЛОБОК ; 7242 
 54 ; 5 копеек ; 1832 ; СПБ НГ ; Ag ; XF+ ; 33 ; Участник № 4 ; 7500 
 55 ; Рубль ; 1833 ; СПБ НГ ; Ag ; XF-/VF+ ; 21 ; Участник № 66 ; 5500 
 56 ; 5 копеек ; 1835 ; ЕМ ФХ ; Cu ; VF-XF ; 18 ; Участник № 147 ; 3600 
 57 ; 15 копеек-1 злотый ; 1837 ; MW Рус.-Пол. ; Ag ; XF ; 34 ; serg2010 ; 4162 
 58 ; 10 копеек ; 1837 ; СПБ НГ ; Ag ; VF+ ; 26 ; ф555 ; 1700 
 59 ; 25 копеек ; 1838 ; СПБ НГ ; Ag ; VF-XF ; 15 ; SSK ; 2618 
 60 ; 10 грошей ; 1840 ; MW Рус.-Пол. ; Ag ; AU ; 41 ; OMT ; 3768 
 61 ; 3 гроша ; 1840 ; MW Рус.-Пол. ; Cu ; VF+ ; 41 ; OMT ; 7901 
 62 ; 1/2 копейки ; 1841 ; СПМ ; Cu ; VF+ ; 33 ; SSK ; 1061 
 63 ; 10 копеек ; 1843 ; СПБ АЧ ; Ag ; VF ; 31 ; ZOLTAN333 ; 5304 
 64 ; 10 копеек ; 1844 ; СПБ КБ ; Ag ; VF+ ; 44 ; vvt ; 13726 
 65 ; 10 копеек ; 1845 ; СПБ КБ ; Ag ; VF-XF ; 15 ; OMT ; 1581 
 66 ; 10 копеек ; 1847 ; СПБ ПА ; Ag ; VF-XF ; 13 ; OMT ; 1581 
 67 ; 20 копеек ; 1848 ; СПБ HI ; Ag ; XF- ; 23 ; OMT ; 3397 
 68 ; 5 копеек ; 1851 ; СПБ ПА ; Ag ; AU ; 19 ; robocop ; 3264 
 69 ; Рубль (Петров-4р). Редкие буквы минцмейстера для этого года ; 1852 ; СПБ HI ; Ag ; XF ; 45 ; serg2010 ; 25011 
 70 ; 5 копеек ; 1852 ; СПБ ПА ; Ag ; AU ; 37 ; SSK ; 3675 
 71 ; Денежка ; 1852 ; ЕМ ; Cu ; AU ; 41 ; ealiev ; 6375 
 72 ; 5 копеек (Ильин-10р) ; 1853 ; ЕМ ; Cu ; F+ ; 63 ; арбат ; 10385 
 73 ; Копейка (Петров-3р) ; 1855 ; ВМ ; Cu ; VF+ ; 11 ; ealiev ; 2142 
 74 ; 20 копеек ; 1856 ; СПБ ФБ ; Ag ; VF-XF ; 25 ; 462 ; 3397 
 75 ; Копейка ; 1856 ; ВМ ; Cu ; VF+ ; 30 ; dimon46 ; 2142 
 76 ; Денежка ; 1859 ; ВМ ; Cu ; XF+ ; 17 ; ГРУСТНЫЙ КОЛОБОК ; 4590 
 77 ; 10 копеек. Особый тип герба ; 1860 ; СПБ ФБ ; Ag ; XF+/XF- ; 30 ; Iova ; 2346 
 78 ; 20 копеек ; 1861 ; СПБ ; Ag ; AU/XF ; 19 ; ф555 ; 1020 
 79 ; 10 копеек ; 1861 ; СПБ ФБ ; Ag ; AU/XF ; 12 ; ф555 ; 816 
 80 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 11 ; ф555 ; 805 
 81 ; Денежка ; 1861 ; ВМ ; Cu ; XF- ; 15 ; SSK ; 3400 
 82 ; 10 копеек ; 1862 ; СПБ МИ ; Ag ; XF/AU ; 25 ; suen-tasu ; 2412 
 83 ; 20 копеек ; 1863 ; СПБ АБ ; Ag ; AU/XF ; 37 ; OMT ; 1226 
 84 ; 10 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 44 ; Fedor_K ; 3701 
 85 ; Копейка ; 1863 ; ВМ ; Cu ; VF+ ; 34 ; нумизмат ; 3800 
 86 ; 20 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 16 ; alex550 ; 2562 
