 101 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; XF+ ; 6 ; Корсар ; 3366 
 102 ; 25 копеек ; 1860 ; СПБ ФБ ; Ag ; AU/XF ; 18 ; каламбурчик ; 7140 
 103 ; 10 копеек (Тип герба - 1859 г.) ; 1860 ; СПБ ФБ ; Ag ; XF ; 48 ; SSK ; 11220 
 104 ; 5 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 9 ; каламбурчик ; 5000 
 105 ; 20 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 10 ; 104 кг ; 2222 
 106 ; 5 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 33 ; verunk1 ; 7752 
 107 ; Копейка ; 1868 ; СПБ ; Cu ; VF+ ; 37 ; SSK ; 3366 
 108 ; Полтина ; 1877 ; СПБ HI ; Ag ; XF- ; 16 ; Продано в зале ; 5500 
 109 ; 25 копеек ; 1877 ; СПБ HI ; Ag ; XF- ; 20 ; каламбурчик ; 3570 
 110 ; 5 копеек ; 1877 ; СПБ HI ; Ag ; XF+ ; 7 ; каламбурчик ; 3966 
 111 ; 20 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 10 ; ААФ ; 1520 
 112 ; Рубль ; 1880 ; СПБ НФ ; Ag ; XF ; 20 ; suren ; 14000 
 113 ; 10 копеек. В капсуле NGC ; 1880 ; СПБ НФ ; Ag ; MS 64 ; 29 ; verunk1 ; 6120 
 114 ; Рубль ; 1884 ; СПБ АГ ; Ag ; XF- ; 25 ; suren ; 20408 
 115 ; Копейка ; 1885 ; СПБ ; Cu ; XF ; 24 ; Продано в зале ; 3400 
 116 ; 20 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 16 ; 104 кг ; 2132 
 117 ; Рубль ; 1892 ; (АГ) ; Ag ; XF+ ; 17 ; OMT ; 25704 
 118 ; 1/4 копейки ; 1892 ; СПБ ; Cu ; AU ; 21 ; SSK ; 2550 
 119 ; Полтина ; 1894 ; (АГ) ; Ag ; XF+ ; 23 ; каламбурчик ; 18800 
 120 ; 25 копеек ; 1895 ; АГ ; Ag ; AU ; 15 ; Янкель ; 6120 
 121 ; 25 копеек ; 1896 ; АГ ; Ag ; AU ; 33 ; каламбурчик ; 7652 
 122 ; Рубль ; 1897 ; ( ** ) ; Ag ; XF- ; 24 ; Продано в зале ; 4200 
 123 ; Полтина ; 1901 ; (ФЗ) АГ ; Ag ; VF-XF ; 21 ; Продано в зале ; 10000 
 124 ; Рубль ; 1903 ; (АР) ; Ag ; VF+ ; 46 ; ksv11 ; 20000 
 125 ; 20 копеек ; 1907 ; СПБ ЭБ ; Ag ; AU ; 25 ; verunk1 ; 1377 
 126 ; Рубль ; 1911 ; (ЭБ) ; Ag ; VF-XF ; 20 ; suren ; 9000 
 127 ; 5 копеек ; 1911 ; СПБ ; Cu ; AU ; 20 ; SSK ; 4443 
 128 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; XF- ; 30 ; suren ; 7661 
 129 ; 1 марка ; 1915 ; S Финляндия ; Ag ; AU ; 30 ; 104 кг ; 1567 
 130 ; 20 копеек ; 1917 ; ВС ; Ag ; AU ; 41 ; PrimeR ; 39270 
 131 ; 15 копеек ; 1917 ; ВС ; Ag ; AU ; 16 ; dali ; 3535 
 132 ; 10 копеек ; 1917 ; ВС ; Ag ; AU ; 24 ; dali ; 3125 
 133 ; 5 пенни ; 1917 ; Финляндия. Орёл ; Cu ; AU ; 1 ; Продано в зале ; 240 
 134 ; 1 копейка ; 1924 ; Гурт рубчатый ; Cu ; XF+ ; 33 ; Продано в зале ; 4500 
 135 ; 20 копеек ; 1929 ; в СССР С округлые, шт. 3 коп.1926 ; Ag ; XF ; 49 ; sergey8 ; 8619 
 136 ; 10 копеек ; 1958 ;  ; Cu-Ni ; XF ; 41 ; Fedor_K ; 29000 
 137 ; Георгиевский крест IV ст. № 447994 ; 1914-1915 ;  ; Ag ; VF-XF ; 33 ; Продано в зале ; 11500 
 138 ; Медаль. За усердие. Имп. Николай II. D-30мм ;  ;  ; Ag ; XF ; 23 ; verunk1 ; 4793 
 139 ; Медаль Красного креста. В память Русско-Японской войны. D-24мм ;  ;  ; Ag, эмаль ; XF ; 18 ; Продано в зале ; 8500 
 140 ; Жетон. Община Св. Елисаветы. Р-ры: 45х26мм ;  ;  ; Ag, эмаль ; XF+ ; 22 ; Продано в зале ; 10000 
 141 ; Медаль от министерства земледелия и государственных имуществ. Имп. Александр III и Николай II. D-51мм ;  ;  ; Ag ; AU/XF ; 38 ; suren ; 17850 
 142 ; Медаль. В память посещения Тюменской выставки местных производителей 27 июля 1868г. D-36мм ;  ;  ; Ж/м ; AU ; 24 ; revd ; 12240 
 51 ; 2 копейки ; 1801 ; КМ ; Cu ; VF+ ; 8 ; Олег33 ; 380 
 52 ; Деньга (Ильин-5р) ; 1801 ; ЕМ ; Cu ; F+ ; 36 ; suren ; 8300 
 53 ; Рубль ; 1804 ; СПБ ФГ ; Ag ; VF+ ; 66 ; Продано в зале ; 26000 
 54 ; 10 копеек (Петров-1р) ; 1804 ; СПБ ФГ ; Ag ; VF+ ; 15 ; Продано в зале ; 29000 
 55 ; 5 копеек ; 1804 ; ЕМ ; Cu ; VF-XF ; 15 ; Продано в зале ; 3000 
 56 ; 5 копеек ; 1809 ; КМ ; Cu ; VF+ ; 26 ; Продано в зале ; 9000 
 57 ; Деньга (Петров-10р, Ильин-10р) ; 1811 ; КМ ПБ ; Cu ; F ; 19 ; Продано в зале ; 7400 
 58 ; Рубль ; 1813 ; СПБ ПС ; Ag ; VF-XF ; 20 ; Продано в зале ; 6500 
 59 ; Копейка ; 1814 ; ИМ ПС ; Cu ; VF+ ; 49 ; SSK ; 4400 
 60 ; 20 копеек ; 1818 ; СПБ ПС ; Ag ; VF-XF ; 17 ; dimon46 ; 3122 
 61 ; 5 копеек ; 1822 ; СПБ ПД ; Ag ; AU/XF ; 29 ; verunk1 ; 7810 
 62 ; 20 копеек ; 1823 ; СПБ ПД ; Ag ; XF ; 19 ; ksv11 ; 2600 
 63 ; 5 копеек ; 1823 ; СПБ ПД ; Ag ; XF+ ; 12 ; verunk1 ; 3927 
 64 ; 10 копеек (Петров-4р, Ильин-4р) ; 1825 ; СПБ НГ ; Ag ; VF+ ; 32 ; ZOLTAN333 ; 9497 
 65 ; 25 копеек ; 1829 ; СПБ НГ ; Ag ; VF-XF ; 19 ; dimon46 ; 3000 
 66 ; Копейка ; 1829 ; КМ АМ ; Cu ; VF ; 11 ; ААФ ; 400 
 67 ; Рубль ; 1830 ; СПБ НГ ; Ag ; XF- ; 19 ; liderssen ; 10098 
 68 ; 25 копеек ; 1830 ; СПБ НГ ; Ag ; VF-XF ; 16 ; Продано в зале ; 6500 
 69 ; 25 копеек ; 1831 ; СПБ НГ ; Ag ; XF- ; 37 ; нумизмат ; 9813 
 70 ; 5 копеек ; 1831 ; ЕМ ФХ ; Cu ; VF+ ; 6 ; 104 кг ; 550 
 71 ; 5 копеек ; 1833 ; СПБ НГ ; Ag ; XF ; 13 ; verunk1 ; 3723 
 72 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; VF-XF ; 17 ; ksv11 ; 2267 
 73 ; 1,5 рубля-10 злотых ; 1835 ; НГ Рус.-Пол. ; Ag ; XF- ; 14 ; Продано в зале ; 10000 
 74 ; 5 копеек ; 1835 ; ЕМ ФХ ; Cu ; VF-XF ; 73 ; SSK ; 4794 
 75 ; 5 копеек (Ильин-1р) ; 1836 ; СМ ; Cu ; VF ; 26 ; Продано в зале ; 950 
 76 ; 3 копейки ; 1841 ; ЕМ ; Cu ; VF+ ; 9 ; Продано в зале ; 1600 
 77 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; XF+ ; 44 ; нумизмат ; 26531 
 78 ; Полтина (Петров-1р) ; 1843 ; MW ; Ag ; VF ; 33 ; ZOLTAN333 ; 6208 
 79 ; Полтина ; 1844 ; СПБ КБ ; Ag ; VF-XF ; 71 ; Продано в зале ; 11500 
 80 ; 3 копейки ; 1844 ; ЕМ ; Cu ; VF+ ; 9 ; 104 кг ; 1184 
 81 ; Рубль ; 1847 ; MW ; Ag ; VF+ ; 17 ; suren ; 8500 
 82 ; 25 копеек ; 1847 ; СПБ ПА ; Ag ; AU/XF ; 3 ; Продано в зале ; 4000 
 83 ; Рубль ; 1848 ; СПБ HI ; Ag ; VF+ ; 13 ; vvt ; 9066 
