 101 ; 1/2 копейки ; 1843 ; СМ ; Cu ; VF ; 9 ; Sky2 ; 90 
 102 ; 1/2 копейки ; 1844 ; СМ ; Cu ; VF ; 15 ; antiquar ; 137 
 103 ; 1/2 копейки ; 1845 ; СМ ; Cu ; VF+ ; 11 ; antiquar ; 115 
 104 ; Денежка ; 1855 ; ЕМ ; Cu ; XF+ ; 20 ; Продано в зале ; 2400 
 105 ; 1/2 копейки ; 1893 ; СПБ ; Cu ; AU ; 25 ; joper69 ; 3060 
 106 ; Полушка. Брак гурчения ; 1734 ; Орёл 1730 г. ; Cu ; VF ; 19 ; Продано в зале ; 550 
 107 ; Полушка (Петров-1р) ; 1741 ; Орёл 1730 г. ; Cu ; VF ; 19 ; monos72 ; 5893 
 108 ; Полушка (Петров-3р) ; 1746 ; Орёл 1744 г. ; Cu ; VF ; 29 ; corr ; 1700 
 109 ; Полушка (Петров-1,25р) ; 1768 ; КМ "Сибирь" ; Cu ; VF-XF ; 44 ; Продано в зале ; 7500 
 110 ; Полушка (Петров-2,5р, Ильин-3р) ; 1785 ; КМ ; Cu ; VF ; 27 ; ОМВ ; 1632 
 111 ; Полушка (Петров-2,25р, Ильин-4р) ; 1792 ; КМ ; Cu ; VF+ ; 40 ; taa ; 1873 
 112 ; 1/4 копейки (Петров-1р, Ильин-1р) ; 1839 ; СМ ; Cu ; VF+ ; 21 ; taa ; 937 
 113 ; Полушка ; 1850 ; ЕМ ; Cu ; XF+ ; 20 ; tarbarmoshka ; 2040 
 114 ; Полушка ; 1853 ; ЕМ ; Cu ; XF ; 12 ; Продано в зале ; 3000 
 115 ; 1/4 копейки ; 1896 ; СПБ ; Cu ; AU ; 20 ; Trien ; 1530 
 116 ; 2 пара-3 копейки ; 1773 ; Валахия ; Cu ; VF ; 30 ; Продано в зале ; 4600 
 117 ; Медаль "300 лет Дому Романовых 1613-1913гг". D-28мм ;  ;  ; Cu ; XF+ ; 19 ; Десна ; 2669 
 118 ; Медаль в честь заслуг Головина. D-57мм ;  ;  ; Zn? ; XF+ ; 11 ; int1965708 ; 2550 
 119 ; Медаль. В память графа Р. Ребиндера. СПб м д. Медальер П. Уткин. D-49мм ; 1841 ;  ; Br ; AU ; 20 ; Продано в зале ; 4600 
 120 ; Медаль в память Финляндского сейма 1863–1864 гг. Медальер Леа Альборн. D-54мм ;  ;  ; Br ; AU ; 11 ; NSN ; 4800 
 121 ; Медаль в память открытия памятника Александру II в Финляндии. Имп. Александр II. Медальер Грилихес. D-69мм ; 1894 ;  ; Br ; AU ; 27 ; кве ; 5040 
 122 ; Знак. Депутат ВС Башкирской АССР. (созывы 4-11) № 180 ; 1955-1985ЛМД ;  ; Ag, эмаль ; AU ; 35 ; Продано в зале ; 14000 
 123 ; Знак. Депутат ВС Латвийской ССР (4-6 созывы) № 295 ; 1955-1963 ;  ; Ag, эмаль ; AU ; 15 ; Продано в зале ; 11000 
 124 ; Знак. Депутат ВС Бурятской ССР (5-11 созывы) № XI-101 ; 1959-1985ММД ;  ; Ag, эмаль ; AU ; 26 ; Продано в зале ; 16000 
 125 ; Знак. Депутат ВС Марийской АССР (7-11 созывы)№ XI-135 ; 1967-1985ММД ;  ; Ag, эмаль ; AU ; 20 ; Продано в зале ; 10500 
 51 ; 5 копеек ; 1726 ; МД ; Cu ; VF+ ; 65 ; Продано в зале ; 12500 
 52 ; 5 копеек ; 1726 ; НД Дата снизу вверх ; Cu ; VF ; 25 ; Sky2 ; 2050 
 53 ; 5 копеек ; 1727 ; КД КОПЪAКЬ ; Cu ; VF ; 33 ; Продано в зале ; 2100 
