 51 ; 5 копеек ; 1784 ; КМ ; Cu ; VF-XF ; 23 ; taa ; 1326 
 52 ; 5 копеек ; 1785 ; КМ ; Cu ; XF- ; 14 ; Продано в зале ; 2600 
 53 ; 5 копеек (Петров-9р, Ильин-10р) ; 1787 ; ТМ ; Cu ; F-VF ; 26 ; fgd ; 18362 
 54 ; 5 копеек ; 1796 ; ЕМ ; Cu ; VF-XF ; 9 ; Продано в зале ; 2800 
 55 ; 5 копеек ; 1805 ; ЕМ ; Cu ; XF ; 58 ; double ; 2611 
 56 ; 5 копеек ; 1806 ; ЕМ ; Cu ; XF ; 29 ; птичкин ; 5100 
 57 ; 5 копеек ; 1808 ; ЕМ ; Cu ; VF ; 21 ; 16840 ; 3674 
 58 ; 5 копеек (Петров-1р) ; 1809 ; ЕМ ; Cu ; VF-XF ; 59 ; Продано в зале ; 5400 
 59 ; 5 копеек ; 1810 ; ЕМ ; Cu ; VF- ; 22 ; птичкин ; 3064 
 60 ; 2 копейки ; 1757 ; Номинал под гербом ; Cu ; VF+ ; 32 ; Продано в зале ; 1050 
 61 ; 2 копейки ; 1761 ;  ; Cu ; VF+ ; 29 ; Продано в зале ; 1250 
 62 ; 2 копейки ; 1765 ; СПМ ; Cu ; VF+ ; 28 ; Продано в зале ; 1800 
 63 ; 2 копейки ; 1788 ; ММ ; Cu ; VF+ ; 53 ; Isay ; 3397 
 64 ; 2 копейки ; 1790 ; ЕМ ; Cu ; VF+ ; 33 ; CU77 ; 3800 
 65 ; 2 копейки (Петров-2р, Ильин-3р) ; 1790 ; АМ ; Cu ; VF- ; 35 ; Продано в зале ; 7000 
 66 ; 2 копейки (Петров-1р) ; 1797 ;  ; Cu ; VF+ ; 36 ; Продано в зале ; 8600 
 67 ; 2 копейки ; 1909 ; СПБ ; Cu ; AU ; 135 ; Алексей Викторович ; 3650 
 68 ; Копейка (Петров-10р, Ильин-7р) ; 1717 ; НДЗ ; Cu ; F-VF ; 35 ; Продано в зале ; 5800 
 69 ; Копейка ; 1831 ; СМ ; Cu ; VF+ ; 20 ; Продано в зале ; 550 
 70 ; Копейка (Петров-3р) ; 1855 ; ВМ ; Cu ; XF ; 27 ; Продано в зале ; 16000 
 71 ; Копейка ; 1889 ; СПБ ; Cu ; AU ; 21 ; Продано в зале ; 6000 
 72 ; Денга.Брак чеканки ; 1750 ;  ; Cu ; VF ; 13 ; Продано в зале ; 1200 
 73 ; Денга ; 1769 ; ЕМ ; Cu ; VF+ ; 28 ; Продано в зале ; 1200 
 74 ; Деньга ; 1797 ; ЕМ ; Cu ; VF+ ; 19 ; Продано в зале ; 3600 
 75 ; Деньга (Петров-2,25р, Ильин-3р) ; 1805 ; КМ ; Cu ; F-VF ; 15 ; alex550 ; 14394 
 76 ; Полушка (Петров-3р, Ильин-3р) ; 1804 ; КМ ; Cu ; VF- ; 17 ; SSK ; 17850 
 77 ; 1/4 копейки ; 1886 ; СПБ ; Cu ; AU ; 23 ; Продано в зале ; 3600 
 78 ; 1/4 копейки ; 1891 ; СПБ ; Cu ; AU/XF ; 25 ; Продано в зале ; 5200 
 79 ; 1/4 копейки ; 1892 ; СПБ ; Cu ; AU ; 28 ; Продано в зале ; 3200 
 80 ; 1/4 копейки ; 1896 ; СПБ ; Cu ; AU ; 10 ; НумБум ; 2081 
 81 ; 5 пенни ; 1896 ; Финляндия ; Cu ; XF+ ; 35 ; elac ; 3063 
 82 ; 5 пенни ; 1899 ; Финляндия ; Cu ; AU ; 33 ; 9052575 ; 1435 
 83 ; 1 пенни ; 1875 ; Финляндия ; Cu ; UNC/AU ; 62 ; 9052575 ; 2652 
