 51 ; 5 копеек ; 1787 ; ЕМ ; Cu ; VF-XF ; 8 ; Продано в зале ; 1400 
 52 ; 5 копеек ; 1788 ; ЕМ ; Cu ; VF-XF ; 15 ; Продано в зале ; 1400 
 53 ; 5 копеек ; 1789 ; ЕМ ; Cu ; VF-XF ; 16 ; electra ; 1300 
 54 ; 5 копеек ; 1790 ; ЕМ ; Cu ; XF- ; 12 ; Продано в зале ; 1600 
 55 ; 5 копеек ; 1790 ; АМ ; Cu ; VF-XF ; 14 ; Продано в зале ; 1400 
 56 ; 5 копеек ; 1791 ; АМ ; Cu ; VF-XF ; 18 ; aureo2 ; 1900 
 57 ; 5 копеек ; 1792 ; ЕМ ; Cu ; XF ; 10 ; aureo2 ; 2500 
 58 ; 5 копеек ; 1793 ; ЕМ ; Cu ; XF ; 49 ; ruba ; 3200 
 59 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF+ ; 18 ; aureo2 ; 8466 
 60 ; 5 копеек ; 1794 ; ЕМ ; Cu ; XF ; 17 ; ruba ; 5000 
 61 ; 5 копеек ; 1795 ; ЕМ ; Cu ; XF ; 15 ; ruba ; 4600 
 62 ; 5 копеек ; 1806 ; ЕМ ; Cu ; VF-XF ; 22 ; electra ; 4400 
 63 ; 2 копейки ; 1840 ; СПМ ; Cu ; VF-XF ; 47 ; fgd ; 1428 
 64 ; 2 копейки ; 1845 ; СМ ; Cu ; XF ; 55 ; Продано в зале ; 23000 
 65 ; 2 копейки ; 1791 ; ЕМ ; Cu ; VF+ ; 53 ; Продано в зале ; 2100 
 66 ; 2 копейки ; 1797 ; КМ ; Cu ; XF- ; 8 ; $$$ ; 2000 
 67 ; 2 копейки ; 1798 ; КМ ; Cu ; VF-XF ; 8 ; $$$ ; 1658 
 68 ; 2 копейки ; 1799 ; КМ ; Cu ; XF- ; 7 ; $$$ ; 2200 
 69 ; 2 копейки ; 1838 ; СМ ; Cu ; VF ; 22 ; Продано в зале ; 1800 
 70 ; 2 копейки ; 1895 ; СПБ ; Cu ; XF ; 16 ; Эфес ; 3400 
 71 ; 2 копейки ; 1912 ; СПБ ; Cu ; AU/XF ; 26 ; Продано в зале ; 2500 
 72 ; Копейка ; 1778 ; КМ "Сибирь" ; Cu ; VF+ ; 27 ; Продано в зале ; 2100 
 73 ; Копейка ; 1828 ; КМ АМ ; Cu ; VF+ ; 23 ; Продано в зале ; 1200 
 74 ; Денга ; 1795 ; ЕМ ; Cu ; VF+ ; 16 ; fgd ; 2833 
 75 ; Деньга ; 1811 ; ИМ МК ; Cu ; VF-XF ; 16 ; Продано в зале ; 5000 
 76 ; Деньга ; 1814 ; ИМ ПС ; Cu ; VF- ; 13 ; ct200h ; 2648 
 77 ; Деньга ; 1828 ; ЕМ ИК ; Cu ; VF+ ; 9 ; Продано в зале ; 2700 
 78 ; 1/2 копейки ; 1843 ; СМ ; Cu ; VF-XF ; 15 ; SSK ; 3165 
 79 ; Денежка ; 1857 ; ВМ ; Cu ; VF-XF ; 31 ; aureo2 ; 5100 
