 51 ; 5 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 30 ; Alex22D ; 10013 
 52 ; 10 копеек. (Петров-6р.) ; 1766 ; "Сибирь" ; Cu ; F+ ; 51 ; Продано в зале ; 8000 
 53 ; 10 копеек ; 1780 ; КМ "Сибирь" ; Cu ; VF-XF ; 51 ; Gaga ; 11111 
 54 ; 10 копеек ; 1838 ; ЕМ НА ; Cu ; VF+ ; 72 ; Продано в зале ; 11000 
 55 ; 5 копеек ; 1775 ; КМ "Сибирь" ; Cu ; VF+ ; 34 ; Zakhapisty ; 3974 
 56 ; 5 копеек ; 1772 ; КМ "Сибирь" ; Cu ; VF-XF ; 33 ; Продано в зале ; 6000 
 57 ; 5 копеек. Ильин - 10 руб ; 1788 ; ТМ ; Cu ; F-VF ; 75 ; Vitalik1 ; 30600 
 58 ; 5 копеек ; 1790 ; АМ ; Cu ; VF-XF ; 12 ; Продано в зале ; 1200 
 59 ; 5 копеек ; 1794 ; АМ ; Cu ; VF-XF ; 46 ; electra ; 1536 
 60 ; 5 копеек ; 1803 ; ЕМ ; Cu ; VF-XF ; 32 ; Gaga ; 3512 
 61 ; 5 копеек ; 1803 ; ЕМ ; Cu ; VF-XF ; 27 ; electra ; 2943 
 62 ; 5 копеек ; 1852 ; ЕМ ; Cu ; XF- ; 61 ; Продано в зале ; 6500 
 63 ; 5 копеек ; 1876 ; СПБ ; Cu ; XF- ; 58 ; Продано в зале ; 9600 
 64 ; 2 копейки ; 1769 ; ЕМ ; Cu ; VF+ ; 82 ; Sky2 ; 3060 
 65 ; 2 копейки ; 1789 ; ЕМ ; Cu ; VF-XF ; 49 ; раритет ; 6240 
 66 ; 2 копейки ; 1795 ; ЕМ ; Cu ; VF+ ; 30 ; electra ; 2123 
 67 ; 2 копейки. Новодел ; 1797 ; Цифры года крупнее ; Cu ; Unc/AU ; 69 ; Продано в зале ; 78000 
 68 ; 2 копейки ; 1810 ; КМ ; Cu ; VF-XF ; 29 ; Продано в зале ; 1200 
 69 ; 2 копейки ; 1812 ; ЕМ НМ ; Cu ; VF-XF ; 27 ; Продано в зале ; 240 
 70 ; 2 копейки ; 1831 ; СМ ; Cu ; VF ; 33 ; Продано в зале ; 2100 
 71 ; 2 копейки ; 1836 ; СМ ; Cu ; VF+ ; 95 ; бабушка ; 3966 
 72 ; 2 копейки ; 1838 ; ЕМ НА ; Cu ; VF+ ; 42 ; Sky2 ; 2103 
 73 ; 2 копейки ; 1868 ; СПБ ; Cu ; VF-XF ; 51 ; Продано в зале ; 7500 
 74 ; 2 копейки ; 1903 ; СПБ ; Cu ; AU ; 59 ; Продано в зале ; 7000 
 75 ; 2 копейки ; 1904 ; СПБ ; Cu ; AU ; 78 ; Продано в зале ; 14000 
 76 ; Копейка (Ильин - 8 руб) ; 1813 ; ЕМ НМ ; Cu ; F+ ; 72 ; Продано в зале ; 7000 
 77 ; Копейка ; 1827 ; ЕМ ИК ; Cu ; XF-/VF- ; 30 ; taa ; 900 
 78 ; Копейка ; 1837 ; ЕМ НА ; Cu ; VF+ ; 41 ; Sky2 ; 2010 
 79 ; Копейка ; 1840 ; СПМ ; Cu ; XF+ ; 21 ; Продано в зале ; 3400 
 80 ; Копейка ; 1843 ; ЕМ ; Cu ; VF+ ; 16 ; electra ; 603 
 81 ; Копейка ; 1845 ; СМ ; Cu ; VF+ ; 46 ; Продано в зале ; 2300 
 82 ; Копейка ; 1855 ; ВМ ; Cu ; VF-XF ; 34 ; нумизмат ; 5613 
 83 ; Деньга (Ильин - 3 руб) ; 1807 ; КМ ; Cu ; F+ ; 45 ; форсаж ; 10074 
 84 ; 1/2 копейки ; 1873 ; ЕМ ; Cu ; AU ; 46 ; Продано в зале ; 6500 
