 51 ; 5 копеек ; 1818 ; СПБ ПС ; Ag ; XF ; 59 ; обморок ; 5100 
 52 ; 5 копеек ; 1823 ; СПБ ПД ; Ag ; XF ; 53 ; Продано в зале ; 5000 
 53 ; 5 копеек ; 1849 ; СПБ ПА ; Ag ; AU ; 41 ; Продано в зале ; 4200 
 54 ; 5 копеек ; 1887 ; СПБ АГ ; Ag ; Unc/AU ; 44 ; Продано в зале ; 4000 
 55 ; 5 копеек ; 1885 ; СПБ АГ ; Ag ; AU ; 31 ; Olimpia ; 3600 
 56 ; 5 копеек ; 1901 ; СПБ ФЗ ; Ag ; AU ; 26 ; Olimpia ; 2366 
 57 ; 1 марка ; 1866 ; S Финляндия ; Ag ; XF+/AU ; 24 ; Продано в зале ; 6500 
 58 ; 10 копеек ; 1767 ; КМ "Сибирь" ; Cu ; VF ; 22 ; electra ; 10404 
 59 ; 10 копеек. В капсуле ННР. ; 1777 ; КМ "Сибирь" ; Cu ;  ; 29 ; specta ; 8677 
 60 ; 5 копеек ; 1723 ; Дата сверху вниз ; Cu ; F ; 47 ; Продано в зале ; 17000 
 61 ; 5 копеек. Фальшивая ; 1729 ; МД Хвост узкий ; Cu ; F- ; 13 ; Продано в зале ; 4600 
 62 ; 5 копеек ; 1767 ; КМ "Сибирь" ; Cu ; VF-XF ; 49 ; Продано в зале ; 11500 
 63 ; 5 копеек (Ильин-5р) ; 1767 ; СПМ ; Cu ; F-VF ; 26 ; Продано в зале ; 10200 
 64 ; 5 копеек (Петров- 3 руб) ; 1788 ; КМ ; Cu ; VF+ ; 17 ; Продано в зале ; 6800 
 65 ; 5 копеек (Петров-10 руб., Ильин-10 руб.) ; 1788 ; ММ ; Cu ; VF ; 27 ; nikolaj.vernik ; 35248 
 66 ; 5 копеек (Ильин-2р) ; 1854 ; ЕМ ; Cu ; VF+ ; 18 ; ААФ ; 6460 
 67 ; 3 копейки (Ильин-2р) ; 1853 ; ВМ ; Cu ; VF+ ; 20 ; Продано в зале ; 11500 
 68 ; 2 копейки. Мон. двор N.М. ; 1812 ; ИМ ПС ; Cu ; VF ; 32 ; Продано в зале ; 7600 
 69 ; 2 копейки ; 1909 ; СПБ ; Cu ; AU ; 64 ; Продано в зале ; 9500 
 70 ; Копейка ; 1805 ; ЕМ ; Cu ; F ; 57 ; Продано в зале ; 23000 
 71 ; Копейка (Петров - 10 руб, Ильин - 8 руб) ; 1813 ; ЕМ НМ ; Cu ; VG ; 22 ; Kupferberg ; 12000 
 72 ; Копейка ; 1913 ; СПБ ; Cu ; AU ; 40 ; 462 ; 850 
 73 ; Денга ; 1760 ;  ; Cu ; F/VF ; 27 ; Продано в зале ; 3000 
 74 ; Денга. Новодел. ; 1765 ; ЕМ Новодел ; Cu ; AU ; 29 ; Продано в зале ; 14000 
 75 ; Денга ; 1783 ; КМ ; Cu ; VF ; 49 ; Продано в зале ; 1900 
 76 ; Деньга (Ильин - 3руб) ; 1797 ; КМ ; Cu ; VG ; 30 ; cotangens ; 3047 
 77 ; Деньга (Петров - 5 руб) ; 1815 ; ЕМ НМ ; Cu ; VG ; 26 ; Каперанг ; 2800 
 78 ; Денежка ; 1857 ; ВМ ; Cu ; XF- ; 52 ; Каперанг ; 6078 
 79 ; 1/2 копейки ; 1889 ; СПБ ; Cu ; AU ; 42 ; аlеx ; 2222 
 80 ; 1/4 копейки ; 1899 ; СПБ ; Cu ; XF+/AU ; 18 ; Продано в зале ; 1600 
 81 ; Жетон Коронация Петра II Новодел D-22мм ;  ;  ; Br ; VF-XF ; 69 ; Продано в зале ; 32000 
 82 ; Георгиевский крест III ст. №326243. Санкт-Петербургский монетный двор. Р-ры: 34х34мм. Вес = 10,40 ; 1916 ;  ; б.м. ; XF+ ; 34 ; Пола ; 21275 
 83 ; Парная вензельная эпалета (2шт) с короной (2шт) ;  ;  ; Br ; VF ; 38 ; Sky2 ; 5610 
 1 ; Полтина новгородская. М-98,385г ;  ;  ; Ag ;  ; 42 ; gelo ; 12318 
 2 ; Рубль. М-1,59г ; 1757 ;  ; Au ; XF- ; 43 ; Сыч ; 51516 
 3 ; Рубль ; 1721 ; K ; Ag ; VF+ ; 59 ; Sky2 ; 40000 
