 101 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; VF+ ; 25 ; Кемская ; 2772 
 102 ; 2 копейки ; 1826 ; ЕМ ИК ; Cu ; XF- ; 30 ; fgd ; 1224 
 103 ; Копейка (Ильин-3р) ; 1704 ; БК ; Cu ; VF- ; 36 ; Zenit 2222 ; 2520 
 104 ; Копейка. Капсула ННР ; 1710 ; МД ; Cu ;  ; 34 ; il468 ; 3120 
 105 ; Копейка. Подделка для обращения ; 1728 ;  ; Cu ; VG ; 22 ; I3 ; 4200 
 106 ; Копейка. Перечекан  на деньге (1730-1753) ; 1761 ;  ; Cu ; VG ; 40 ; Продано в зале ; 4200 
 107 ; Копейка ; 1829 ; ЕМ ИК ; Cu ; XF+ ; 46 ; Продано в зале ; 3000 
 108 ; Денга ; 1731 ;  ; Cu ; VF+ ; 32 ; I3 ; 3200 
 109 ; Денга ; 1731 ;  ; Cu ; VF ; 31 ; I3 ; 3200 
 110 ; Полушка ; 1719 ;  ; Cu ; VF ; 27 ; Mollo ; 6732 
 111 ; Полушка. "Сибирская". Брак ; 1767-1779 ;  ; Cu ; VG ; 31 ; Продано в зале ; 4200 
 112 ; Полушка (Петров-2,5р, Ильин-3р) ; 1784 ; КМ ; Cu ; F ; 45 ; fgd ; 2556 
 113 ; 1/4 копейки ; 1892 ; СПБ ; Cu ; XF+ ; 46 ; CaesarAugustus ; 2600 
 114 ; 1/4 копейки ; 1899 ; СПБ ; Cu ; AU ; 49 ; Продано в зале ; 2200 
 115 ; 1/4 копейки ; 1900 ; СПБ ; Cu ; AU ; 51 ; I3 ; 2200 
 116 ; Пара-3 деньги ; 1772 ; Валахия ; Cu ; F+ ; 21 ; Худой Бердыев ; 6100 
 117 ; Гиль Х. Х. Таблицы русских монет двух последних столетий. С.-Петербург  Практическое руководство для собирателей. Второе издание. Спб. ; 1898 ;  ;  ;  ; 34 ; Продано в зале ; 28000 
 118 ; И. В. Мигунов. Редкие русские монеты. Медные, серебрянные, золотые и платиновые с 1699 до 1914 г. С.-Петербург ; 1913 ;  ;  ;  ; 30 ; Продано в зале ; 5000 
 119 ; А. Ильин. Русские монеты. Медная монета с 1700 - 1727 г. Петра I. Петроград ; 1918 ;  ;  ;  ; 23 ; Продано в зале ; 7500 
 120 ; М. Гаршин. Русские монеты.  Перечень монет и их разновидностей царствования Им. Николя II, не вошедших в книгу Х. Гиля и А. Ильина "Русские монеты 1801 - 1904 г.". Петроград ; 1916 ;  ;  ;  ; 30 ; Продано в зале ; 22000 
 121 ; Альбом монет. 12 таблиц русских монет с объяснительным текстом М. Васильевского. Издание т-ва М. О. Вольф. С.-Петербург, Москва ; 1913 ;  ;  ;  ; 28 ; Продано в зале ; 3200 
 122 ; Указатель цен на русские монеты с 1700 по 1913 г. Составитель - Квитков В. М. Москва ; 1914 ;  ;  ;  ; 42 ; Продано в зале ; 17000 
 123 ; Лот из 4 книг. Б. О. Копылов. Монеты XVIII столетия. 1910. / Каталоги аукционов фирмы Б. Ф. Копылова. 3 штуки. 1911, 1913 и 1914 гг. С.-Петербург ;  ;  ;  ;  ; 18 ; Продано в зале ; 85000 
 124 ; Великий князь Георгий Михайлович. Монеты Российской Империи 1725-1894. Бостон ; 1972 ;  ;  ;  ; 19 ; Mollo ; 4500 
 125 ; Лот из двух книг. А. Ильин, И. Толстой, Русские монеты с 1725 по 1801 г. 1910. С.-Петербург. / Российские монеты 19 столетия в их сохранности. Репринт. 1905. Москва ;  ;  ;  ;  ; 6 ; Dima740 ; 3000 
 126 ; Лот из двух книг. А. Н. Дьячков, В. В. Уздеников, Монеты России и СССР, 1978. Москва. / В. В. Уздеников, Объем чеканки российских монет 1700 - 1917. 1995. Москва ;  ;  ;  ;  ; 15 ; Foks ; 1600 
 127 ; Лот из трех книг В. В. Узденикова. Монеты России XVIII - начала XX. 1994, Москва. / Монеты России 1700-1917, 2004, Москва. / Монеты России 1700 - 1917. 1986, Москва ;  ;  ;  ;  ; 10 ; рад ; 1027 
 128 ; Лот из двух книг. Б. С. Юсупов. Том I, Монеты Российской Имерии 1699 - 1725, Том II, 1725 - 1801 ;  ;  ;  ;  ; 18 ; Продано в зале ; 2600 
 129 ; Лот из двух книг. Р. Зандер. Серебрянные рубли и ефимки романовской России 1654 - 1915. 1998, Киев. / И. Г. Спасский, Русские ефимки. 1988. Новосибирск ;  ;  ;  ;  ; 31 ; Продано в зале ; 1400 
