 1214 ; Знак. Общество друзей воздушного флота Азербайджана ;  ;  ; Ag, эмаль ; XF ; 18 ; nikolas1957 ; 28560 
 1215 ; Знак. Общество друзей воздушного флота С-З. области ;  ;  ; Ag, эмаль ; XF+ ; 9 ; nikolas1957 ; 21000 
 1216 ; Знак . Ударнику 1932г завершающего пятилетку (1917-1932) № 8198 ;  ;  ; Б/м, эмаль ; XF+ ; 1 ; Skyline ; 15000 
 1217 ; Знак  на память от советской армии ; 1959 ;  ; Ж/м, эмаль ; XF+ ; 1 ; ZOLTAN333 ; 5000 
 1218 ; Знак  об окончании училища ;  ;  ; Ag, эмаль ; XF+ ; 9 ; 015 ; 6936 
 1219 ; Жетон. Серия "Руководители Второй мировой войны" - Сталин. Итало-Венесуэльский банк. D-30мм. М-15,00гр ; 1959 ;  ; Au ; AU ; 5 ; cr2448 ; 31167 
 1220 ; Жетон. Серия "Руководители Второй мировой войны"- Маннергейм.  Итало-Венесуэльский банк. D-30мм. М-14,98гр ; 1959 ;  ; Au ; AU ; 5 ; cr2448 ; 31734 
 1221 ; Медаль от главного управления землеустройства и земледелия. Имп Александр III и Николай II. D-50мм ;  ;  ; Ag ; XF- ; 1 ; Skyline ; 12000 
 1222 ; Медаль  в память 700-летия крещения Финляндии. Имп. Александр II. D-57мм ;  ;  ; Ag ; XF- ; 8 ; Продано в зале ; 55000 
 1223 ; Медаль. Сражение у реки Пелькине  6 ктября 1713г.  D-46мм ;  ;  ; Ж/м ; XF- ; 7 ; cr2283 ; 17340 
 1224 ; Медаль. Взятие Кексгольма 8 сентября 1710г. D-47мм ;  ;  ; Ж/м ; XF ; 5 ; cr2283 ; 17340 
 1225 ; Медаль. Взятие Динамюнде 8 августа 1710г.  D-47мм ;  ;  ; Ж/м ; XF ; 7 ; cr2283 ; 17340 
 1226 ; Медаль в память торжественного открытия памятника императрице Екатерине II 24 ноября 1873г. D-87мм ;  ;  ; Br ; XF ; 18 ; валенок ; 20502 
 1227 ; Медаль от императорского минералогического общества. Директору императорского минералогического общества-Николаю Ивановичу Кокшарову (1837-1887). D-75мм. ;  ;  ; Br ; XF ; 7 ; валенок ; 12750 
 1228 ; Медаль в память открытия памятника Александру II в Финляндии. Имп. Александр II. D-69мм ;  ;  ; Cu ; AU ; 16 ; qwe1000 ; 3927 
 1164 ; 10 копеек ; 1885 ; СПБ АГ ; Ag ; AU ; 31 ; Продано в зале ; 9200 
 1165 ; 10 копеек ; 1898 ; СПБ АГ ; Ag ; AU ; 14 ; Продано в зале ; 7500 
 1166 ; 5 копеек ; 1832 ; СПБ НГ ; Ag ; XF- ; 3 ; Продано в зале ; 9000 
 1167 ; 5 копеек ; 1857 ; СПБ ФБ ; Ag ; AU ; 10 ; валенок ; 10404 
 1168 ; 5 копеек ; 1858 ; СПБ ФБ ; Ag ; AU ; 24 ; 99 ; 24482 
 1169 ; 5 копеек ; 1859 ; СПБ ФБ ; Ag ; AU/XF ; 15 ; Продано в зале ; 20000 
 1170 ; 5 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 1 ; A.A.A. ; 5000 
 1171 ; 5 копеек ; 1884 ; СПБ АГ ; Ag ; AU ; 0 ; Не продан ; 0 
 1172 ; 5 копеек ; 1888 ; СПБ АГ ; Ag ; AU ; 0 ; Продано в зале ; 2000 
 1173 ; 30 копеек-2 злотых ; 1837 ; MW Рус.-Пол. ; Ag ; AU ; 1 ; Продано в зале ; 12500 
 1174 ; 25 копеек-50 грошей ; 1847 ; MW Рус.-Пол. ; Ag ; XF+ ; 3 ; luda ; 12485 
 1175 ; 2 гроша ; 1761 ; Для Пруссии ; Ag ; VF ; 22 ; Продано в зале ; 22000 
 1176 ; 10 копеек ; 1780 ; КМ "Сибирь" ; Cu ; XF- ; 27 ; Sky2 ; 9859 
 1177 ; 10 копеек ; 1781 ; КМ "Сибирь" ; Cu ; XF- ; 5 ; жулик ; 11000 
 1178 ; 5 копеек ; 1768 ; КМ "Сибирь" ; Cu ; XF- ; 1 ; Molot ; 10000 
 1179 ; 5 копеек ; 1777 ; КМ "Сибирь" ; Cu ; XF ; 5 ; жулик ; 9000 
 1180 ; 5 копеек ; 1788 ; КМ ; Cu ; XF ; 1 ; Molot ; 10000 
 1181 ; 5 копеек ; 1916 ;  ; Cu ; XF ; 3 ; luda ; 11792 
 1182 ; 3 копейки ; 1879 ; СПБ ; Cu ; XF+ ; 2 ; SSK ; 2040 
 1183 ; 3 копейки ; 1893 ; СПБ ; Cu ; XF+ ; 3 ; SSK ; 3400 
 1184 ; 2 копейки ; 1795 ; ЕМ ; Cu ; XF- ; 1 ; Molot ; 5000 
 1185 ; 2 копейки ; 1802 ; ЕМ ; Cu ; XF ; 18 ; vcn ; 36000 
 1186 ; 2 копейки. Новодел ; 1809 ; КМ ; Cu ; XF+ ; 19 ; int1965708 ; 56598 
 1187 ; 2 копейки ; 1852 ; ЕМ ; Cu ; XF+ ; 12 ; Fedor_K ; 10098 
 1188 ; 2 копейки ; 1890 ; СПБ ; Cu ; AU ; 11 ; кРПА ков ; 6120 
 1189 ; 2 копейки ; 1893 ; СПБ ; Cu ; AU ; 3 ; SSK ; 2380 
 1190 ; 2 копейки ; 1898 ; СПБ ; Cu ; AU ; 3 ; валенок ; 4500 
 1191 ; 2 копейки ; 1906 ; СПБ ; Cu ; AU ; 1 ; Продано в зале ; 5200 
 1192 ; Копейка ; 1755 ; ММД ; Cu ; XF ; 10 ; Продано в зале ; 28000 
 1193 ; Копейка. Перечекан на шведской монете ; 1758 ;  ; Cu ; VF+ ; 7 ; VAP20 ; 6800 
 1194 ; Копейка. Новодел ; 1840 ; Новодел ; Cu ; AU ; 1 ; andry1 ; 20000 
 1195 ; Копейка ; 1879 ; СПБ ; Cu ; AU ; 0 ; Продано в зале ; 2200 
 1196 ; Деньга ; 1805 ; ЕМ ; Cu ; XF- ; 11 ; dron777 ; 36267 
 1197 ; 1/2 копейки ; 1883 ; СПБ ; Cu ; AU ; 3 ; Продано в зале ; 2800 
 1198 ; 2 пара-3 копейки ; 1773 ; Валахия ; Cu ; VF-+ ; 1 ; Molot ; 10000 
 1199 ; Один червонец (вес - 8,6 г.) ; 1923 ; (ПЛ) ; Au ; XF/AU ; 5 ; tisa66 ; 117300 
 1200 ; Рубль ; 1922 ; (ПЛ) ; Ag ; XF+ ; 10 ; pmaster ; 9747 
 1201 ; Рубль. В капсуле  NGS ; 1924 ; (ПЛ) ; Ag ; Unc (details) ; 11 ; Galal ; 2500 
 1202 ; Один полтинник. В капсуле  NGS ; 1927 ; (ПЛ 9 грамм) ; Ag ; MS-62 ; 11 ; 525 ; 3060 
 1203 ; Жетон  в память коронации Александра I. М-6,05гр ; 1801 ;  ; Au ; XF ; 21 ; Продано в зале ; 155000 
 1204 ; Жетон  в память коронации Александра I ; 1801 ;  ; Ag ; AU ; 10 ; Продано в зале ; 18000 
 1205 ; Жетон в память коронации Николая I ; 1826 ;  ; Ag ; AU ; 2 ; Skyline ; 5100 
 1206 ; Орден Святой Анны 3-й степени без мечей. Клейма под эмалью Фирма «Дмитрий Осипов». ;  ;  ; Br ; AU ; 28 ; srr283 ; 36618 
 1207 ; Медаль. В память 300-летия царствования Дома Романовах (1613-1913). D-28мм ;  ;  ; Br ; XF+ ; 13 ; Эфес ; 3535 
 1208 ; Медаль. В память 300-летия царствования Дома Романовах (1613-1913). D-28мм ;  ;  ; Br ; XF+ ; 0 ; Не продан ; 0 
 1209 ; Знак военных врачей Императорской военно-медицинской академии. Размер 65x48 мм. Фирма Эдуардъ ;  ;  ; Ag ; XF ; 9 ; Продано в зале ; 33000 
 1210 ; Знак Московского Сельско-Хозяйственного Института. Размер 58x38 мм. Утраты листьев ;  ;  ; Ag ; XF- ; 0 ; Не продан ; 0 
 1211 ; Знак. 100 летие 8-го уланского Вознесенского полка. Фирма Эдуардъ ;  ;  ; Br ; XF+ ; 12 ; bag1809 ; 20094 
