 101 ; Георгиевский крест 4 степени. №599625 ;  ;  ; Ag ; XF+/AU ; 59 ; tisa66 ; 14907 
 102 ; Знак Общество Маяк ;  ;  ; Ag ; XF ; 57 ; Sky2 ; 13000 
 103 ; Знак об окончании Павловского военного училища в Санкт-Петербурге. Отсутствует часть знака ;  ;  ; Ag ; F-VF ; 64 ; Prooflike ; 13333 
 104 ; Знак ученический. Гравировка " XXIII в. Л. Зауер 1924" ;  ;  ; Ag,эмаль ; XF ; 65 ; sumo ; 11000 
 105 ; 10 рублей. Капсула NGC ; 1899 ; (ЭБ) АГ ; Au ;  ; 21 ; Продано в зале ; 29000 
 106 ; 10 рублей. Капсула NGC ; 1899 ; (АГ) АГ ; Au ;  ; 22 ; Gerodot ; 30000 
 107 ; 5 рублей. Капсула NGC ; 1901 ; (ФЗ) ; Au ;  ; 24 ; Gerodot ; 19000 
 108 ; 5 рублей. Капсула ICG ; 1904 ; (АР) ; Au ;  ; 12 ; Gerodot ; 18000 
 109 ; Рубль ; 1913 ; АГ На 300-летие Дома Романовых ; Ag ; XF- ; 16 ; 90111 ; 7895 
 110 ; Рубль ; 1913 ; АГ На 300-летие Дома Романовых ; Ag ; XF ; 20 ; а1945 ; 9500 
 111 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 44 ; 111111 ; 18618 
 112 ; Полтина ; 1894 ; (АГ) ; Ag ; VF-XF ; 41 ; iustas ; 14394 
 113 ; Полтина ; 1911 ; (ЭБ) АГ ; Ag ; XF+ ; 26 ; 90111 ; 7500 
 114 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; XF+ ; 26 ; Продано в зале ; 16000 
 115 ; 25 копеек ; 1894 ; (АГ) АГ ; Ag ; XF ; 40 ; Продано в зале ; 18000 
 116 ; 25 копеек ; 1896 ; АГ ; Ag ; XF ; 14 ; Продано в зале ; 7500 
 117 ; 20 копеек ; 1848 ; СПБ HI ; Ag ; XF ; 34 ; Продано в зале ; 17000 
 118 ; 20 копеек ; 1849 ; СПБ ПА ; Ag ; XF- ; 27 ; anna53 ; 2400 
 119 ; 15 копеек ; 1867 ; СПБ HI ; Ag ; XF+ ; 19 ; Продано в зале ; 1400 
 120 ; 10 копеек ; 1839 ; СПБ НГ ; Ag ; XF- ; 39 ; Продано в зале ; 3800 
 121 ; 10 копеек ; 1843 ; СПБ АЧ ; Ag ; XF- ; 45 ; Продано в зале ; 27000 
 122 ; 10 копеек ; 1848 ; СПБ HI ; Ag ; XF ; 31 ; sax ; 3000 
 123 ; 10 копеек ; 1852 ; СПБ ПА ; Ag ; XF ; 33 ; Продано в зале ; 2400 
 124 ; 10 копеек ; 1857 ; СПБ ФБ ; Ag ; XF+ ; 45 ; I3 ; 3000 
 125 ; 10 копеек ; 1859 ; СПБ ФБ ; Ag ; XF ; 66 ; Продано в зале ; 5500 
 126 ; 10 копеек ; 1861 ; СПБ ; Ag ; XF+ ; 22 ; Mitia ; 1000 
 127 ; 10 копеек ; 1904 ; СПБ АР ; Ag ; XF+ ; 39 ; Продано в зале ; 5200 
 128 ; 5 копеек ; 1863 ; СПБ АБ ; Ag ; XF+ ; 50 ; обморок ; 11000 
 129 ; 5 копеек ; 1866 ; СПБ НФ ; Ag ; XF+ ; 51 ; Продано в зале ; 16000 
 130 ; 5 копеек ; 1868 ; СПБ HI ; Ag ; AU ; 60 ; I3 ; 14000 
 131 ; 5 копеек ; 1872 ; СПБ HI ; Ag ; XF+ ; 27 ; ЛАВ-13 ; 7000 
 132 ; 5 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 52 ; Gerodot ; 7500 
 133 ; 5 копеек ; 1879 ; СПБ НФ ; Ag ; XF ; 40 ; Продано в зале ; 3800 
 134 ; 5 копеек ; 1880 ; СПБ НФ ; Ag ; XF+ ; 47 ; I3 ; 7500 
 135 ; 5 копеек ; 1881 ; СПБ НФ ; Ag ; XF+ ; 32 ; *@*#* ; 8000 
