 101 ; 1/4 копейки. Капсула ; 1885 ; СПБ ; Cu ;  ; 9 ; гудзон ; 5667 
 102 ; 1/4 копейки ; 1886 ; СПБ ; Cu ; XF ; 35 ; anna53 ; 3600 
 103 ; 10 пенни. Капсула ; 1917 ; Финляндия. Орёл ; Cu ;  ; 26 ; Gbwwf ; 1836 
 104 ; 10 пенни. Капсула ; 1917 ; Финляндия. Орёл ; Cu ;  ; 59 ; 2392 ; 3974 
 105 ; 5 пенни. Капсула ; 1917 ; Финляндия. Орёл ; Cu ;  ; 16 ; Анатолий Анатолий ; 906 
 106 ; 1 пенни. Капсула ; 1916 ; Финляндия ; Cu ;  ; 13 ; 2392 ; 1000 
 107 ; Медаль золотая школьная УзбекскойССР. Образца 1954г. М-15,42г. D-32мм ;  ;  ; Au ; XF ; 52 ; Яникс ; 32000 
 108 ; Медаль В память заключения мира с Турцией. 2 сентября 1829 г. Медальера в обрезе: В. Алексеев. D-65мм. М-147,8г ;  ;  ; Ag ; XF+ ; 76 ; Продано в зале ; 310000 
 109 ; Жетон За взятие приступом Варшавы 25 и 26 августа 1831г. Новодел. D-26мм ;  ;  ; Cu ; XF+ ; 39 ; Продано в зале ; 16500 
 51 ; 5 копеек ; 1867 ; СПБ HI ; Ag ; XF+ ; 40 ; I3 ; 3800 
 52 ; 5 копеек ; 1871 ; СПБ HI ; Ag ; AU ; 47 ; and ; 3060 
 53 ; 5 копеек ; 1873 ; СПБ HI ; Ag ; XF+/AU ; 52 ; Продано в зале ; 9000 
 54 ; 5 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 60 ; niki ; 9000 
 55 ; 5 копеек ; 1898 ; СПБ АГ ; Ag ; AU ; 36 ; Продано в зале ; 3600 
 56 ; Алтын ; 1704 ; БК ; Ag ; VF ; 24 ; vit2503 ; 10500 
 57 ; 50 пенни. Капсула ; 1914 ; S Финляндия ; Ag ;  ; 13 ; Gbwwf ; 1448 
 58 ; 50 пенни. Капсула ; 1916 ; S Финляндия ; Ag ;  ; 27 ; Gbwwf ; 1350 
 59 ; 25 пенни. Капсула ; 1917 ; S Финляндия. Без короны ; Ag ;  ; 13 ; Gbwwf ; 1374 
 60 ; 10 копеек. Капсула ; 1775 ; КМ "Сибирь" ; Cu ;  ; 26 ; Продано в зале ; 20000 
 61 ; 10 копеек (Ильин-2р) ; 1836 ; СМ ; Cu ; VF-XF ; 52 ; Продано в зале ; 16000 
 62 ; 5 копеек. Капсула ; 1793 ; КМ ; Cu ;  ; 75 ; А31 1 ; 7944 
 63 ; 5 копеек ; 1796 ; КМ ; Cu ; VF-XF ; 29 ; Продано в зале ; 4600 
 64 ; 5 копеек ; 1804 ; КМ ; Cu ; VF-XF ; 24 ; Маша-растеряша ; 7000 
 65 ; 5 копеек ; 1834 ; СМ ; Cu ; XF ; 43 ; Маша-растеряша ; 3736 
 66 ; 2 копейки ; 1810 ; КМ ; Cu ; VF-XF ; 24 ; aqua ; 3400 
 67 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; VF-XF ; 18 ; Ok203 ; 2392 
 68 ; 2 копейки ; 1812 ; КМ ; Cu ; VF-XF ; 15 ; Ok203 ; 2392 
 69 ; 2 копейки ; 1820 ; КМ АД ; Cu ; XF- ; 26 ; electra ; 2200 
 70 ; 2 копейки ; 1821 ; КМ АД ; Cu ; XF- ; 37 ; I3 ; 4600 
 71 ; 2 копейки ; 1821 ; КМ АМ ; Cu ; VF-XF ; 30 ; Ok203 ; 3441 
 72 ; 2 копейки ; 1822 ; КМ АМ ; Cu ; XF- ; 42 ; I3 ; 7250 
 73 ; 2 копейки ; 1823 ; КМ АМ ; Cu ; XF ; 24 ; Продано в зале ; 6000 
 74 ; 2 копейки ; 1824 ; КМ АМ ; Cu ; XF ; 24 ; I3 ; 3600 
 75 ; 2 копейки ; 1826 ; КМ АМ ; Cu ; XF- ; 13 ; Продано в зале ; 3000 
 76 ; 2 копейки. Капсула ; 1827 ; КМ АМ ; Cu ;  ; 72 ; Продано в зале ; 7750 
 77 ; 2 копейки ; 1827 ; КМ АМ ; Cu ; XF ; 31 ; I3 ; 3600 
 78 ; 2 копейки (Петров-2р, Ильин-1р) ; 1829 ; КМ АМ ; Cu ; XF ; 53 ; Продано в зале ; 10500 
 79 ; 2 копейки (Петров-3р) ; 1830 ; КМ АМ ; Cu ; XF ; 53 ; I3 ; 11500 
 80 ; 2 копейки (Ильин-1р) ; 1834 ; СМ ; Cu ; VF- ; 15 ; Sky2 ; 3060 
 81 ; 2 копейки ; 1881 ; СПБ ; Cu ; AU ; 126 ; Продано в зале ; 60000 
 82 ; Копейка ; 1795 ; ЕМ ; Cu ; VF+ ; 27 ; lesnik1 ; 1400 
 83 ; Копейка ; 1818 ; КМ ДБ ; Cu ; XF ; 22 ; Gbwwf ; 4200 
 84 ; Копейка ; 1819 ; КМ АД ; Cu ; XF- ; 32 ; 25 ; 4800 
 85 ; Копейка ; 1820 ; КМ АД ; Cu ; VF ; 11 ; sheriff 0 ; 550 
 86 ; Копейка ; 1821 ; КМ АМ ; Cu ; VF-XF ; 31 ; Gbwwf ; 8500 
 87 ; Копейка ; 1822 ; КМ АМ ; Cu ; XF- ; 31 ; Gbwwf ; 5250 
 88 ; Копейка ; 1823 ; КМ АМ ; Cu ; XF ; 32 ; I3 ; 5500 
