 401 ; 20 марок ; 1879 ; S Финляндия ; Au ; AU ; 19 ; Sky2 ; 17667 
 402 ; 20 марок (редкая датировка) ; 1880 ; S Финляндия ; Au ; AU ; 23 ; XXXXX ; 50000 
 403 ; 25 копеек ; 1880 ; СПБ НФ ; Ag ; AU ; 23 ; 462 ; 11220 
 404 ; 10 марок ; 1881 ; S Финляндия ; Au ; AU ; 21 ; kol200 ; 13000 
 405 ; 5 копеек ; 1882 ; СПБ НФ ; Ag ; AU ; 11 ; Участник № 133 ; 800 
 406 ; 1 пенни. Редкая датировка ; 1884 ; Финляндия ; Cu ; XF+ ; 33 ; boroda ; 9945 
 407 ; 5 рублей ; 1886 ; (АГ) Борода длиннее ; Au ; AU ; 38 ; Участник № 2 ; 34000 
 408 ; 5 рублей ; 1890 ; (АГ) ; Au ; XF ; 15 ; 4758 ; 26000 
 409 ; 25 копеек. Редкая датировка ; 1890 ; (АГ) АГ ; Ag ; VF- ; 20 ; azef ; 15000 
 410 ; 5 копеек ; 1890 ; СПБ АГ ; Ag ; AU ; 15 ; Участник № 133 ; 800 
 411 ; 25 копеек. Редкая датировка ; 1891 ; (АГ) АГ ; Ag ; XF ; 44 ; int1965708 ; 51000 
 412 ; 5 рублей (редкая датировка, Уздеников "черта") ; 1892 ; (АГ) ; Au ; XF- ; 30 ; Участник № 51 ; 42000 
 413 ; Полтина ; 1893 ; (АГ) ; Ag ; VF-XF ; 32 ; Участник № 1177 ; 11000 
 414 ; 15 рублей ; 1897 ; (АГ) За обрез шеи заходит "ОСС ; Au ; AU ; 21 ; aae2006 ; 24000 
 415 ; 20 марок ; 1903 ; L Финляндия ; Au ; AU ; 17 ; boroda ; 15000 
 416 ; 20 марок ; 1904 ; L Финляндия ; Au ; AU ; 17 ; kol200 ; 15300 
 417 ; 2 марки. Редкая датировка ; 1905 ; L Финляндия ; Ag ; VF-XF ; 23 ; Участник № 9 ; 18000 
 418 ; 2 копейки. В капсуле NGC ; 1901 ; СПБ ; Cu ; MS 63 ; 7 ; Участник № 132 ; 3000 
 419 ; Копейка. В капсуле NGC ; 1797 ; ЕМ ; Cu ; AU 55 ; 11 ; 462 ; 3200 
 420 ; Копейка. В капсуле NGC ; 1889 ; СПБ ; Cu ; MS 64 ; 18 ; Участник № 133 ; 3600 
 421 ; 20 копеек. В капсуле NGC ; 1861 ; СПБ ФБ ; Ag ; MS 62 ; 47 ; 59 ; 1988 
 422 ; 20 копеек. В капсуле NGC ; 1865 ; СПБ НФ ; Ag ; MS 63 ; 15 ; Участник № 30 ; 2600 
 423 ; 25 копеек. В капсуле NGC ; 1855 ; СПБ HI ; Ag ; AU 55 ; 29 ; Самсон ; 2542 
 424 ; Рубль. В капсуле NGC ; 1913 ; На 300-летие Дома Романовых ; Ag ; AU 55 ; 31 ; Участник № 1179 ; 6500 
 425 ; 5 рублей. В капсуле NGC ; 1901 ; (АР) ; Au ; XF 45 ; 20 ; kelban ; 12487 
 426 ; Полтина. В капсуле NGC ; 1896 ; (АГ) АГ ; Ag ; MS 62 ; 58 ; Участник № 30 ; 11000 
 427 ; Полтина. В капсуле NGC ; 1899 ; (АГ) АГ ; Ag ; AU 58 ; 19 ; Участник № 62 ; 11000 
 351 ; 20 копеек ; 1772 ; СПБ TI ; Ag ; XF- ; 23 ; TDN ; 3062 
 352 ; 10 рублей ; 1774 ; СПБ ТI ; Au ; VF+ ; 50 ; Самсон ; 149207 
 353 ; Копейка. Крым. Шахин-Гирей. 5-й год правления ; 1191лх(1777) ;  ; Cu ; VF- ; 7 ; boroda ; 1360 
 354 ; Полуполтинник ; 1781 ; СПБ АГ ; Ag ; VF-XF ; 28 ; aleks-2007 ; 4126 
 355 ; Гривенник ; 1783 ; СПБ ; Ag ; XF- ; 13 ; ААФ ; 3400 
 356 ; 15 копеек ; 1786 ; СПБ ; Ag ; XF-/VF+ ; 19 ; Участник № 9 ; 7500 
 357 ; Полуполтинник ; 1794 ; СПБ АК ; Ag ; VF ; 14 ; Участник № 42 ; 4000 
 358 ; 5 копеек ; 1798 ; СП  ОМ ; Ag ; VF ; 21 ; S.r.l. ; 12240 
 359 ; Рубль ; 1800 ; СМ ОМ ; Ag ; VF-XF ; 29 ; Участник № 1168 ; 27000 
 360 ; 5 копеек ; 1804 ; ЕМ ; Cu ; VF-XF ; 7 ; boroda ; 1530 
 361 ; Двойной абаз ; 1816 ; АТ Грузия ; Ag ; VF+ ; 13 ; Участник № 545 ; 4800 
 362 ; Двойной абаз (Петров-5р, Ильин-5р) ; 1822 ; АТ Грузия ; Ag ; VF ; 27 ; Участник № 9 ; 32000 
 363 ; 3 рубля ; 1831 ; СПБ ; Pt ; VF+ ; 26 ; yurbor ; 74285 
 364 ; Рубль ; 1831 ; СПБ НГ ; Ag ; VF-XF ; 13 ; boroda ; 7652 
 365 ; 1 злотый ; 1832 ; KG Польша ; Ag ; VF+ ; 19 ; S.r.l. ; 9199 
 366 ; 3 рубля-20 злотых ; 1834 ; СПБ ПД Рус.-Пол. ; Au ; XF ; 39 ; S.r.l. ; 51000 
 367 ; 10 копеек ; 1834 ; ЕМ ФХ ; Cu ; VF+ ; 10 ; aae2006 ; 1838 
 368 ; Полтина ; 1835 ; СПБ НГ ; Ag ; VF- ; 14 ; Участник № 9 ; 12000 
 369 ; 5 копеек ; 1836 ; СПБ НГ ; Ag ; XF- ; 11 ; S.r.l. ; 1587 
 370 ; 3/4 рубля-5 злотых ; 1839 ; MW Рус.-Пол. ; Ag ; VF-XF ; 24 ; boroda ; 7700 
 371 ; 20 копеек ; 1840 ; СПБ НГ ; Ag ; XF- ; 17 ; S.r.l. ; 3326 
 372 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; XF+ ; 55 ; Участник № 637 ; 10000 
 373 ; Рубль ; 1845 ; MW ; Ag ; VF-XF ; 17 ; ААФ ; 8324 
 374 ; Полтина ; 1845 ; MW ; Ag ; VF+ ; 11 ; Участник № 9 ; 4200 
 375 ; 3 копейки ; 1847 ; СМ ; Cu ; VF- ; 22 ; ААФ ; 1201 
 376 ; Рубль ; 1848 ; СПБ HI ; Ag ; VF-XF ; 7 ; Участник № 62 ; 5500 
 377 ; Рубль (Ильин-5р, редкий) ; 1849 ; СПБ ПА ; Ag ; VF+ ; 40 ; Участник № 9 ; 42000 
 378 ; 5 копеек ; 1849 ; СПБ ПА ; Ag ; AU ; 5 ; aae2006 ; 1100 
 379 ; Полтина ; 1851 ; СПБ ПА ; Ag ; XF+ ; 17 ; 462 ; 6324 
 380 ; 5 копеек ; 1851 ; СПБ ПА ; Ag ; AU ; 7 ; Участник № 133 ; 1200 
 381 ; Полтина ; 1853 ; СПБ HI ; Ag ; AU ; 38 ; Участник № 62 ; 22000 
 382 ; 25 копеек ; 1853 ; СПБ HI ; Ag ; AU ; 7 ; ААФ ; 3060 
 383 ; 5 копеек (Ильин-3р) ; 1853 ; ВМ ; Cu ; F-VF ; 20 ; max7421 ; 7650 
 384 ; Рубль ; 1854 ; СПБ HI ; Ag ; VF-XF ; 16 ; elac ; 9364 
 385 ; 25 копеек ; 1854 ; СПБ HI ; Ag ; XF+/XF ; 17 ; 462 ; 4778 
 386 ; Рубль ; 1855 ; СПБ HI ; Ag ; VF-XF ; 15 ; elac ; 7477 
 387 ; 25 копеек ; 1856 ; СПБ ФБ ; Ag ; AU ; 5 ; hummer ; 4600 
 388 ; 3 копейки (Ильин-1р) ; 1858 ; ВМ ; Cu ; VF-XF ; 15 ; S.r.l. ; 8415 
 389 ; 2 копейки ; 1858 ; ВМ ; Cu ; VF+ ; 15 ; Участник № 114 ; 5500 
