 352 ; 5 копеек (Ильин-4р) ; 1851 ; ВМ ; Cu ; VF ; 26 ; Участник № 100 ; 28000 
 353 ; 5 копеек (Ильин-2р) ; 1854 ; ЕМ ; Cu ; VF ; 13 ; Участник № 51 ; 16000 
 354 ; 3 копейки (Ильин-2р) ; 1851 ; ВМ ; Cu ; XF+ ; 55 ; Участник № 100 ; 42000 
 355 ; Копейка ; 1858 ; ВМ Венз.уже ; Cu ; VF ; 14 ; maka ; 4500 
 356 ; Полушка ; 1853 ; ЕМ ; Cu ; XF/AU ; 35 ; destroer ; 5610 
 357 ; Гривенник ; 1747 ;  ; Ag ; VF-XF ; 21 ; Участник № 520 ; 3200 
 358 ; Десять денег ; 1704 ;  ; Ag ; XF ; 61 ; Senjor ; 150000 
 359 ; 5 копеек. Деформация ; 1798 ; СМ МБ ; Ag ; VF-XF ; 36 ; Участник № 4 ; 10500 
 360 ; 5 копеек ; 1832 ; СПБ НГ ; Ag ; VF+ ; 11 ; Участник № 9 ; 5800 
 361 ; 24 копейки ; 1757 ; Ливонез ; Ag ; VF ; 17 ; 156264 ; 20439 
 362 ; 1/3 талера (Петров-6р) ; 1761 ; Для Пруссии ; Ag ; VF+/XF- ; 30 ; Участник № 30 ; 38000 
 363 ; 1/3 талера (Петров-6р) ; 1761 ; Для Пруссии ; Ag ; VF+ ; 31 ; Участник № 18 ; 28000 
 364 ; 1/6 талера (Петров-5р) ; 1761 ; Для Пруссии ; Ag ; VF+/XF- ; 19 ; Участник № 30 ; 15000 
 365 ; 6 грошей ; 1759 ; Для Пруссии ; Ag ; XF+ ; 32 ; Участник № 9 ; 20000 
 366 ; 6 грошей ; 1761 ; Для Пруссии ; Ag ; F-VF ; 9 ; dimon46 ; 6120 
 367 ; 6 грошей ; 1761 ; Для Пруссии ; Ag ; XF- ; 9 ; Участник № 51 ; 10000 
 368 ; 6 грошей ; 1761 ; Для Пруссии ; Ag ; XF- ; 26 ; Участник № 51 ; 12000 
 369 ; 3 гроша (Петров-4р) ; 1761 ; Для Пруссии ; Ag ; VF+ ; 30 ; Участник № 9 ; 10000 
 370 ; 3 гроша (Петров-4р) ; 1761 ; Для Пруссии ; Ag ; VF+ ; 35 ; Участник № 30 ; 16000 
 371 ; Солид (Петров-6р). Деформация ; 1759 ; Для Пруссии ; Ag ; F-VF ; 28 ; Участник № 9 ; 3600 
 372 ; Солид (Петров-6р) ; 1760 ; Для Пруссии ; Ag ; VF- ; 13 ; Участник № 9 ; 3200 
 373 ; Солид (Петров-6р) ; 1761 ; Для Пруссии ; Ag ; VF- ; 11 ; Участник № 9 ; 4600 
