 101 ; 10 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 16 ; Участник № 18 ; 2100 
 102 ; 5 копеек ; 1862 ; СПБ МИ ; Ag ; AU/XF ; 31 ; Участник № 1 ; 2800 
 103 ; 10 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 19 ; нумизмат ; 3060 
 104 ; 20 копеек ; 1865 ; СПБ НФ ; Ag ; XF/AU ; 15 ; rused ; 1530 
 105 ; 1 пенни ; 1866 ; Финляндия ; Cu ; VF-XF ; 47 ; нумизмат ; 2800 
 106 ; 15 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 11 ; Участник № 18 ; 2800 
 107 ; 10 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 18 ; Участник № 222 ; 1800 
 108 ; 5 копеек ; 1867 ; СПБ HI ; Ag ; AU/XF ; 24 ; Участник № 1389 ; 3200 
 109 ; 20 копеек ; 1870 ; СПБ HI ; Ag ; AU/XF ; 9 ; rused ; 1479 
 110 ; 20 копеек ; 1873 ; СПБ HI ; Ag ; AU/XF ; 9 ; Участник № 7 ; 1600 
 111 ; 10 копеек ; 1873 ; СПБ HI ; Ag ; AU/XF ; 13 ; Участник № 9 ; 9500 
 112 ; 1/4 копейки ; 1873 ; ЕМ ; Cu ; XF- ; 32 ; нумизмат ; 4855 
 113 ; 20 копеек ; 1875 ; СПБ HI ; Ag ; XF+ ; 21 ; rused ; 1700 
 114 ; Рубль ; 1877 ; СПБ HI ; Ag ; AU/XF ; 29 ; Участник № 11 ; 7000 
 115 ; Рубль ; 1877 ; СПБ НФ ; Ag ; XF+ ; 42 ; Участник № 1739 ; 6800 
 116 ; 25 копеек ; 1877 ; СПБ HI ; Ag ; XF+ ; 25 ; мяу ; 3825 
 117 ; 1/2 копейки ; 1878 ; СПБ ; Cu ; XF- ; 41 ; ZOLTAN333 ; 2005 
 118 ; 10 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 19 ; Участник № 18 ; 4000 
 119 ; Рубль ; 1882 ; СПБ НФ ; Ag ; XF- ; 72 ; Участник № 7 ; 17000 
 120 ; 20 копеек ; 1885 ; СПБ АГ ; Ag ; AU ; 65 ; Участник № 222 ; 3400 
 121 ; 1/2 копейки ; 1885 ; СПБ ; Cu ; AU ; 19 ; нумизмат ; 2265 
 122 ; 1/4 копейки ; 1890 ; СПБ ; Cu ; AU ; 29 ; 995953 ; 12000 
 123 ; 1/2 копейки ; 1892 ; СПБ ; Cu ; XF+ ; 23 ; lvd ; 3000 
 124 ; 10 копеек ; 1894 ; СПБ АГ ; Ag ; AU ; 31 ; Участник № 7 ; 1800 
 125 ; 25 копеек ; 1896 ; АГ ; Ag ; XF-/XF+ ; 28 ; coinlover ; 2550 
 126 ; Рубль ; 1897 ; ( ** ) ; Ag ; XF+ ; 30 ; ostman ; 7650 
 127 ; Рубль ; 1898 ; ( ** ) ; Ag ; VF-XF ; 69 ; 0987654321 ; 6000 
 128 ; 10 копеек ; 1899 ; СПБ АГ ; Ag ; AU ; 40 ; elac ; 2200 
 129 ; 5 копеек. Редкие буквы минцмейстера для данного года ; 1901 ; СПБ АР ; Ag ; AU ; 43 ; Участник № 4 ; 6400 
 130 ; 10 копеек ; 1902 ; СПБ АР ; Ag ; XF/AU ; 17 ; andreyx  ; 1600 
 131 ; 2 копейки ; 1911 ; СПБ ; Cu ; AU ; 8 ; Участник № 132 ; 700 
 132 ; Рубль ; 1914 ; (ВС) ; Ag ; AU ; 34 ; мяу ; 30345 
 133 ; 15 копеек ; 1917 ; ВС ; Ag ; AU ; 16 ; SSK ; 2754 
 134 ; 3 копейки ; 1924 ; Гурт гладкий ; Cu ; Unc/AU ; 62 ; Участник № 1866 ; 11500 
 135 ; Один полтинник ; 1925 ; (ПЛ 9 грамм. 2з. 10,5 д.) ; Ag ; VF+ ; 29 ; Участник № 222 ; 6500 
 136 ; Медаль. Столетие Императорского Вольного Экономического Общества 1765-1865гг. Медальер Кучкин. D-45мм ; 1865 ;  ; Br ; XF+ ; 51 ; Участник № 222 ; 5800 
 137 ; Георгиевский крест IV ст. №982319. Размеры: 34 на 34мм ; 1914-1915 ;  ; Ag ; VF+ ; 16 ; Участник № 6 ; 11000 
 138 ; Медаль "За усердие". Имп. Александр III. D-29мм ;  ;  ; Ag ; VF ; 42 ; лена ; 14733 
 139 ; Медаль "За усердие". D-51мм ;  ;  ; Ag ; VF-XF ; 41 ; Участник № 6 ; 15000 
 140 ; Знак для служащих детских приютов Ведомства учреждений императрицы Марии утв. 14.08.1894г. Размеры: 24 на 35мм. Без клейм ;  ;  ; Ag,позол,э ; VF-XF ; 20 ; волга25 ; 5457 
 141 ; Миниатюра знака об окончании Алексеевского Донского Политехнического Института в Новороссийске. Размеры: 19 на 24мм. М-6г ;  ;  ; Ag,эмаль ; XF+ ; 13 ; hugo ; 7140 
