 151 ; Знак. Депутат ВС Литовской ССР № 348. (4-11 созывы). С удостоверением ; ММД ;  ; Ag, эмаль ; XF+ ; 24 ; korovan67 ; 12750 
 101 ; 5 копеек. Дефект чеканки ; 1777 ; ЕМ ; Cu ; VF+ ; 17 ; Продано в зале ; 720 
 102 ; 5 копеек ; 1792 ; АМ ; Cu ; XF- ; 10 ; volod ; 1041 
 103 ; 5 копеек ; 1802 ; ЕМ ; Cu ; XF- ; 19 ; aleks-2007 ; 3000 
 104 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF- ; 36 ; aleks-2007 ; 2659 
 105 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF- ; 23 ; igors1969 ; 4600 
 106 ; 3 копейки ; 1855 ; ЕМ ; Cu ; XF- ; 48 ; Продано в зале ; 7200 
 107 ; 2 копейки ; 1757 ; Номинал под гербом ; Cu ; VF+ ; 15 ; 439 ; 1104 
 108 ; 2 копейки ; 1758 ;  ; Cu ; VF+ ; 12 ; baryin ; 1124 
 109 ; 2 копейки ; 1780 ; КМ "Сибирь" ; Cu ; VF+ ; 13 ; OMT ; 4507 
 110 ; 2 копейки ; 1797 ; КМ ; Cu ; VF+ ; 23 ; OMT ; 906 
 111 ; 2 копейки ; 1798 ; ЕМ ; Cu ; VF+ ; 11 ; OMT ; 459 
 112 ; 2 копейки ; 1798 ; КМ ; Cu ; VF+ ; 18 ; Trien ; 2040 
 113 ; 2 копейки (Петров-8р, Ильин-3р) ; 1788 ; ММ ; Cu ; F-VF ; 29 ; OMT ; 4986 
 114 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; XF- ; 51 ; alien34 ; 1247 
 115 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; XF- ; 21 ; Продано в зале ; 1400 
 116 ; 2 копейки (Ильин-3р) ; 1811 ; ЕМ НМ ; Cu ; VF+ ; 25 ; OMT ; 8966 
 117 ; 2 копейки ; 1842 ; СПМ ; Cu ; XF- ; 48 ; 199199 ; 6487 
 118 ; 2 копейки ; 1864 ; ЕМ ; Cu ; XF ; 56 ; 0987654321 ; 4062 
