 101 ; 2 копейки ; 1778 ; ЕМ ; Cu ; VF+ ; 11 ; Продано в зале ; 4400 
 102 ; 2 копейки ; 1790 ; ЕМ ; Cu ; VF+ ; 9 ; Продано в зале ; 2600 
 103 ; 2 копейки ; 1791 ; ЕМ ; Cu ; VF+ ; 23 ; Продано в зале ; 12500 
 104 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; XF ; 20 ; Продано в зале ; 6000 
 105 ; 2 копейки ; 1840 ; ЕМ ; Cu ; VF+ ; 18 ; Продано в зале ; 950 
 106 ; 2 копейки ; 1853 ; ЕМ ; Cu ; VF-XF ; 40 ; tarbarmoshka ; 1790 
 107 ; Копейка ; 1712 ; МД ; Cu ; VF- ; 15 ; Продано в зале ; 4200 
 108 ; Копейка ; 1716 ; НД ; Cu ; VF ; 25 ; дед  ; 5411 
 109 ; Копейка ; 1728 ;  ; Cu ; VF+ ; 32 ; Продано в зале ; 19000 
 110 ; Копейка. Гурт ЕМ ; 1755-1757 ;  ; Cu ; VF+ ; 29 ; Продано в зале ; 12500 
 111 ; Копейка ; 1771 ; КМ "Сибирь" ; Cu ; VF-XF ; 23 ; Абаж ; 1405 
 112 ; Копейка ; 1772 ; КМ "Сибирь" ; Cu ; VF-XF ; 5 ; Продано в зале ; 1000 
 113 ; Копейка ; 1811 ; ИМ МК ; Cu ; VF+ ; 22 ; SSK ; 700 
 114 ; Копейка (Петров-3,5р, Ильин-4р) ; 1817 ; КМ АМ ; Cu ; VF+ ; 27 ; Isay ; 8200 
 115 ; Копейка ; 1830 ; КМ АМ ; Cu ; VF+ ; 20 ; Isay ; 1900 
 116 ; Копейка ; 1840 ; ЕМ ; Cu ; VF-XF ; 3 ; Продано в зале ; 550 
 117 ; Копейка ; 1853 ; ЕМ ; Cu ; VF-XF ; 11 ; ppi ; 2498 
 118 ; Копейка ; 1879 ; СПБ ; Cu ; XF+ ; 26 ; Продано в зале ; 3000 
 119 ; 1/2 копейки ; 1842 ; СМ ; Cu ; VF+ ; 15 ; SSK ; 1018 
 120 ; 1/2 копейки ; 1843 ; СМ ; Cu ; VF+ ; 7 ; Абаж ; 800 
 121 ; 1/2 копейки ; 1844 ; СМ ; Cu ; VF+ ; 14 ; $$$ ; 310 
 122 ; Полушка ; 1851 ; ЕМ ; Cu ; XF+ ; 20 ; Продано в зале ; 2400 
 123 ; Полушка ; 1855 ; ЕМ ; Cu ; VF-XF ; 23 ; Isay ; 2040 
 124 ; Полушка ; 1857 ; ЕМ ; Cu ; VF-XF ; 25 ; fgd ; 1372 
 125 ; 1/4 копейки ; 1887 ; СПБ ; Cu ; AU ; 39 ; Продано в зале ; 5200 
 126 ; 1/4 копейки ; 1891 ; СПБ ; Cu ; AU ; 22 ; Продано в зале ; 8200 
 127 ; 1/4 копейки. В пластиковой упаковке NGC ; 1899 ; СПБ ; Cu ; MS 63 ; 22 ; Продано в зале ; 1900 
 128 ; 1/4 копейки. В капсуле NGC ; 1898 ; СПБ ; Cu ; MS 63 ; 25 ; Продано в зале ; 2400 
 129 ; 1 грош ; 1838 ; MW Рус.-Пол. ; Cu ; VF+ ; 9 ; Продано в зале ; 1800 
 130 ; 1 пенни ; 1871 ; Финляндия ; Cu ; AU ; 41 ; Fliege1 ; 2040 
 131 ; 1 пенни ; 1883 ; Финляндия ; Cu ; AU ; 11 ; каламбурчик ; 459 
 132 ; 1 пенни ; 1888 ; Финляндия ; Cu ; AU ; 11 ; каламбурчик ; 459 
 133 ; 1 пенни ; 1891 ; Финляндия ; Cu ; Unc/AU ; 16 ; rihhi ; 714 
