 151 ; 10 копеек. В капсуле NGC ; 1861 ; СПБ ; Ag ; MS 63 ; 42 ; dsidorov ; 6329 
 152 ; 10 копеек. В капсуле NGC ; 1837 ; ЕМ НА ; Cu ; Unc ; 66 ; maka ; 28056 
 153 ; 5 копеек. В капсуле NGC ; 1851 ; ЕМ ; Cu ; AU 55 ; 19 ; Продано в зале ; 14000 
 154 ; 2 копейки В капсуле NGC ; 1903 ; СПБ ; Cu ; MS 62 ; 13 ; Продано в зале ; 4000 
 155 ; Копейка В капсуле NGC ; 1894 ; СПБ ; Cu ; MS 63 ; 25 ; Продано в зале ; 6500 
 156 ; Копейка. В капсуле NGC ; 1898 ; СПБ ; Cu ; MS 61 ; 11 ; Продано в зале ; 3800 
 157 ; 1/2 копейки.  В капсуле NGC ; 1885 ; СПБ ; Cu ; MS 64 ; 13 ; niki ; 5102 
 158 ; 1/4 копейки. В капсуле NGC ; 1876 ; СПБ ; Cu ; AU58 ; 34 ; Продано в зале ; 9000 
 159 ; 2 копейки. Образец госбанка СССР. В капсуле NGC ; ND (1961) ;  ; Al/Br ; Unc ; 35 ; Продано в зале ; 3600 
 160 ; Знак Навигацкая школа морской кадетский корпус ;  ;  ; Ж/м,эмаль ; VF+ ; 32 ; Продано в зале ; 12500 
 161 ; Медаль в память торжества открытия памятника империтрице Екатерине II. D-35мм ; 1873 ;  ; Cu ; XF ; 26 ; WCN ; 4194 
 162 ; Медаль в воспомининие торжественного открытия памятника империтрице Екатерине II 24 ноября 1873. D-36мм ; 1873 ;  ; Лат ; XF+ ; 28 ; ты кто такой? ; 4080 
 163 ; Жетон театры "Зон" С-Петербург, Москва ;  ;  ; Al ; XF ; 23 ; ruba ; 4533 
 101 ; Копейка ; 1773 ; КМ "Сибирь" ; Cu ; VF+ ; 15 ; Продано в зале ; 2000 
 102 ; Копейка ; 1774 ; КМ "Сибирь" ; Cu ; VF-XF ; 49 ; Продано в зале ; 4600 
 103 ; Копейка (Новодел) ; 1778 ; КМ ;  ; XF+ ; 66 ; Продано в зале ; 19000 
 104 ; Копейка ; 1789 ; ЕМ ; Cu ; VF+ ; 17 ; Продано в зале ; 1400 
 105 ; Копейка ; 1790 ; ЕМ ; Cu ; VF+ ; 28 ; SSK ; 1700 
 106 ; Копейка ; 1794 ; ЕМ ; Cu ; VF+ ; 7 ; Dмитрий ; 3005 
 107 ; Копейка (Ильин-3р) ; 1795 ;  ; Cu ; VF ; 24 ; Продано в зале ; 5000 
 108 ; Копейка (Новодел) ; 1798 ; КМ ; Cu ; XF+ ; 20 ; Продано в зале ; 30000 
 109 ; Копейка. Брак чеканки ; 1800 ; ЕМ ; Cu ; F-VF ; 13 ; Продано в зале ; 11000 
 110 ; Копейка. Инкузный след ;  ;  ; Cu ; VF+ ; 79 ; Продано в зале ; 9500 
 111 ; Копейка (Ильин-3р) ; 1805 ; КМ ; Cu ; VF ; 23 ; Продано в зале ; 29000 
 112 ; Копейка (Ильин-3р) ; 1810 ; СПБ МК ; Cu ; VF-XF ; 69 ; Продано в зале ; 42000 
 113 ; Копейка ; 1819 ; КМ АД ; Cu ; VF+ ; 20 ; SSK ; 955 
 114 ; Копейка (Новодел) ; 1830 ; СПБ ;  ; XF+ ; 124 ; Продано в зале ; 42000 
 115 ; Копейка ; 1842 ; ЕМ ; Cu ; VF-XF ; 22 ; нумизмат ; 2500 
 116 ; Копейка ; 1855 ; ЕМ ; Cu ; XF- ; 34 ; нумизмат ; 1791 
 117 ; Копейка ; 1862 ; ВМ ; Cu ; VF-XF ; 39 ; нумизмат ; 4590 
 118 ; Копейка ; 1874 ; ЕМ ; Cu ; AU ; 45 ; бегемот ; 6518 
 119 ; Денга ; 1702 ;  ; Cu ; F-VF ; 221 ; нумизмат ; 4500 
 120 ; Денга ; 1703 ;  ; Cu ; VF ; 82 ; monos72 ; 14676 
 121 ; Денга ; 1713 ;  ; Cu ; VF ; 20 ; Продано в зале ; 2500 
 122 ; Деньга (Петров-1р, Ильин-3р) ; 1797 ; КМ ; Cu ; VF- ; 27 ; Продано в зале ; 3200 
 123 ; Деньга (Петров-4р, Ильин-3р) ; 1813 ; ЕМ НМ ; Cu ; VF+ ; 98 ; Продано в зале ; 27000 
 124 ; Деньга (Петров-4р, Ильин-3р) ; 1814 ; КМ АМ ; Cu ; VF- ; 200 ; ct200h ; 5667 
 125 ; Деньга ; 1819 ; ЕМ НМ ; Cu ; AU/XF ; 34 ; Продано в зале ; 4400 
 126 ; 1/2 копейки ; 1841 ; СПМ ; Cu ; XF+ ; 69 ; Продано в зале ; 4200 
 127 ; 1/2 копейки ; 1842 ; СПМ ; Cu ; AU ; 54 ; Продано в зале ; 15000 
 128 ; Денежка ; 1851 ; ВМ ; Cu ; XF- ; 70 ; нумизмат ; 10723 
 129 ; 1/2 копейки ; 1884 ; СПБ ; Cu ; XF ; 33 ; Продано в зале ; 8000 
 130 ; Полушка (Петров-12р, Ильин-15р) ; 1703 ;  ; Cu ; F- ; 29 ; Продано в зале ; 15000 
