 101 ; Копейка ; 1896 ; СПБ ; Cu ; AU ; 61 ; Продано в зале ; 10500 
 102 ; Копейка ; 1899 ; СПБ ; Cu ; AU ; 41 ; tisa66 ; 5000 
 103 ; Копейка ; 1905 ; СПБ ; Cu ; AU ; 32 ; Продано в зале ; 3400 
 104 ; Денга ; 1778 ; КМ "Сибирь" ; Cu ; VF ; 61 ; Продано в зале ; 2600 
 105 ; 1/2 копейки ; 1846 ; СМ ; Cu ; VF+ ; 67 ; evgenijzhuk ; 3528 
 106 ; Полушка (Ильин - 4 руб) ; 1791 ; КМ ; Cu ; F-VF ; 25 ; taa ; 1111 
 107 ; 1/4 копейки ; 1840 ; ЕМ ; Cu ; VF-XF ; 39 ; Продано в зале ; 1300 
 108 ; 1/4 копейки ; 1840 ; СПМ ; Cu ; VF-XF ; 38 ; Продано в зале ; 900 
 109 ; 1/4 копейки ; 1841 ; СПМ ; Cu ; XF- ; 58 ; нумизмат ; 3073 
 110 ; 1/4 копейки ; 1842 ; СПМ ; Cu ; VF-XF ; 19 ; $$$ ; 791 
 111 ; 1/4 копейки ; 1910 ; СПБ ; Cu ; XF ; 31 ; Продано в зале ; 2200 
 112 ; 1 пенни  В капсуле NGC ; 1901 ; Финляндия ; Cu ; MS 63 ; 14 ; serg2010 ; 2300 
 113 ; 1 пенни  В капсуле NGC ; 1917 ; Финляндия ; Cu ; MS 63 ; 33 ; Продано в зале ; 2500 
 114 ; Медаль За беспорочную службу в полиции. D-36мм ;  ;  ; Ag ; VF-XF ; 42 ; ДмитрийЩ ; 23077 
 115 ; Медаль Петр Алексеевич. Медальер В.Баранов. D-65мм ;  ;  ; Cu ; XF- ; 26 ; Продано в зале ; 14000 
 116 ; Медаль в память совершившегося 1000-летия России. Медальер П.Брусницын. D-85мм ;  ;  ; Cu ; XF+ ; 26 ; Продано в зале ; 20000 
 117 ; Медаль "За службу и храбрость" 26 ноября 1869. Екатерина II императрица и Александр  II император. D-70мм ;  ;  ; Cu ; VF-XF ; 19 ; Продано в зале ; 10500 
 118 ; Медаль на события 1812г. Трехдневный бой при городе Красном. Медальер А.Лялин по оригиналу Ф.П.ТолстогоD-64мм ;  ;  ; Cu ; AU. Забоинки ; 40 ; Продано в зале ; 14500 
 119 ; Медаль на события 1812г. Сражение при Бриене. Медальер А.А.Клепиков по оригиналу Ф.П.ТолстогоD-64мм ;  ;  ; Cu ; XF+. Пятна, забоинки ; 33 ; Продано в зале ; 13500 
 120 ; Медаль на события 1812г. Бегство Наполеона за Неман. Медальер А.А.Клепиков по оригиналу Ф.П.ТолстогоD-64мм ;  ;  ; Cu ; Vf-XF. Забоины, грубая чистка гурта ; 84 ; Продано в зале ; 6500 
 51 ; 5 копеек ; 1856 ; СПБ ФБ ; Ag ; AU ; 23 ; azsilver ; 4000 
 52 ; 5 копеек ; 1874 ; СПБ HI ; Ag ; AU ; 30 ; verunk1 ; 7140 
 53 ; 5 копеек ; 1883 ; СПБ АГ ; Ag ; AU ; 62 ; Продано в зале ; 15500 
 54 ; 5 копеек ; 1888 ; СПБ АГ ; Ag ; AU ; 25 ; Продано в зале ; 2400 
 55 ; 5 копеек ; 1890 ; СПБ АГ ; Ag ; AU ; 16 ; мегавольт ; 2267 
 56 ; 5 копеек ; 1897 ; СПБ АГ ; Ag ; AU ; 29 ; sherst1 ; 1700 
 57 ; 5 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 62 ; dali ; 4444 
 58 ; 2 марки ; 1865 ; S Финляндия ; Ag ; AU/XF ; 21 ; sax ; 7023 
 59 ; 1 марка ; 1865 ; S Финляндия ; Ag ; XF+ ; 40 ; Продано в зале ; 3000 
 60 ; Рубль ; 1922 ; (ПЛ) ; Ag ; AU ; 44 ; 11ц ; 32766 
 61 ; 5 копеек ; 1764 ; ММ ; Cu ; VF ; 18 ; Продано в зале ; 750 
 62 ; 5 копеек ; 1766 ; ММ ; Cu ; VF+ ; 15 ; Продано в зале ; 750 
 63 ; 5 копеек ; 1775 ; КМ "Сибирь" ; Cu ; VF-XF ; 6 ; ksun ; 6936 
 64 ; 5 копеек. Крым. Шахин-Гирей ; 1191(1777) ;  ; Cu ; VF- ; 51 ; Продано в зале ; 11000 
 65 ; 5 копеек ; 1782 ; КМ ; Cu ; VF-XF ; 21 ; Продано в зале ; 2000 
 66 ; 5 копеек Ильин- 5р. ; 1788 ; ЕМ ; Cu ; F-VF ; 27 ; Продано в зале ; 5200 
 67 ; 5 копеек ; 1788 ; ЕМ ; Cu ; XF- ; 40 ; Tbilisi ; 2154 
 68 ; 5 копеек. Дефект чеканки ; 1788 ; ЕМ ; Cu ; VF-XF ; 20 ; Продано в зале ; 2600 
 69 ; 5 копеек ; 1788 ; ММ ; Cu ; VF ; 22 ; Продано в зале ; 750 
 70 ; 5 копеек ; 1790 ; АМ ; Cu ; VF-XF ; 23 ; Продано в зале ; 900 
 71 ; 5 копеек ; 1791 ; АМ ; Cu ; XF- ; 14 ; Продано в зале ; 900 
 72 ; 5 копеек ; 1792 ; ЕМ ; Cu ; XF- ; 45 ; electra ; 1554 
 73 ; 5 копеек ; 1795 ; ЕМ ; Cu ; VF-XF ; 17 ; electra ; 1600 
 74 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF ; 56 ; pilillilili ; 9988 
 75 ; 5 копеек ; 1803 ; ЕМ ; Cu ; VF-XF ; 46 ; Продано в зале ; 3800 
 76 ; 5 копеек ; 1806 ; ЕМ ; Cu ; VF-XF ; 40 ; Продано в зале ; 3600 
 77 ; 5 копеек. В капсуле NGC ; 1831 ; ЕМ ФХ ; Cu ; AU58 ; 45 ; Продано в зале ; 15000 
 78 ; 5 копеек ; 1834 ; СМ ; Cu ; VF ; 23 ; Продано в зале ; 1600 
 79 ; 5 копеек ; 1835 ; СМ ; Cu ; VF-XF ; 83 ; Продано в зале ; 19000 
 80 ; 5 копеек ; 1879 ; СПБ ; Cu ; VF-XF ; 37 ; sax ; 3503 
 81 ; 2 копейки ; 1763 ; ММ ; Cu ; VF+ ; 11 ; Продано в зале ; 1100 
 82 ; 2 копейки ; 1771 ; КМ "Сибирь" ; Cu ; VF+ ; 38 ; Продано в зале ; 2250 
 83 ; 2 копейки ; 1788 ; СПМ ; Cu ; VF ; 44 ; venk ; 10199 
 84 ; 2 копейки ; 1790 ; ЕМ ; Cu ; VF+ ; 35 ; пободаемся ; 2182 
 85 ; 2 копейки ; 1831 ; СМ ; Cu ; VF ; 37 ; Продано в зале ; 2400 
 86 ; 2 копейки ; 1865 ; ЕМ ; Cu ; VF+ ; 30 ; нумизмат ; 5329 
 87 ; Копейка ; 1706 ; БК ; Cu ; VF ; 61 ; Продано в зале ; 16500 
 88 ; Копейка ; 1774 ; КМ "Сибирь" ; Cu ; VF-XF ; 41 ; double ; 3245 
 89 ; Копейка ; 1779 ; КМ "Сибирь" ; Cu ; VF+ ; 19 ; fgd ; 1500 
 90 ; Копейка ; 1824 ; ЕМ ПГ ; Cu ; XF ; 68 ; Продано в зале ; 4500 
 91 ; Копейка ; 1828 ; ЕМ ИК ; Cu ; VF+ ; 12 ; Продано в зале ; 320 
 92 ; Копейка ; 1837 ; ЕМ НА ; Cu ; XF- ; 110 ; монета кривая ; 8028 
 93 ; Копейка ; 1837 ; ЕМ КТ ; Cu ; XF- ; 80 ; 3273 ; 10000 
 94 ; Копейка ; 1843 ; СПМ ; Cu ; XF- ; 43 ; evgenijzhuk ; 13808 
 95 ; Копейка ; 1845 ; СМ ; Cu ; VF-XF ; 36 ; Продано в зале ; 2600 
 96 ; Копейка ; 1851 ; ЕМ ; Cu ; VF-XF ; 22 ; Sky2 ; 1134 
 97 ; Копейка ; 1855 ; ЕМ ; Cu ; VF-XF ; 41 ; fgd ; 1613 
 98 ; Копейка ; 1860 ; ВМ ; Cu ; XF- ; 45 ; serg2010 ; 10353 
 99 ; Копейка ; 1887 ; СПБ ; Cu ; AU ; 55 ; монета кривая ; 6674 
 100 ; Копейка  В капсуле NGC ; 1891 ; СПБ ; Cu ; Unc ; 52 ; ДМИТРИЙ С ; 6630 
