 101 ; Жетон. Эталон. П-2 15 копеек ; 1962 ;  ; б/м ; VF-XF ; 15 ; Mike! ; 2200 
 102 ; Жетон. Эталон. Н-2 15 копеек ; 1962 ;  ; б/м ; XF ; 9 ; Mike! ; 2222 
 103 ; Жетон. Эталон. Н-1 10 копеек ; 1962 ;  ; б/м ; XF- ; 11 ; Mike! ; 2300 
 104 ; Жетон. Эталон. Н-2 10 копеек ; 1962 ;  ; б/м ; XF= ; 17 ; Mike! ; 2200 
 105 ; Жетон на коронацию Александра II. D-22мм ; 1856 ;  ; Ag ; AU ; 56 ; sherst1 ; 12000 
 106 ; Жетон на коронацию Александра III. D-25мм ; 1883 ;  ; Ag ; XF+ ; 24 ; sherst1 ; 12000 
 107 ; Жетон на коронацию Александра III. D-26мм ; 1883 ;  ; Cu ; XF+ ; 64 ; verunk1 ; 10173 
 108 ; Жетон на коронацию Николая II. D-25мм ; 1896 ;  ; Ag ; AU ; 33 ; verunk1 ; 12240 
 109 ; Медаль. В память смотра Российско-Прусских войск при Калише. D - 33mm ; 1835 ;  ; Cu ; VF-XF ; 11 ; A-Stral ; 3629 
 110 ; Плакета. 250 лет Ботаническому институту им В.Л.Комарова Академии Наук СССР. Медальер Н.Соколов. 70*46мм ;  ;  ; Ж/м ; AU ; 60 ; Продано в зале ; 3300 
 111 ; Знак ЛКВВИА ;  ;  ; Ag,эмаль ; XF ; 46 ; verunk1 ; 9375 
 112 ; Знак Для членов Санкт-Петербургского института. 21*31мм ;  ;  ; Ag,позолота ; XF ; 25 ; A-Stral ; 8568 
 51 ; 10 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 14 ; Продано в зале ; 1900 
 52 ; 10 копеек ; 1878 ; СПБ НФ ; Ag ; XF+ ; 7 ; Продано в зале ; 2100 
 53 ; 10 копеек ; 1900 ; СПБ ФЗ ; Ag ; AU ; 36 ; pilot2371 ; 6120 
 54 ; 10 копеек. В капсуле ННР.  MS63 ; 1917 ; ВС ; Ag ;  ; 37 ; Продано в зале ; 6000 
 55 ; 5 копеек ; 1757 ; СПБ ; Ag ; VF+ ; 24 ; G.R.O.S.S. ; 3790 
