 101 ; Полуполтинник (Петров-4р, Ильин-3р) ; 1793 ; СПБ ЯА ; Ag ; VF+ ; 82 ; Продано в зале ; 14500 
 102 ; 5 копеек (Петров-12р, Ильин-5р) ; 1730 ; ДМ ; Cu ; VF- ; 27 ; Продано в зале ; 21500 
 103 ; Один червонец ; 1980 ; ММД ; Au ; Proof ; 30 ; Продано в зале ; 33000 
 51 ; 10 копеек ; 1861 ; СПБ ; Ag ; XF+ ; 14 ; $$$ ; 800 
 52 ; 10 копеек ; 1866 ; СПБ HI ; Ag ; XF+ ; 17 ; Продано в зале ; 5200 
 53 ; 10 копеек ; 1867 ; СПБ HI ; Ag ; XF+ ; 20 ; Продано в зале ; 950 
 54 ; 10 копеек ; 1882 ; СПБ НФ ; Ag ; XF+ ; 29 ; AlexMar ; 4085 
 55 ; 10 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 20 ; sergius ; 7500 
 56 ; 5 копеек ; 1833 ; СПБ НГ ; Ag ; XF ; 25 ; sergius ; 4946 
 57 ; 5 копеек ; 1872 ; СПБ HI ; Ag ; VF-XF ; 17 ; Olimpia ; 2119 
 58 ; 2 марки ; 1906 ; L Финляндия ; Ag ; AU ; 43 ; Продано в зале ; 6000 
 59 ; 2 марки ; 1907 ; L Финляндия ; Ag ; XF/AU ; 29 ; Продано в зале ; 6800 
 60 ; 25 пенни ; 1872 ; S Финляндия ; Ag ; AU ; 9 ; Продано в зале ; 4000 
 61 ; 10 золотников ;  ; АД ; Ag ; XF ; 21 ; золотник ; 35700 
 62 ; 10 копеек ; 1774 ; КМ "Сибирь" ; Cu ; XF ; 25 ; krugerrand ; 14250 
 63 ; 10 копеек. Капсула NGC ; 1781 ; КМ "Сибирь" ; Cu ;  ; 42 ; Sky2 ; 9996 
 64 ; 5 копеек ; 1764 ; СПМ ; Cu ; F+ ; 29 ; Продано в зале ; 7500 
 65 ; 5 копеек. Брак-без гурта ; 1779 ; ЕМ ; Cu ; VF- ; 15 ; Продано в зале ; 2600 
 66 ; 5 копеек ; 1791 ; АМ ; Cu ; XF ; 12 ; Продано в зале ; 1400 
 67 ; 5 копеек ; 1792 ; АМ ; Cu ; XF ; 17 ; Продано в зале ; 1400 
 68 ; 5 копеек ; 1796 ; ЕМ Павл.перечек. ; Cu ; VF+ ; 64 ; Продано в зале ; 17500 
 69 ; 5 копеек. Новодел ; 1802 ; КМ Новодел. Образец 1803 г. ; Cu ; AU ; 62 ; Продано в зале ; 105000 
 70 ; 5 копеек (Петров-2р Ильин-1р) ; 1803 ; КМ ; Cu ; VF-XF ; 31 ; il468 ; 5100 
 71 ; 5 копеек (Ильин-3р) ; 1803 ; ЕМ ; Cu ; VF ; 50 ; Продано в зале ; 17000 
 72 ; 5 копеек ; 1804 ; ЕМ ; Cu ; VF-XF ; 23 ; ааа-ааа ; 3182 
 73 ; 5 копеек (Петров-2,5р Ильин-2р) ; 1806 ; КМ ; Cu ; VF ; 27 ; ■ ; 5006 
 74 ; 5 копеек (Ильин-1р) ; 1838 ; СМ ; Cu ; VF+ ; 13 ; Продано в зале ; 2300 
 75 ; 2 копейки (Ильин-8р, Петров-1р) ; 1810 ; СПБ ПС ; Cu ; F-VF ; 73 ; 040778 ; 17340 
 76 ; 2 копейки ; 1873 ; ЕМ ; Cu ; XF ; 30 ; ■ ; 2619 
 77 ; 2 копейки ; 1881 ; СПБ ; Cu ; XF ; 55 ; Продано в зале ; 3200 
