 101 ; А. В. Орешников. Денежные знаки домонгольской Руси. Выпуск шестой ;  ;  ;  ;  ; 26 ; cr3131 ; 1000 
 102 ; А. К. Марков. Древняя нумизматика. Часть 2 ;  ;  ;  ;  ; 42 ; cr3131 ; 1600 
 103 ; Ф. Т. Васильев. Серебряный рубль Суздальско-Нижегородского князя Василия Кирдяпы ;  ;  ;  ;  ; 44 ; cr3131 ; 4600 
 104 ; И. М. холодковский. Русские экзагии (монетные гирьки). Нумизматический очерк ;  ;  ;  ;  ; 38 ; cr3131 ; 16000 
 105 ; П. В. Зубов. Материалы по русской нумизматике. С 10 таблицами ;  ;  ;  ;  ; 66 ; cr3131 ; 34000 
 106 ; А. К. Марков. Русская нумизматика. Конспект лекций ;  ;  ;  ;  ; 38 ; cr3131 ; 6250 
 107 ; Лот из 3-х каталогов Baldwin s Auctions, апрель 1997, октябрь 2004, май 2010 ;  ;  ;  ;  ; 19 ; Продано в зале ; 2600 
 108 ; Лот из 2-х каталогов. Аукцион Kunker 2 февраля 2012.  Nudelman 7,  "Русский Аукцион", ноябрь 2009 ;  ;  ;  ;  ; 7 ; Продано в зале ; 500 
 109 ; Лот из 3-х каталогов. St James s Auctions ноябрь 2008 и май 2010. Numismatica Genevensis Sa декабрь 2006 ;  ;  ;  ;  ; 7 ; Продано в зале ; 750 
 110 ; Лот из 7-и каталогов Gorny&moscH. Март 2006, октябрь 2007, март 2008, октябрь, 2008, октябрь 2009, март 2010, октябрь 2010 ;  ;  ;  ;  ; 9 ; Продано в зале ; 950 
 111 ; Монеты России 1700-1917. Базовый каталог Конрос ;  ;  ;  ;  ; 43 ; свиная голова ; 4800 
 112 ; Лот книг из 5 книг  В. Е. Семенова: Монетное дело российской империи, Подделки российских монет, Псевдонимы русского рубля, Монетный передел 1700 - 1917, Куда уходят деньги ;  ;  ;  ;  ; 29 ; Продано в зале ; 4000 
 113 ; Лот из 5 справочников Конрос. Монеты России 1700 - 1917 гг., ред. 15. Монеты РСФСР, СССР и Росии 1921 - 2019 гг, ред. 46. Бумажные деньги России, часть I, ред. 10, часть II, ред. 8. Награды Российской империи, ред. 5 ;  ;  ;  ;  ; 8 ; nik2678 ; 588 
 114 ; Лот из 2-х книг В. Е. Семенова. Русские деньги X - XVII вв, ред. 7. Рюрик и Владимир, самоучитель по русской истории ;  ;  ;  ;  ; 12 ; Sky2 ; 350 
 115 ; Лот из 5 каталогов аукциона Конрос "Петербургский аукцион", 35 - 39 ;  ;  ;  ;  ; 9 ; CapsulЪ ; 827 
 116 ; Рубль ; 1719 ; ILL OK ; Ag ; VF+ ; 33 ; 24/6 ; 30000 
 117 ; Рубль ; 1721 ;  ; Ag ; VF+ ; 32 ; 2372 ; 26000 
 118 ; Рубль ; 1732 ;  ; Ag ; VF+ ; 21 ; Продано в зале ; 13000 
 119 ; Рубль ; 1733 ;  ; Ag ; VF-XF ; 22 ; Продано в зале ; 16000 
 120 ; Рубль ; 1734 ;  ; Ag ; VF- ; 68 ; snupi ; 36000 
 121 ; Рубль ; 1734 ;  ; Ag ; VF+ ; 23 ; snupi ; 15000 
 122 ; Рубль ; 1736 ;  ; Ag ; VF-XF ; 26 ; snupi ; 15000 
 123 ; Рубль ; 1738 ; СПБ ; Ag ; VF-XF ; 22 ; snupi ; 20000 
 124 ; Рубль ; 1743 ; ММД ; Ag ; VF+ ; 26 ; CapsulЪ ; 15922 
 125 ; Рубль ; 1745 ; СПБ ; Ag ; VF-XF ; 26 ; Гавр ; 16000 
 126 ; Рубль ; 1753 ; СПБ IM ; Ag ; VF-XF ; 25 ; max96 ; 19557 
