 151 ; Денга ; 1796 ; ЕМ ; Cu ; VF+ ; 13 ; 🦂 ; 841 
 152 ; 1/2 копейки ; 1842 ; ЕМ ; Cu ; VF+ ; 19 ; JohnSilver ; 700 
 153 ; 1/2 копейки ; 1878 ; СПБ ; Cu ; XF ; 32 ; sdv75-2010 ; 3400 
 154 ; 1/2 копейки ; 1883 ; СПБ ; Cu ; XF ; 62 ; tisa66 ; 9000 
 155 ; Полушка ; 1720 ;  ; Cu ; VF ; 7 ; $@€ ; 1122 
 156 ; Полушка ; 1720 ; НД ; Cu ; VF ; 15 ; $@€ ; 1200 
 157 ; Полушка ; 1721 ; НД ; Cu ; VF ; 16 ; Продано в зале ; 2750 
 158 ; Полушка ; 1721 ;  ; Cu ; VF- ; 11 ; $@€ ; 550 
 159 ; Полушка (Петров-3р, Ильин-3р) ; 1797 ; КМ ; Cu ; VF- ; 27 ; $@€ ; 4045 
 160 ; 1/4 копейки ; 1877 ; СПБ ; Cu ; XF+ ; 28 ; FIHCHAR ; 4000 
 161 ; 1/4 копейки ; 1887 ; СПБ ; Cu ; AU ; 42 ; I3 ; 3800 
 162 ; 1/4 копейки. В капсуле ННР ; 1899 ; СПБ ; Cu ;  ; 17 ; Valera G ; 4500 
 163 ; 1/4 копейки. В капсуле ННР ; 1900 ; СПБ ; Cu ;  ; 24 ; vic-dmitri ; 2400 
 164 ; 2 пара-3 копейки ; 1772 ; Валахия ; Cu ; VF- ; 38 ; Dzmitry ; 5000 
 165 ; 15 копеек. В капсуле NGC ; 1921 ;  ; Ag ;  ; 62 ; Продано в зале ; 50000 
 166 ; 15 копеек. В капсуле NGC ; 1922 ;  ; Ag ;  ; 24 ; vic-dmitri ; 44000 
 167 ; 10 копеек. В капсуле NGC ; 1922 ;  ; Ag ;  ; 25 ; vic-dmitri ; 46000 
 168 ; 10 копеек. В капсуле NGC ; 1923 ;  ; Ag ;  ; 32 ; Продано в зале ; 55000 
 169 ; Георгиевский крест 3-й степени №166645. М-11,24г. Р-ры 41,1х34,5мм. С сертификатом подлинности ; 1916 ;  ; Ag ; VF-XF ; 44 ; Продано в зале ; 18000 
 170 ; Знак отличия Военного ордена Св. Георгия 4-й степени № 163104. М-11,7г. С сертификатом подлинности ; Начало XXв ;  ; Ag ; VF-XF ; 39 ; Продано в зале ; 19000 
 171 ; Медаль За усердие. Император Николай II. D-51мм. М-57,3г ;  ;  ; Ag ; VF ; 23 ; Мурзик ; 15007 
 172 ; Георгиевская медаль 4-й степени №649478. D-28мм. М-15г. С сертификатом подлинности ; 1915 ;  ; Ag ; VF-XF ; 29 ; Продано в зале ; 7750 
 173 ; Знак ученический. Гравировка "Н. Иванова г. Луга 1923г: ;  ;  ; Ag ; VF-XF ; 31 ; СВИ ; 5107 
 101 ; 10 копеек ; 1877 ; СПБ HI ; Ag ; XF+/AU ; 9 ; ЛАВ-13 ; 1385 
 102 ; 10 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 31 ; Продано в зале ; 1400 
 103 ; 10 копеек. В капсуле NGC ; 1888 ; СПБ АГ ; Ag ;  ; 18 ; Продано в зале ; 10500 
 104 ; 10 копеек. В капсуле PCGS ; 1893 ; СПБ АГ ; Ag ;  ; 21 ; Продано в зале ; 3600 
 105 ; 5 копеек. В капсуле NGC ; 1835 ; СПБ НГ ; Ag ;  ; 44 ; Продано в зале ; 12000 
 106 ; 5 копеек. В капсуле NGC ; 1845 ; СПБ КБ ; Ag ;  ; 29 ; Продано в зале ; 8500 
 107 ; 5 копеек ; 1852 ; СПБ ПА ; Ag ; XF- ; 21 ; anna53 ; 1600 
 108 ; 5 копеек ; 1856 ; СПБ ФБ ; Ag ; XF ; 31 ; Sij ; 2400 
 109 ; 5 копеек ; 1877 ; СПБ HI ; Ag ; XF+ ; 51 ; fgd ; 3570 
 110 ; 5 копеек ; 1878 ; СПБ НФ ; Ag ; XF+ ; 51 ; Продано в зале ; 4200 
 111 ; 5 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 39 ; Продано в зале ; 4400 
 112 ; 5 копеек ; 1893 ; СПБ АГ ; Ag ; AU ; 46 ; romik ; 3200 
 113 ; 10 грошей ; 1840 ; MW Рус.-Пол. ; Ag ; AU ; 32 ; I3 ; 2600 
 114 ; 10 копеек ; 1768 ; КМ "Сибирь" ; Cu ; VF+ ; 15 ; $@€ ; 6000 
