 101 ; Копейка ; 1819 ; КМ АД ; Cu ; VF+ ; 17 ; Ok203 ; 3400 
 102 ; Копейка ; 1821 ; КМ АМ ; Cu ; VF+ ; 41 ; Valera G ; 2400 
 103 ; Копейка ; 1821 ; КМ АМ ; Cu ; VF-XF ; 21 ; Продано в зале ; 3200 
 104 ; Копейка ; 1823 ; КМ АМ ; Cu ; VF-XF ; 36 ; Продано в зале ; 2200 
 105 ; Копейка ; 1830 ; КМ АМ ; Cu ; VF+ ; 12 ; Ok203 ; 1122 
 106 ; Копейка ; 1863 ; ВМ ; Cu ; VF+ ; 40 ; обморок ; 3400 
 107 ; Копейка ; 1903 ; СПБ ; Cu ; XF+ ; 35 ; vit2503 ; 1047 
 108 ; 1/2 копейки ; 1844 ; СМ ; Cu ; XF- ; 21 ; sheriff 0 ; 1900 
 109 ; Денежка ; 1851 ; ЕМ ; Cu ; XF ; 26 ; Роскошь74 ; 1259 
 110 ; 1/2 копейки ; 1878 ; СПБ ; Cu ; XF ; 23 ; Ok203 ; 3174 
 111 ; Полушка ; 1730 ; Орёл 1730 г. ; Cu ; VF ; 47 ; Адольф Виссорионов ; 3000 
 112 ; Полушка ; 1730 ; Орёл 1730 г. ; Cu ; VF ; 61 ; Адольф Виссорионов ; 4600 
 113 ; Полушка ; 1734 ; Орёл 1730 г. ; Cu ; VF ; 58 ; Адольф Виссорионов ; 4000 
 114 ; Полушка ; 1790 ; ЕМ ; Cu ; VF+ ; 25 ; Cherpoy ; 1500 
 115 ; Полушка ; 1797 ; ЕМ ; Cu ; VF ; 32 ; Адольф Виссорионов ; 1800 
 116 ; Полушка ; 1850 ; ЕМ ; Cu ; VF-XF ; 62 ; гудзон ; 2400 
 117 ; 1/4 копейки. Капсула ; 1890 ; СПБ ; Cu ;  ; 138 ; Адольф Виссорионов ; 28000 
 118 ; 1/4 копейки (Петров-5р. Ильин-3р). Капсула ; 1894 ; СПБ ; Cu ;  ; 72 ; agilent ; 150000 
 119 ; 10 пенни ; 1897 ; Финляндия ; Cu ; XF+ ; 90 ; Продано в зале ; 38000 
 120 ; Медаль. В память основания Балтийского флота. 1703г. Петр I. D-48мм. Новодел ;  ;  ; Ag ; XF+ ; 102 ; alex-aud ; 52000 
 121 ; Медаль Дерптский (Юрьевский) университет Гравер К. Леберехт D-51мм. Коробка ;  ;  ; Ag ; XF ; 125 ; Продано в зале ; 82500 
 122 ; Медаль В память 200-летия Александровского университета в Финляндии. D-57мм ;  ;  ; Ag ; XF- ; 69 ; Продано в зале ; 45000 
 123 ; Медаль За благонравие и успехи в науках» для учащихся женских гимназий. D-42мм. М-25,7г ;  ;  ; Ag ; XF ; 49 ; iustas ; 29784 
 124 ; Медаль. Серебрянная свадьба Карла и Ольги. Баден-Вюртемберг. D-48мм. Капсула ;  ;  ; Br ;  ; 90 ; StepByStep ; 19286 
 125 ; Медаль "За Русско-Японскую войну 1904-1905г". D-28мм ;  ;  ; Br ; XF ; 34 ; SHUCHER ; 7956 
 126 ; Медаль "300 лет Дому Романовых 1613-1913гг". D-28мм ;  ;  ; Br ; AU ; 25 ; vv2805 ; 5250 
 127 ; Георгиевский крест 4 ст №360266 ;  ;  ; Ag ; XF ; 40 ; korovan67 ; 17544 
 128 ; Знак ученический. "А.В. Макарова 1922" ;  ;  ; Ag ; XF ; 55 ; Продано в зале ; 4500 
 51 ; 10 копеек. Капсула ; 1909 ; СПБ ЭБ ; Ag ;  ; 31 ; Продано в зале ; 3000 
 52 ; 10 копеек В капсуле ; 1916 ;  ; Ag ;  ; 24 ; agilent ; 5000 
 53 ; 5 копеек ; 1835 ; СПБ НГ ; Ag ; XF ; 48 ; Alex22D ; 4897 
 54 ; 5 копеек ; 1850 ; СПБ ПА ; Ag ; XF ; 41 ; Продано в зале ; 2800 
 55 ; 5 копеек. Капсула ; 1852 ; СПБ ПА ; Ag ;  ; 60 ; Роскошь74 ; 16646 
 56 ; 5 копеек В капсуле ; 1852 ; СПБ ПА ; Ag ;  ; 23 ; аndrius ; 1700 
