 251 ; Рубль. Гурт птичка и звездочка. Редка ; 1897 ; ( ** ) ; Ag ; VF+ ; 22 ; Участник № 637 ; 7500 
 252 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 23 ; батя ; 7242 
 201 ; Медаль в память 200-летия правительственного Сената ; 1911 ;  ; Cu ; VF+ ; 13 ; Участник № 114 ; 2300 
 202 ; Медаль в честь 50-летия института гражданских инженеров ; 1842-1892 ;  ; Ж/м ; VF-XF ; 42 ; filоsof ; 5204 
 203 ; Медаль в память освящения в г. Санкт-Петербурге собора всех учебных заведений (Смольного собора) ; 1835 ;  ; Cu ; VF+ ; 15 ; ОБХС ; 2392 
 204 ; Медаль в память 100-летия Министерства юстиции ; 1902 ;  ; Cu ; XF ; 25 ; cash ; 5151 
 205 ; Медаль в память торжества открытия памятника императрице Екатерине II ; 1873 ;  ; Cu ; VF-XF ; 28 ; swoon ; 5102 
 206 ; Медаль на открытие памятника 1000-летия государства Российского в Новгороде ; 1862 ;  ; Cu ; VF-XF ; 31 ; Конрос бид 32 ; 8124 
 207 ; Медаль в память освящения Исакиевского собора в Санкт-Петербурге ; 1858 ;  ; Cu ; VF+ ; 15 ; azef ; 6143 
 208 ; Медаль в память 300-летнего юбилея царствования дома Романовых ; 1913 ;  ; Cu ; VF-XF ; 10 ; Участник № 39 ; 4200 
 209 ; Медаль. От главного управления землеустройства и земледелия. Император Александр III, император Николай II ;  ;  ; Cu ; AU ; 35 ; toto ; 5204 
 210 ; Медаль. В память 50-летия Рисовальной школы. Покровители императорского общества поощрения художеств ; 1889 ;  ; Cu ; XF/XF+ ; 34 ; Участник № 30 ; 13000 
 211 ; Медаль. В память 100-летия ордена Св. Георгия. Медальер В. Алексеев ; 1869 ;  ; Cu ; VF+ ; 49 ; LikaNova ; 7191 
 212 ; Знак ордена Св.Анны III степени в оригинальной коробке с лентой. Выдача из Капитула. Фирма "Эдуард" ; 1916-1917 ;  ; Br.золоч,э ; AU ; 9 ; Участник № 186 ; 36000 
 213 ; Медаль. На смерть Александра III ; 1894 ;  ; Ag ; XF+ ; 5 ; ALCOM ; 3627 
