 301 ; 1/4 копейки ; 1916 ;  ; Cu ; VF- ; 21 ; Участник № 147 ; 14000 
 251 ; 2 копейки (Петров-2р, Ильин-3р) ; 1790 ; АМ ; Cu ; F-VF ; 14 ; Участник № 9 ; 2600 
 252 ; 2 копейки (Петров-5р, Ильин-10р) ; 1791 ; АМ ; Cu ; F+ ; 28 ; АВлад ; 6130 
 253 ; 2 копейки (Петров-6р, Ильин-8р) ; 1793 ; АМ ; Cu ; F+ ; 40 ; dimon46 ; 5294 
 254 ; 2 копейки (Петров-20р, Ильин-10р) ; 1795 ; АМ ; Cu ; F-VF ; 17 ; SSK ; 20000 
 255 ; 2 копейки ; 1796 ; ЕМ ; Cu ; VF+ ; 33 ; Участник № 147 ; 11000 
 256 ; 2 копейки (Ильин-15р) ; 1797 ; АМ ; Cu ; F+ ; 21 ; dimon46 ; 16000 
 257 ; 2 копейки ; 1854 ; ВМ ; Cu ; AU ; 46 ; stalker71 ; 34000 
 258 ; 2 копейки (Ильин-2р) ; 1855 ; ВМ ; Cu ; VF+ ; 13 ; Участник № 140 ; 3400 
 259 ; 2 копейки ; 1860 ; ВМ ; Cu ; XF- ; 41 ; Участник № 51 ; 24000 
 260 ; 2 копейки ; 1867 ; СПБ ; Cu ; AU ; 29 ; Участник № 6 ; 6500 
 261 ; 2 копейки ; 1879 ; СПБ ; Cu ; AU ; 16 ; Участник № 51 ; 8500 
 262 ; Копейка ; 1755 ; ММД ; Cu ; VF- ; 31 ; Участник № 9 ; 5000 
 263 ; Копейка (Ильин-1р) ; 1755 ;  ; Cu ; VF- ; 29 ; Участник № 9 ; 8500 
 264 ; Копейка ; 1795 ; ЕМ ; Cu ; VF+ ; 17 ; Участник № 51 ; 1900 
 265 ; Копейка (Ильин-3р) ; 1795 ;  ; Cu ; VF- ; 55 ; vvt ; 12242 
 266 ; Копейка ; 1763-1796 ;  ; Cu ; F-VF ; 54 ; desr ; 26000 
 267 ; Копейка (Ильин-1р) ; 1805 ; ЕМ ; Cu ; VF+ ; 42 ; Участник № 51 ; 32000 
 268 ; Копейка ; 1845 ; СМ ;  ; AU ; 51 ; stalker71 ; 18000 
 269 ; Денга (Ильин-1р) ; 1788 ; КМ ; Cu ; VF- ; 15 ; Lotus 99 ; 720 
 270 ; Денга (Ильин-5р) ; 1792 ;  ; Cu ; F-VF ; 25 ; Участник № 147 ; 6750 
 271 ; Денга ; 1794 ; ЕМ ; Cu ; VF+ ; 9 ; desr ; 1100 
 272 ; Деньга (Петров-1р, Ильин-1р) ; 1805 ; ЕМ ; Cu ; XF-/VF+ ; 68 ; Участник № 140 ; 55000 
 273 ; Денежка ; 1852 ; ЕМ ; Cu ; AU ; 21 ; ShSerg ; 4182 
 274 ; Денежка ; 1852 ; ВМ ; Cu ; XF ; 23 ; stalker71 ; 12000 
 275 ; 1/2 копейки ; 1867 ; СПБ ; Cu ; AU ; 17 ; stalker71 ; 11322 
 276 ; 1/2 копейки (Ильин-1р) ; 1872 ; ЕМ ; Cu ; AU/XF ; 44 ; stalker71 ; 15867 
 277 ; 1/2 копейки ; 1881 ; СПБ ; Cu ; VF-XF ; 81 ; М О С К В А ; 3213 
 278 ; Полушка (Петров-2р, Ильин-1р) ; 1758 ;  ; Cu ; VF- ; 13 ; Участник № 523 ; 3400 
 279 ; Полушка (Петров-10р, Ильин-10р) ; 1766 ; "Сибирь" ; Cu ; F-VF ; 17 ; dimon46 ; 12240 
 280 ; Полушка (Петров-8р, Ильин-5р) ; 1773 ; ЕМ ; Cu ; F-VF ; 7 ; Участник № 9 ; 5000 
 281 ; Полушка ; 1789 ; ЕМ ; Cu ; VF-XF ; 9 ; gerz ; 1135 
 282 ; Полушка (Петров-5р, Ильин-5р). Деформация ; 1793 ;  ; Cu ; VF- ; 23 ; Участник № 523 ; 11500 
 283 ; Полушка (Петров-2,5р, Ильин-5р) ; 1794 ; КМ ; Cu ; F-VF ; 36 ; Участник № 7 ; 1600 
 284 ; Полушка ; 1797 ; АМ ; Cu ; VF+ ; 28 ; Участник № 9 ; 3800 
 285 ; Полушка ; 1805 ; ЕМ ; Cu ; F-VF ; 17 ; АВлад ; 7142 
 286 ; 1/4 копейки. Инкузный след от застрявшей в штемпеле монеты ; 1839-1846 ;  ; Cu ; F-VF ; 13 ; Участник № 1390 ; 2900 
