 151 ; Рубль ; 1891 ; (АГ) ; Ag ; VF-XF ; 27 ; Участник № 1344 ; 7500 
 152 ; 15 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 14 ; Участник № 1389 ; 2000 
 153 ; Рубль ; 1894 ; (АГ) ; Ag ; VF-XF ; 35 ; Sky2 ; 20502 
 154 ; 25 копеек. В капсуле NGC ; 1896 ; АГ ; Ag ; AU 55 ; 24 ; ААФ ; 3540 
 155 ; Рубль ; 1897 ; (АГ) ; Ag ; XF+ ; 28 ; DennisG ; 4598 
 156 ; Рубль ; 1897 ; ( ** ) ; Ag ; XF ; 17 ; Олег2401 ; 4598 
 157 ; Рубль ; 1901 ; (ФЗ) ; Ag ; VF-XF ; 24 ; Участник № 1739 ; 3000 
 158 ; Полтина ; 1910 ; (ЭБ) АГ ; Ag ; VF-XF ; 18 ; OMT ; 2714 
 159 ; Знак ордена Св. Анны III ст. Выдача из Капитула. Фирма "Эдуард" ; 1916 ;  ; Br,золоч,э ; XF ; 29 ; smirnoff ; 26531 
 160 ; Знак ордена Св. Станислава III ст. Выдача из Капитула. Фирма "Д. Осипова" ; 1916 ;  ; Br,золоч,э ; XF ; 29 ; инга ; 24933 
 101 ; 25 копеек-50 грошей ; 1842 ; MW Рус.-Пол. ; Ag ; VF ; 6 ; TDN ; 4217 
 102 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; XF- ; 25 ; bazis ; 6323 
 103 ; Рубль ; 1843 ; MW ; Ag ; VF-XF ; 13 ; capable ; 4182 
 104 ; 2 копейки ; 1843 ; ЕМ ; Cu ; VF+ ; 21 ; ksv11 ; 714 
 105 ; Рубль "четверки" в дате открытые ; 1844 ; СПБ КБ ; Ag ; VF-XF ; 21 ; Участник № 147 ; 7000 
 106 ; Рубль "четверки" в дате закрытые ; 1844 ; СПБ КБ ; Ag ; XF- ; 14 ; Участник № 1792 ; 7000 
 107 ; 5 копеек ; 1844 ; СПБ КБ ; Ag ; XF+ ; 48 ; нумизмат ; 4061 
 108 ; 3 копейки ; 1844 ; ЕМ ; Cu ; VF+ ; 10 ; ksv11 ; 1224 
 109 ; Рубль ; 1845 ; MW ; Ag ; VF ; 19 ; TDN ; 8200 
 110 ; 10 копеек ; 1845 ; СПБ КБ ; Ag ; AU ; 29 ; Участник № 384 ; 2600 
 111 ; 5 копеек ; 1845 ; СПБ КБ ; Ag ; XF+ ; 31 ; Участник № 133 ; 4000 
