 151 ; Жетон. Е.М.Д. У. 1834. D-30мм ;  ;  ; Ж/м ; VF+ ; 13 ; Продано в зале ; 5000 
 152 ; Жетон. 10 копеек. Троицкая госиница "Булычевой". D-28мм ;  ;  ; Ж/м ; VF ; 7 ; Продано в зале ; 9000 
 153 ; Медаль в память Русско-Японской войны (1904-1905). D-24мм ;  ;  ; Ag, эмаль ; XF ; 16 ; Акцент ; 13000 
 154 ; Медаль. За усмирение польского мятежа (1863-1864). D-28мм ;  ;  ; Ж/м ; XF- ; 24 ; verunk1 ; 9294 
 155 ; Жетон. Императорское московское общество рысистского коннозаводства (1834-1909). Р-ры: 34х26мм ;  ;  ; Ag ; VF ; 11 ; evgen00 ; 7000 
 156 ; Жетон. За труды на пользу кустарной промышленности. Р-ры: 31х26мм ;  ;  ; Ag, эмаль ; XF- ; 17 ; evgen00 ; 11000 
 157 ; Жетон.За отличную ходьбу на лыжах. Полковой приз-гравировка. Р-ры:44х25мм ;  ;  ; Ag ; VF+ ; 7 ; Продано в зале ; 4400 
 158 ; Медаль В память Александра I. D-40мм ; 1826 ;  ; Ag ; XF+ ; 16 ; Продано в зале ; 42000 
 159 ; Медаль. Установка памятника Александру III в Хельсинки 1894г. Александр II император и великий князь. D-68мм ;  ;  ; Br ; XF ; 23 ; Продано в зале ; 7000 
 160 ; Медаль. Новодел. Серия "Персональные медали якутским старшинам" "Якутскому князю кангаласского улуса голове Белину за оказанную помощь капитану Бухарину". D-43мм ; 1820-1830-х гг ;  ; Br ; AU ; 16 ; Продано в зале ; 50000 
 101 ; 5 копеек ; 1725 ; МД Дата снизу вверх ; Cu ; F-VF ; 27 ; кабан ; 4533 
 102 ; 5 копеек ; 1726 ; НД Дата снизу вверх ; Cu ; VF ; 40 ; Продано в зале ; 10500 
 103 ; 5 копеек ; 1726 ; НД Дата снизу вверх ; Cu ; VF- ; 29 ; кабан ; 5106 
 104 ; 5 копеек ; 1727 ; НД Дата снизу вверх ; Cu ; VF- ; 12 ; Sky2 ; 3400 
 105 ; 5 копеек ; 1727 ; КД КОПЪAКЬ ; Cu ; VF ; 9 ; Продано в зале ; 5500 
 106 ; 5 копеек ; 1729 ; МД Хвост узкий ; Cu ; VF ; 13 ; кабан ; 5100 
 107 ; 5 копеек ; 1730 ; МД Хвост широкий ; Cu ; VF ; 20 ; SSK ; 7038 
 108 ; 5 копеек ; 1730 ; МД Хвост широкий ; Cu ; VF- ; 8 ; foxmuld ; 3368 
 109 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 110 ; 5 копеек (Петров-1р) ; 1758 ; ММ ; Cu ; VF+ ; 68 ; Продано в зале ; 17000 
 111 ; 5 копеек (Ильин-5р) ; 1788 ; ЕМ ; Cu ; VF ; 24 ; OMT ; 10052 
 112 ; 5 копеек (Петров-8р, Ильин-5р) ; 1791 ; ЕМ Павл.перечекан ; Cu ; F+ ; 23 ; Продано в зале ; 10000 
 113 ; 5 копеек ; 1796 ; ЕМ Павл.перечек. ; Cu ; XF- ; 71 ; Продано в зале ; 34000 
 114 ; 5 копеек ; 1796 ; ЕМ Павл.перечек. ; Cu ; VF+ ; 78 ; OMT ; 23460 
 115 ; 5 копеек (Петров-2р) ; 1802 ; КМ ; Cu ; XF- ; 35 ; OMT ; 29466 
 116 ; 5 копеек (Ильин-30р) ; 1807 ; ЕМ ; Cu ; VF ; 22 ; finger ; 95000 
 117 ; 5 копеек ; 1832 ; ЕМ ФХ ; Cu ; VF-XF ; 38 ; Продано в зале ; 6500 
 118 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; VF-XF ; 23 ; Продано в зале ; 3400 
 119 ; 5 копеек ; 1875 ; ЕМ ; Cu ; VF-XF ; 25 ; Продано в зале ; 550 
 120 ; 5 копеек ; 1911 ; СПБ ; Cu ; AU ; 27 ; Продано в зале ; 4400 
 121 ; 3 копейки ; 1847 ; СМ ; Cu ; VF+ ; 74 ; SSK ; 13136 
 122 ; 3 копейки ; 1862 ; ЕМ ; Cu ; VF-XF ; 31 ; 675МК ; 2900 
 123 ; 3 копейки. В капсуле PCGS ; 1891 ; СПБ ; Cu ; MS 63 ; 35 ; Продано в зале ; 15000 
 124 ; 2 копейки ; 1764 ; ЕМ ; Cu ; VF+ ; 27 ; icebreaker ; 6500 
 125 ; 2 копейки ; 1766 ; ММ ; Cu ; VF ; 17 ; кабан ; 900 
 126 ; 2 копейки ; 1773 ; ЕМ ; Cu ; VF+ ; 17 ; mac ; 2267 
 127 ; 2 копейки (Петров-1,5р) ; 1793 ; Е- М Павл.перечекан ; Cu ; F-VF ; 41 ; Акцент ; 3679 
 128 ; 2 копейки ; 1795 ; ЕМ ; Cu ; VF+ ; 21 ; OMT ; 2070 
 129 ; 2 копейки ; 1797 ; АМ ; Cu ; VF+ ; 17 ; vvt ; 1530 
 130 ; 2 копейки ; 1798 ; КМ ; Cu ; VF+ ; 11 ; ravs ; 1020 
 131 ; 2 копейки ; 1799 ; КМ ; Cu ; VF+ ; 9 ; ravs ; 1020 
 132 ; 2 копейки ; 1802 ; ЕМ ; Cu ; VF+ ; 16 ; double ; 5799 
 133 ; 2 копейки ; 1810 ; КМ ; Cu ; VF-XF ; 21 ; joper69 ; 3400 
 134 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; XF- ; 9 ; Продано в зале ; 3200 
 135 ; 2 копейки ; 1811 ; ЕМ НМ ; Cu ; VF+ ; 17 ; Продано в зале ; 3600 
 136 ; 2 копейки ; 1812 ; КМ АМ ; Cu ; XF- ; 11 ; кабан ; 3400 
 137 ; 2 копейки ; 1812 ; КМ АМ ; Cu ; VF-XF ; 9 ; OMT ; 2052 
 138 ; 2 копейки (Петров-7р, Ильин-4р) ; 1814 ; СПБ ПС ; Cu ; VF ; 10 ; ravs ; 10074 
 139 ; Копейка ; 1728 ;  ; Cu ; VF+ ; 35 ; Продано в зале ; 4800 
 140 ; Копейка ; 1776 ; КМ "Сибирь" ; Cu ; VF+ ; 9 ; Trien ; 1530 
 141 ; Копейка ; 1791 ; ЕМ ; Cu ; VF+ ; 20 ; Продано в зале ; 2700 
 142 ; Копейка ; 1896 ; СПБ ; Cu ; AU ; 30 ; Продано в зале ; 4200 
 143 ; Копейка ; 1901 ; СПБ ; Cu ; AU ; 6 ; Эфес ; 1134 
 144 ; Денга ; 1784 ; КМ ; Cu ; VF+ ; 20 ; lvd ; 6222 
 145 ; 1/2 копейки. В капсуле NGC ; 1890 ; СПБ ; Cu ; PF62 ; 37 ; Продано в зале ; 20500 
 146 ; Полушка ; 1720 ; НД ; Cu ; VF+ ; 24 ; Продано в зале ; 1600 
 147 ; Полушка (Ильин-4р) ; 1744 ; Орёл 1744 г. ; Cu ; F+ ; 41 ; Акцент ; 5263 
 148 ; 1/4 копейки ; 1892 ; СПБ ; Cu ; XF+ ; 11 ; rinatt ; 2244 
 149 ; 1/4 копейки ; 1896 ; СПБ ; Cu ; AU ; 8 ; rinatt ; 2000 
 150 ; 2 пара-3 копейки ; 1772 ; Валахия ; Cu ; VF ; 28 ; Гриша ; 3957 
 51 ; Полтина ; 1810 ; СПБ ФГ ; Ag ; VF+ ; 44 ; Продано в зале ; 46000 
 52 ; Полтина (Петров-1р) ; 1854 ; MW ; Ag ; VF+ ; 21 ; Продано в зале ; 9500 
 53 ; Полтина ; 1907 ; (ЭБ) АГ ; Ag ; XF+ ; 20 ; Акцент ; 22000 
 54 ; Полтина ; 1913 ; (ЭБ) АГ ; Ag ; XF ; 26 ; Bolt ; 7000 
 55 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; AU ; 28 ; Продано в зале ; 9500 
 56 ; 25 копеек ; 1827 ; СПБ НГ ; Ag ; VF+ ; 17 ; serg2010 ; 4261 
 57 ; 25 копеек ; 1829 ; СПБ НГ ; Ag ; VF+ ; 13 ; serg2010 ; 4080 
 58 ; 25 копеек ; 1837 ; СПБ НГ ; Ag ; VF+ ; 21 ; double ; 2856 
 59 ; 25 копеек ; 1857 ; СПБ ФБ ; Ag ; XF/AU ; 37 ; double ; 3577 
 60 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; XF+ ; 27 ; Акцент ; 6120 
 61 ; 25 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 23 ; Продано в зале ; 4000 
 62 ; 25 копеек ; 1896 ; АГ ; Ag ; AU ; 28 ; joper69 ; 8976 
 63 ; 20 копеек ; 1836 ; СПБ НГ ; Ag ; VF+ ; 7 ; varvara ; 2958 
 64 ; 20 копеек ; 1859 ; СПБ ФБ ; Ag ; XF+ ; 33 ; verunk1 ; 11000 
 65 ; 20 копеек. Тип герба предыдущих лет ; 1860 ; СПБ ФБ ; Ag ; AU ; 48 ; Продано в зале ; 16000 
 66 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 30 ; mac ; 2244 
 67 ; 20 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 45 ; каламбурчик ; 3213 
 68 ; 20 копеек ; 1869 ; СПБ HI ; Ag ; AU ; 19 ; каламбурчик ; 4896 
 69 ; 20 копеек ; 1873 ; СПБ HI ; Ag ; AU/XF ; 17 ; каламбурчик ; 4600 
 70 ; 20 копеек ; 1875 ; СПБ HI ; Ag ; AU/XF ; 13 ; каламбурчик ; 2900 
