 151 ; Копейка ; 1843 ; СМ ; Cu ; VF+ ; 17 ; нумизмат ; 1041 
 152 ; Копейка (Петров-3р, Ильин-2р) ; 1855 ; ВМ ; Cu ; VF ; 35 ; Продано в зале ; 7400 
 153 ; Копейка ; 1887 ; СПБ ; Cu ; AU ; 27 ; Продано в зале ; 2600 
 154 ; Копейка ; 1894 ; СПБ ; Cu ; AU ; 27 ; Продано в зале ; 5200 
 155 ; Копейка ; 1899 ; СПБ ; Cu ; AU ; 27 ; Продано в зале ; 2400 
 156 ; Денга ; 1731 ;  ; Cu ; VF-XF ; 14 ; dsa ; 1134 
 157 ; Денга ; 1772 ; КМ "Сибирь" ; Cu ; VF+ ; 11 ; Продано в зале ; 1700 
 158 ; Полушка. Новодел ; 1781 ; КМ ; Cu ; AU ; 12 ; Продано в зале ; 52000 
 159 ; 1/2 копейки ; 1873 ; ЕМ ; Cu ; AU ; 60 ; Продано в зале ; 10000 
 160 ; 1/2 копейки ; 1916 ;  ; Cu ; AU ; 58 ; Продано в зале ; 21000 
 161 ; 1/4 копейки ; 1868 ; ЕМ ; Cu ; AU/XF ; 31 ; igor56 ; 3956 
 162 ; 1/4 копейки. В капсуле NGC ; 1887 ; СПБ ; Cu ; MS63 ; 53 ; Продано в зале ; 10500 
 163 ; Чхаль. Крым, Шахин-Гирей ; 1191г.х. (1777) ;  ; Cu ; VF+ ; 51 ; золотник ; 66000 
 164 ; 5 пенни ; 1898 ; Финляндия ; Cu ; AU ; 49 ; igor56 ; 7033 
 165 ; Знак ордена Св. Анны III ст. Выдача из Капитула. Фирма "Эдуард". Р-ры: 36х36мм ; 1815-1916 ;  ; Au,эмаль ; XF ; 23 ; ZOLTAN333 ; 40800 
 166 ; Медаль "За Хивинский поход 1873". D-28мм ;  ;  ; Ag ; VF ; 29 ; gelo ; 30600 
 167 ; Жетон на 100-летие 41-го Ямбургского драгунского полка (1806-1906) ;  ;  ; Ag, эмаль ; VF-XF ; 14 ; qwe1000 ; 3063 
 101 ; 5 копеек ; 1783 ; КМ ; Cu ; XF- ; 11 ; Продано в зале ; 2200 
 102 ; 5 копеек ; 1784 ; КМ ; Cu ; VF-XF ; 31 ; SSK ; 3555 
 103 ; 5 копеек ; 1785 ; КМ ; Cu ; XF- ; 21 ; Продано в зале ; 3000 
 104 ; 5 копеек ; 1786 ; КМ ; Cu ; XF- ; 29 ; sme15 ; 5744 
 105 ; 5 копеек ; 1787 ; КМ ; Cu ; XF- ; 9 ; Продано в зале ; 7200 
 106 ; 5 копеек ; 1788 ; КМ ; Cu ; XF- ; 83 ; Продано в зале ; 4600 
 107 ; 5 копеек (Петров-3р) ; 1788 ; КМ ; Cu ; VF-XF ; 33 ; sme15 ; 15980 
 108 ; 5 копеек ; 1789 ; ЕМ ; Cu ; XF+ ; 25 ; Продано в зале ; 3200 
 109 ; 5 копеек ; 1789 ; КМ ; Cu ; XF- ; 25 ; Продано в зале ; 7600 
 110 ; 5 копеек, буквы малые ; 1790 ; КМ ; Cu ; VF-XF ; 28 ; Продано в зале ; 8400 
 111 ; 5 копеек, буквы крупные ; 1790 ; КМ ; Cu ; XF- ; 33 ; vvг ; 5200 
 112 ; 5 копеек ; 1791 ; КМ ; Cu ; XF ; 28 ; Продано в зале ; 7600 
 113 ; 5 копеек ; 1792 ; КМ ; Cu ; XF- ; 21 ; Продано в зале ; 5200 
 114 ; 5 копеек ; 1793 ; КМ ; Cu ; VF-XF ; 36 ; Продано в зале ; 4600 
 115 ; 5 копеек (Ильин-3р) ; 1793 ; ЕМ Павл.перечекан. Гурт шнур. ; Cu ; VF-XF ; 30 ; Продано в зале ; 48000 
 116 ; 5 копеек (Петров-15р, Ильин-10р) ; 1793 ; Павл.перечекан ; Cu ; VF ; 26 ; Isay ; 49825 
 117 ; 5 копеек ; 1794 ; ЕМ ; Cu ; VF-XF ; 13 ; volod ; 531 
 118 ; 5 копеек ; 1794 ; КМ ; Cu ; VF-XF ; 11 ; Курение убивает ; 3800 
 119 ; 5 копеек ; 1795 ; ЕМ ; Cu ; XF- ; 18 ; Продано в зале ; 2200 
 120 ; 5 копеек ; 1795 ; АМ ; Cu ; XF- ; 22 ; Продано в зале ; 1500 
 121 ; 5 копеек ; 1796 ; ЕМ ; Cu ; VF-XF ; 19 ; SSK ; 1150 
 122 ; 5 копеек ; 1796 ; АМ ; Cu ; XF- ; 15 ; Продано в зале ; 4600 
 123 ; 5 копеек (Ильин-20р) ; 1796 ; АМ Павл.перечекан ; Cu ; VF- ; 23 ; Продано в зале ; 98000 
 124 ; 5 копеек ; 1796 ; КМ ; Cu ; VF-XF ; 15 ; sme15 ; 9059 
 125 ; 5 копеек ; 1802 ; ЕМ ; Cu ; XF- ; 34 ; Продано в зале ; 5200 
 126 ; 5 копеек ; 1803 ; ЕМ ; Cu ; VF-XF ; 19 ; Продано в зале ; 4200 
 127 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF- ; 19 ; Продано в зале ; 3400 
 128 ; 5 копеек ; 1804 ; ЕМ ; Cu ; XF- ; 9 ; Продано в зале ; 2600 
 129 ; 5 копеек ; 1810 ; ЕМ ; Cu ; XF- ; 41 ; Продано в зале ; 5600 
 130 ; 5 копеек (Ильин-1р) ; 1834 ; СМ ; Cu ; VF-XF ; 3 ; Продано в зале ; 14500 
 131 ; 3 копейки ; 1856 ; ВМ ; Cu ; VF+ ; 56 ; нумизмат ; 12342 
 132 ; 2 копейки ; 1780 ; КМ "Сибирь" ; Cu ; VF-XF ; 29 ; Продано в зале ; 15500 
 133 ; 2 копейки (Ильин-15р) ; 1797 ; АМ ; Cu ; F ; 19 ; Продано в зале ; 22000 
 134 ; 2 копейки ; 1798 ; КМ ; Cu ; VF-XF ; 8 ; Продано в зале ; 850 
 135 ; 2 копейки ; 1801 ; КМ ; Cu ; VF-XF ; 3 ; Курение убивает ; 700 
 136 ; 2 копейки ; 1843 ; СМ ; Cu ; VF+ ; 10 ; Продано в зале ; 3200 
 137 ; 2 копейки ; 1863 ; ВМ ; Cu ; VF+ ; 33 ; Продано в зале ; 6400 
 138 ; 2 копейки ; 1896 ; СПБ ; Cu ; AU/UNC ; 28 ; Продано в зале ; 11500 
 139 ; 2 копейки ; 1899 ; СПБ ; Cu ; AU ; 21 ; Продано в зале ; 6000 
 140 ; 2 копейки ; 1907 ; СПБ ; Cu ; AU ; 42 ; Продано в зале ; 10500 
 141 ; Копейка ; 1713 ; М Д ; Cu ; VF+ ; 29 ; Продано в зале ; 2800 
 142 ; Копейка ; 1715 ; МД ; Cu ; VF- ; 22 ; Продано в зале ; 2000 
 143 ; Копейка ; 1716 ; МД ; Cu ; VF+ ; 5 ; Продано в зале ; 3000 
 144 ; Копейка ; 1755 ; ММД ; Cu ; VF+ ; 10 ; Продано в зале ; 14500 
 145 ; Копейка ; 1768 ; КМ "Сибирь" ; Cu ; VF-XF ; 7 ; Продано в зале ; 5800 
 146 ; Копейка (Петров-10р, Ильин-8р) ; 1813 ; ЕМ НМ ; Cu ; F+ ; 49 ; картуш ; 7907 
 147 ; Копейка ; 1820 ; КМ АД ; Cu ; VF-XF ; 33 ; Isay ; 3189 
 148 ; Копейка ; 1829 ; КМ АМ ; Cu ; VF+ ; 12 ; нумизмат ; 1134 
 149 ; Копейка ; 1839 ; СМ ; Cu ; VF+ ; 20 ; 222211 ; 2400 
 150 ; Копейка ; 1841 ; ЕМ ; Cu ; VF-XF ; 19 ; 222211 ; 1134 
 51 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; AU ; 35 ; Trien ; 62000 
 52 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 33 ; Sunday ; 16100 
 53 ; 3/4 рубля-5 злотых ; 1839 ; MW Рус.-Пол. ; Ag ; XF+ ; 21 ; Кривой 14 ; 13030 
 54 ; Полтина ; 1718 ; L ОК ; Ag ; VF+ ; 52 ; SSK ; 64770 
 55 ; Полтина. В капсуле PCGS ; 1733 ;  ; Ag ; VF35 ; 17 ; Продано в зале ; 26000 
 56 ; Полтина ; 1740 ; СПБ ; Ag ; VF ; 30 ; Продано в зале ; 56000 
 57 ; Полтина ; 1750 ; СПБ ; Ag ; VF+ ; 31 ; картуш ; 27132 
 58 ; Полтина ; 1816 ; СПБ ПС ; Ag ; XF+ ; 27 ; Продано в зале ; 22000 
 59 ; Полтина ; 1839 ; СПБ НГ ; Ag ; XF+ ; 40 ; Sunday ; 7934 
 60 ; Полтина ; 1911 ; (ЭБ) АГ ; Ag ; XF/AU ; 18 ; ZOLTAN333 ; 6680 
 61 ; Полуполтинник (Петров-4,5р) ; 1704 ; МД ; Ag ; VF- ; 33 ; Продано в зале ; 34000 
 62 ; Полуполтинник ; 1751 ; ММД А ; Ag ; XF- ; 34 ; Продано в зале ; 20000 
 63 ; Полуполтинник ; 1767 ; ММД ЕI ; Ag ; VF-XF ; 14 ; каламбурчик ; 8976 
 64 ; 25 копеек ; 1839 ; СПБ НГ ; Ag ; AU/XF ; 11 ; andreyx  ; 16500 
 65 ; 25 копеек ; 1855 ; СПБ HI ; Ag ; AU ; 36 ; Продано в зале ; 5500 
 66 ; 25 копеек ; 1858 ; СПБ ФБ ; Ag ; AU ; 19 ; Во все тяжкие ; 6500 
 67 ; 25 копеек ; 1877 ; СПБ HI ; Ag ; AU ; 19 ; Продано в зале ; 2800 
 68 ; 25 копеек ; 1894 ; (АГ) АГ ; Ag ; AU ; 55 ; Продано в зале ; 27000 
 69 ; 20 копеек ; 1771 ; СПБ TI ; Ag ; XF- ; 30 ; Р У Б Л Ь ; 8000 
 70 ; 20 копеек ; 1871 ; СПБ HI ; Ag ; AU ; 16 ; Продано в зале ; 3200 
 71 ; 20 копеек ; 1871 ; СПБ HI ; Ag ; AU ; 16 ; Продано в зале ; 5200 
