 101 ; Денга (Ильин-10р) ; 1700 ;  ; Cu ; F+ ; 60 ; Продано в зале ; 25000 
 102 ; Денга. Брак чеканки ; 1731 ;  ; Cu ; VF+ ; 28 ; Cup ; 2400 
 103 ; Деньга (Петров-1,5р, Ильин-1р) ; 1810 ; ИМ МК ; Cu ; VF+ ; 102 ; ct200h ; 19266 
 104 ; Деньга ; 1812 ; ИМ ПС ; Cu ; VF+ ; 49 ; SSK ; 3700 
 105 ; 1/2 копейки ; 1916 ;  ; Cu ; AU ; 46 ; Продано в зале ; 16000 
 106 ; 1/4 копейки ; 1887 ; СПБ ; Cu ; XF/AU ; 42 ; Продано в зале ; 3200 
 107 ; 5 копеек ; 1924 ; Гурт гладкий ; Cu ; AU ; 59 ; Продано в зале ; 12000 
 108 ; 3 рубля ; 1918 ; Армавир. Кружок меньше ;  ; XF ; 40 ; karden53 ; 26911 
 109 ; 3 копейки. Л/с шт 20 копеек (надпись разделена восьмилепестковой розеткой) ; 1934 ; Тувинская Народная Республика ;  ; F ; 11 ; Мартин ; 16000 
 110 ; 3 рубля ; 1995 ; 50 лет освобождения Кенигсберга. Ошибка, 1994 год ; Cu-Ni ; Proof ; 47 ; WCN ; 39536 
 111 ; Жетон в память коронации Александра I. D-23мм ;  ;  ; Ag ; XF ; 46 ; нумизмат ; 15238 
 112 ; Жетон в память коронации Николая I. D-22мм ;  ;  ; Ag ; XF+ ; 27 ; 1999 ; 7933 
 113 ; Жетон в память коронации Александра III. D-25мм ;  ;  ; Лат, посер ; XF+ ; 21 ; Продано в зале ; 1600 
 114 ; Медаль "За усердие". D-30мм. М-21,47г. Ремонт глубоких забоин с обеих сторон ;  ;  ; Au ; VF- ; 36 ; Продано в зале ; 38000 
 115 ; Георгиевский крест 3 степени №90540. Р-ры: 34 на 34мм ;  ;  ; Ag ; XF- ; 23 ; 1999 ; 19890 
 116 ; Знак отличия военного ордена №112252. IV степени (Стебка (Степка) Никифор (Никита) - 36 Вост,-Сиб.стрелк полк, 7 рота, стрелок). За мужество и храбрость, оказанные им в боях с японцами  с 31 августа по 5 октября 1904г) ;  ;  ; Ag ; VF- ; 32 ; Sky2 ; 12147 
 117 ; Крест "Виртути Милитари" V степени 1831г ;  ;  ; Ag ; VF ; 29 ; ZOLTAN333 ; 14943 
 118 ; Медаль "Победителю над пруссками 1761г". D-40мм. Ремонт ушка ;  ;  ; Ag ; VF+ ; 18 ; Продано в зале ; 52000 
 119 ; Медаль "За усердие". Николай I. D-28мм ;  ;  ; Ag ; VF+ ; 27 ; ZOLTAN333 ; 22000 
 120 ; Медаль "За усмирение Венгрии и Трнсильвании 1849г". D-29мм ;  ;  ; Ag ; VF ; 27 ; ZOLTAN333 ; 22300 
 121 ; Медаль "За защиту Севастополя 1854-1855гг". D-28мм ;  ;  ; Ag ; XF ; 21 ; qaz21qaz ; 29580 
