 101 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF ; 24 ; 45f ; 7144 
 102 ; 5 копеек ; 1804 ; ЕМ ; Cu ; VF-XF ; 29 ; пободаемся ; 8000 
 103 ; 5 копеек ; 1805 ; ЕМ ; Cu ; XF- ; 55 ; Продано в зале ; 7500 
 104 ; 3 копейки ; 1899 ; СПБ ; Cu ; AU ; 27 ; 25 ; 6162 
 105 ; 2 копейки (Ильин - 3руб) ; 1790 ; АМ ; Cu ; VF ; 18 ; Продано в зале ; 7500 
 106 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; VF-XF ; 10 ; Продано в зале ; 2200 
 107 ; 2 копейки (Ильин-3р) ; 1810 ; ЕМ НМ ; Cu ; VF-XF ; 31 ; Продано в зале ; 4000 
 108 ; 2 копейки ; 1881 ; СПБ ; Cu ; XF- ; 13 ; Sky2 ; 5000 
 109 ; Копейка ; 1768 ; КМ "Сибирь" ; Cu ; VF ; 28 ; 45f ; 2125 
 110 ; Копейка ; 1769 ; КМ "Сибирь" ; Cu ; VF- ; 10 ; Продано в зале ; 360 
 111 ; Копейка ; 1771 ; КМ "Сибирь" ; Cu ; VF ; 7 ; Продано в зале ; 1000 
 112 ; Копейка ; 1812 ; ИМ ПС ; Cu ; VF+ ; 39 ; Sky2 ; 5838 
 113 ; Копейка ; 1813? ; ИМ ПС ; Cu ; VF ; 5 ; Батонин ; 408 
 114 ; Копейка ; 1814 ; ИМ ПС ; Cu ; VF+ ; 22 ; Sky2 ; 4775 
 115 ; Копейка ; 1821 ; ИМ ЯВ ; Cu ; VF+ ; 25 ; Sky2 ; 2267 
 116 ; Копейка ; 1833 ; ЕМ ФХ ; Cu ; VF+ ; 20 ; dali ; 1111 
 117 ; Копейка ; 1875 ; ЕМ ; Cu ; XF- ; 18 ; Arte ; 1342 
 118 ; Копейка ; 1892 ; СПБ ; Cu ; XF ; 7 ; sergius ; 1134 
 119 ; Денга ; 1769 ; КМ "Сибирь" ; Cu ; VF ; 18 ; Продано в зале ; 1000 
 120 ; 1/2 копейки ; 1889 ; СПБ ; Cu ; AU ; 19 ; evgenijzhuk ; 2193 
 121 ; Полушка. Брак чеканки ; 1730 ; Орёл 1730 г. ; Cu ; VF- ; 12 ; Продано в зале ; 450 
 122 ; Полушка ; 1789 ; ЕМ ; Cu ; XF ; 17 ; Продано в зале ; 11000 
 123 ; Полушка ; 1790 ; ЕМ ; Cu ; XF- ; 22 ; Продано в зале ; 8500 
 124 ; 1/4 копейки ; 1868 ; СПБ ; Cu ; AU/XF ; 27 ; три хода ; 9880 
 125 ; 1/4 копейки ; 1868 ; ЕМ ; Cu ; AU ; 35 ; Продано в зале ; 6500 
 126 ; 1/4 копейки ; 1869 ; ЕМ ; Cu ; AU ; 31 ; evgenijzhuk ; 13600 
 127 ; 1/4 копейки ; 1873 ; ЕМ ; Cu ; AU/XF ; 19 ; Продано в зале ; 6000 
 128 ; 1/4 копейки. В капсуле PCGC ; 1881 ; СПБ ; Cu ; AU Details ; 34 ; ЛАВ-13 ; 6500 
 129 ; 1/4 копейки. В капсуле NGC ; 1899 ; СПБ ; Cu ; MS 64 ; 28 ; Продано в зале ; 3200 
 130 ; Медаль в память взятия Азова, 19 июля 1696 г. Медальер С.Юдин. D-50мм ;  ;  ; Cu ; XF ; 43 ; Продано в зале ; 26000 
 131 ; Жетон На коронацию Екатерины I. D-21мм. Новодел ;  ;  ; Cu ; AU ; 39 ; Т-34 ; 39796 
 51 ; 15 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 24 ; Продано в зале ; 3800 
 52 ; 15 копеек ; 1917 ; ВС ; Ag ; AU ; 16 ; Продано в зале ; 8000 
 53 ; 10 копеек (Петров - 5 руб) ; 1832 ; СПБ НГ ; Ag ; VF+ ; 21 ; Продано в зале ; 11000 
 54 ; 10 копеек ; 1859 ; СПБ ФБ ; Ag ; XF+ ; 27 ; taa ; 8714 
 55 ; 10 копеек ; 1861 ; СПБ МИ ; Ag ; AU ; 32 ; ravs ; 18360 
 56 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 24 ; Макар из ЦАР ; 1499 
 57 ; 10 копеек ; 1870 ; СПБ HI ; Ag ; AU ; 26 ; ravs ; 5500 
