 101 ; Медаль. Строительство Троицкого моста в Санкт-Петербурге. D - 68mm ;  ;  ; Сu ; XF ; 54 ; shsb ; 7659 
 102 ; Медаль. За трудолюбие и искусство. От министерства торговли и промышленности. D - 50mm ;  ;  ; Cu ; XF+ ; 71 ; 1823 ; 7923 
 103 ; Медаль. Всероссийская промышленная и художественная выставка в Нижнем Новогороде в 1896 году. D - 51mm ;  ;  ; Cu ; XF- ; 68 ; bratss ; 5001 
 104 ; Жетон. В память коронации Николая II и Александры Федоровны. D - 28mm ;  ;  ; Br ; XF+ ; 33 ; опс ; 10001 
 105 ; Жетон. В память коронации Николая II и Александры Федоровны. D - 28mm ;  ;  ; Br ; AU ; 67 ; 1823 ; 14484 
 106 ; Жетон особого комитета по усилению военного флота ;  ;  ; Ag ; XF ; 46 ; Продано в зале ; 7000 
 51 ; 5 копеек ; 1727 ; КД КОПЪAКЬ ; Cu ; VF ; 44 ; Лапшо ; 5224 
 52 ; 5 копеек (Петров - 3 руб) ; 1788 ; КМ ; Cu ; VF-XF ; 21 ; Продано в зале ; 4600 
 53 ; 5 копеек ; 1790 ; АМ ; Cu ; VF-XF ; 21 ; Гаечка ; 1533 
 54 ; 5 копеек ; 1791 ; АМ ; Cu ; XF- ; 13 ; Гаечка ; 1331 
 55 ; 5 копеек *Петров - 8р, Ильин - 5р) ; 1791 ; ЕМ Павл.перечекан ; Cu ; VF- ; 26 ; Продано в зале ; 14500 
 56 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF+ ; 40 ; sax ; 4159 
 57 ; 5 копеек (Петров - 10р, Ильин - 15р) ; 1794 ; ЕМ Павл.перечекан ; Cu ; VF- ; 37 ; Продано в зале ; 52000 
 58 ; 5 копеек ; 1796 ; КМ ; Cu ; VF-XF ; 31 ; evdiral ; 4921 
 59 ; 5 копеек ; 1835 ; СМ ; Cu ; VF+ ; 31 ; Moryak ; 5644 
 60 ; 5 копеек ; 1860 ; ЕМ ; Cu ; VF-XF ; 21 ; sergius ; 3200 
 61 ; 4 копейки ; 1762 ;  ; Cu ; VF- ; 23 ; fgd ; 14053 
 62 ; 3 копейки ; 1892 ; СПБ ; Cu ; XF- ; 26 ; Продано в зале ; 5600 
 63 ; 3 копейки ; 1911 ; СПБ ; Cu ; AU ; 19 ; Продано в зале ; 6600 
 64 ; 2 копейки ; 1758 ; Гурт надп. Екатер. ; Cu ; VF+ ; 30 ; Zakhapisty ; 3818 
 65 ; 2 копейки ; 1802 ; ЕМ ; Cu ; VF-XF ; 52 ; lupus47 ; 15605 
 66 ; 2 копейки (Ильин - 2р) ; 1856 ; ВМ ; Cu ; F-VF ; 16 ; electra ; 4079 
 67 ; 2 копейки ; 1859 ; ВМ ; Cu ; VF+ ; 15 ; Moryak ; 4488 
 68 ; 2 копейки ; 1861 ; ВМ ; Cu ; VF ; 61 ; evgenijzhuk ; 20058 
