 101 ; Знак Другу Доброхима ;  ;  ; Ag,эмаль ; XF- ; 25 ; Продано в зале ; 15000 
 51 ; 10 копеек ; 1833 ; ЕМ ФХ ; Cu ; XF ; 43 ; Продано в зале ; 18000 
 52 ; 5 копеек ; 1761 ;  ; Cu ; VF ; 45 ; Продано в зале ; 1100 
 53 ; 5 копеек ; 1778 ; КМ "Сибирь" ; Cu ; VF+ ; 27 ; rom11 ; 5406 
 54 ; 5 копеек ; 1785 ; КМ ; Cu ; XF ; 29 ; Reichard ; 3162 
 55 ; 5 копеек ; 1787 ; КМ ; Cu ; VF-XF ; 23 ; Продано в зале ; 3200 
 56 ; 5 копеек ; 1789 ; ЕМ ; Cu ; VF-XF ; 45 ; Ftog ; 1050 
 57 ; 5 копеек ; 1790 ; ЕМ ; Cu ; VF-XF ; 63 ; Продано в зале ; 2000 
 58 ; 5 копеек ; 1791 ; КМ ; Cu ; VF ; 19 ; обморок ; 3057 
 59 ; 5 копеек ; 1792 ; ЕМ ; Cu ; VF-XF ; 29 ; Ftog ; 1071 
 60 ; 5 копеек ; 1802 ; ЕМ ; Cu ; VF-XF ; 27 ; Alecoins ; 3887 
 61 ; 5 копеек ; 1804 ; ЕМ ; Cu ; VF-XF ; 33 ; 040778 ; 3650 
 62 ; 5 копеек ; 1859 ; ЕМ ; Cu ; VF+ ; 11 ; Продано в зале ; 1100 
 63 ; 5 копеек ; 1872 ; ЕМ ; Cu ; VF-XF ; 25 ; обморок ; 4200 
 64 ; 3 копейки ; 1903 ; СПБ ; Cu ; XF+ ; 36 ; Продано в зале ; 3800 
 65 ; 3 копейки. В капсуле ННР ; 1899 ; СПБ ; Cu ;  ; 27 ; Продано в зале ; 9000 
 66 ; 3 копейки. В капсуле ННР ; 1915 ;  ; Cu ;  ; 47 ; 040778 ; 1111 
 67 ; 3 копейки. В капсуле ННР ; 1916 ;  ; Cu ;  ; 28 ; olgont ; 1022 
 68 ; 2 копейки ; 1762 ;  ; Cu ; F- ; 71 ; Продано в зале ; 13500 
 69 ; 2 копейки ; 1763 ; ММ ; Cu ; F-VF ; 72 ; nik41 ; 3122 
 70 ; 2 копейки ; 1764 ; ММ ; Cu ; F ; 52 ; Sky2 ; 2808 
 71 ; 2 копейки ; 1766 ; ММ ; Cu ; VF ; 37 ; Продано в зале ; 1800 
 72 ; 2 копейки. Новодел ; 1805 ; КМ Новодел ; Cu ;  ; 25 ; 25 ; 44000 
 73 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; VF+ ; 76 ; Продано в зале ; 3700 
 74 ; 2 копейки. Новодел ; 1830 ; СПБ Новодел ;  ; XF+ ; 38 ; Alecoins ; 48000 
 75 ; 2 копейки ; 1861 ; ВМ ; Cu ; VF ; 47 ; Хаа ; 5106 
 76 ; 2 копейки ; 1885 ; СПБ ; Cu ; XF ; 27 ; Продано в зале ; 4600 
 77 ; 2 копейки. В капсуле ННР ; 1912 ; СПБ ; Cu ;  ; 66 ; Продано в зале ; 2600 
 78 ; 2 копейки. Капсула ННР ; 1914 ; СПБ ; Cu ;  ; 18 ; Reichard ; 826 
 79 ; 2 копейки. Капсула ННР ; 1915 ;  ; Cu ;  ; 9 ; Reichard ; 573 
 80 ; 2 копейки. Капсула ННР ; 1916 ;  ; Cu ;  ; 25 ; аlеx ; 949 
 81 ; Копейка ; 1728 ;  ; Cu ; VF+ ; 72 ; Продано в зале ; 9000 
 82 ; Копейка (Ильин-8р, Петров-8р) ; 1764 ; ММ ; Cu ; F ; 45 ; Продано в зале ; 13000 
