 101 ; Медаль "Закон от самодержавной власти исходящий". Государственный совет 1801-1901 D-62мм ;  ;  ; Ж/м ; VF-XF ; 30 ; валенок ; 11000 
 102 ; Медаль Институт инженеров Путей Сообщения императора Александра I D-90мм ;  ;  ; Ж/м ; XF ; 54 ; Продано в зале ; 17000 
 51 ; 20 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 11 ; Лидер ; 2000 
 52 ; 15 копеек. В капсуле ННР ; 1864 ; СПБ НФ ; Ag ;  ; 30 ; il468 ; 1858 
 53 ; Гривенник ; 1745 ;  ; Ag ; VF+ ; 17 ; AlexMar ; 3715 
 54 ; 10 копеек (Ильин-3р) ; 1829 ; СПБ НГ ; Ag ; VF- ; 18 ; CapsulЪ ; 4000 
 55 ; 10 копеек ; 1848 ; СПБ HI ; Ag ; XF+ ; 29 ; Продано в зале ; 2200 
 56 ; 10 копеек ; 1917 ; ВС ; Ag ; AU ; 34 ; Reichard ; 6500 
 57 ; 5 копеек ; 1826 ; СПБ НГ ; Ag ; XF ; 50 ; 7678788 ; 4200 
 58 ; 5 копеек. В капсуле NGC ; 1834 ; СПБ НГ ; Ag ;  ; 30 ; taa ; 2654 
 59 ; 5 копеек. В капсуле PCGS ; 1844 ; СПБ КБ ; Ag ;  ; 50 ; taa ; 5100 
 60 ; 5 копеек ; 1852 ; СПБ ПА ; Ag ; AU ; 25 ; Продано в зале ; 3200 
 61 ; 5 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 39 ; Продано в зале ; 4200 
 62 ; 5 копеек ; 1865 ; СПБ НФ ; Ag ; XF+ ; 61 ; 7678788 ; 4600 
 63 ; 5 копеек ; 1875 ; СПБ HI ; Ag ; XF+ ; 29 ; I3 ; 6500 
 64 ; 5 копеек ; 1879 ; СПБ НФ ; Ag ; XF+ ; 25 ; 7678788 ; 4600 
 65 ; 5 копеек ; 1902 ; СПБ АР ; Ag ; AU ; 24 ; mottura ; 1100 
