 101 ; 2 копейки ; 1800 ; КМ ; Cu ; VF-XF ; 24 ; I3 ; 2000 
 102 ; 2 копейки ; 1801 ; КМ ; Cu ; VF-XF ; 27 ; maxxim ; 2100 
 103 ; 2 копейки ; 1811 ; ЕМ НМ ; Cu ; XF ; 29 ; Си+ ; 1111 
 104 ; 2 копейки. Дубовая ветвь за 1 звеном-2 желудя. (Ильин-5р, Петров-7р) ; 1814 ; СПБ ПС ; Cu ; VF ; 20 ; Продано в зале ; 10000 
 105 ; 2 копейки. Дубовая ветвь за 1 звеном-1 желудь. (Ильин-4р, Петров-7р) ; 1814 ; СПБ ПС ; Cu ; VF ; 18 ; Продано в зале ; 12000 
 106 ; 2 копейки (Ильин-1р) ; 1834 ; СМ ; Cu ; XF- ; 23 ; Продано в зале ; 4600 
 107 ; 2 копейки ; 1903 ; СПБ ; Cu ; XF+ ; 19 ; electra ; 1300 
 108 ; Копейка. Брак ; 1713-1716 ;  ; Cu ; VF- ; 24 ; Продано в зале ; 2200 
 109 ; Копейка ; 1728 ;  ; Cu ; XF+ ; 57 ; I3 ; 22000 
 110 ; Копейка ; 1790 ; ЕМ ; Cu ; XF- ; 28 ; *@*#* ; 2400 
 111 ; Копейка ; 1795 ; ЕМ ; Cu ; VF-XF ; 23 ; Кто там ; 2200 
 112 ; Денга ; 1789 ; ЕМ ; Cu ; VF+ ; 7 ; Sky2 ; 3526 
 113 ; Денга ; 1790 ; ЕМ ; Cu ; VF+ ; 40 ; *@*#* ; 2400 
 114 ; Полушка (Ильин-1р) ; 1718 ; НД ; Cu ; VF ; 27 ; Продано в зале ; 12500 
 115 ; Полушка ; 1719 ;  ; Cu ; VF+ ; 25 ; masterovoi ; 3864 
 116 ; Полушка ; 1720 ; НД ; Cu ; VF ; 13 ; Продано в зале ; 3600 
 117 ; Полушка. Аверс/Реверс 180 градусов ; 1720 ;  ; Cu ; VF ; 44 ; Продано в зале ; 4200 
 118 ; Полушка. Цифра "7" в дате развернута. (Ильин-1р) ; 1720 ;  ; Cu ; VF- ; 12 ; Продано в зале ; 2800 
 119 ; Полушка. Инкузный след ; 1720 ;  ; Cu ; VF ; 29 ; Продано в зале ; 6400 
 120 ; Полушка ; 1721 ;  ; Cu ; VF ; 17 ; Си+ ; 2958 
 121 ; Полушка ; 1722 ;  ; Cu ; VF+ ; 21 ; Sky2 ; 2958 
 122 ; Полушка ; 1768 ; ЕМ ; Cu ; VF-XF ; 27 ; Кто там ; 3200 
 123 ; Полушка ; 1770 ; ЕМ ; Cu ; VF ; 44 ; I3 ; 5250 
 124 ; Полушка ; 1772 ; ЕМ ; Cu ; VF- ; 26 ; I3 ; 4600 
 125 ; Полушка (Петров-5р, Ильин-3р) ; 1775 ; ЕМ ; Cu ; VF ; 38 ; I3 ; 6750 
 126 ; Полушка ; 1789 ; ЕМ ; Cu ; VF+ ; 22 ; I3 ; 2400 
 127 ; Знак ордена Св. Анны II ст. с мечами. Фирма "Эдуард", пробирное "56",  "В.Д". Р-ры 43х43мм. М-20,76г ; 1828-1916 ; Золото, эмаль. "Эдуард". ;  ; XF ; 48 ; lastfast ; 130000 
 128 ; Медаль в память коронации Императора Павла I. D-38мм. М-21,8г ;  ;  ; Ag ; VF-XF ; 21 ; masterovoi ; 51000 
 129 ; Медаль. "Преуспевающему". D-42мм ;  ;  ; Ag ; XF+ ; 40 ; Продано в зале ; 23000 
 130 ; Медаль в память освящения Исаакиевского собора в С.-Петербурге. Медальер: лиц. Ст.-Н.А. Козин. D-65мм. М-128,96г. С сертификатом подлинности ; 1858 ;  ; Ag ; XF ; 43 ; manti-M ; 210000 
 131 ; Медаль. В память 500-летия русской артиллерии (1389-1889). Дмитрий Донской-Александр III. Александр III император и самодержиц всероссийский. Медальер: А. Грилихес. D-93мм ;  ;  ; Br ; XF ; 36 ; Продано в зале ; 19000 
 132 ; Знак Императорская Военно Медицинская Академия. Р-ры30х22мм ;  ;  ; Ag ; XF+ ; 28 ; Хаа ; 13000 
 133 ; Знак об окончании курса Санкт-Петербурского Женского Педагогического института ведомства учереждений Императрицы Марии Федоровны ;  ;  ; Ag,эмаль ; XF ; 52 ; ZOLTAN 333 ; 21000 
 134 ; Знак Передовик Ударник 1931 год ;  ;  ; Ag ; VF-XF ; 45 ; Sky2 ; 5750 
 135 ; Рубль ; 1750 ; СПБ ; Ag ; XF- ; 52 ; vtoth ; 28000 
 136 ; Рубль ; 1751 ; СПБ ; Ag ; XF- ; 38 ; Продано в зале ; 26000 
 137 ; Рубль ; 1752 ; ММД IШ ; Ag ; VF-XF ; 41 ; Продано в зале ; 27000 
 138 ; Рубль ; 1752 ; ММД Е ; Ag ; XF ; 31 ; бриз33 ; 24000 
 139 ; Рубль ; 1753 ; СПБ IM ; Ag ; XF- ; 20 ; бриз33 ; 21989 
 140 ; Рубль ; 1753 ; СПБ ЯI ; Ag ; XF- ; 54 ; Продано в зале ; 26000 
 141 ; Рубль ; 1755 ; СПБ ЯI BS ; Ag ; XF- ; 62 ; Acronis ; 38000 
 142 ; Рубль ; 1777 ; СПБ ФЛ ; Ag ; VF-XF ; 33 ; Продано в зале ; 16500 
 143 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; XF- ; 27 ; iustas ; 20233 
 144 ; Рубль ; 1837 ; СПБ НГ ; Ag ; XF ; 39 ; 462 ; 9500 
 145 ; Рубль ; 1850 ; СПБ ПА ; Ag ; XF- ; 36 ; top1 ; 14000 
 146 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; VF-XF ; 30 ; бриз33 ; 24000 
 147 ; Рубль. С экспертным заключением Общества друзей ГИМ ; 1914 ; На 200-летие гангутского сражения ; Ag ; XF+ ; 84 ; Коллекционер СНГ ; 825000 
 51 ; Рубль ; 1910 ; (ЭБ) ; Ag ; XF- ; 36 ; Sky2 ; 31212 
 52 ; Полтина ; 1720 ;  ; Ag ; VF- ; 47 ; Продано в зале ; 30000 
 53 ; Полтина ; 1724 ;  ; Ag ; VF-XF ; 52 ; Acronis ; 57500 
 54 ; Полтина (Петров - 3р.) ; 1764 ; СПБ СА TI ; Ag ; VF+ ; 30 ; Продано в зале ; 19500 
 55 ; Полтина ; 1820 ; СПБ ПД ; Ag ; VF+/XF ; 69 ; Как-то так... ; 10500 
 56 ; 25 копеек. Капсула ННР ; 1893 ; (АГ) АГ ; Ag ;  ; 38 ; Гектор8 ; 18000 
 57 ; 20 копеек ; 1783 ; СПБ ; Ag ; XF+ ; 46 ; I3 ; 15000 
 58 ; 20 копеек ; 1784 ; СПБ ; Ag ; XF ; 52 ; I3 ; 19000 
 59 ; 20 копеек (Ильин - 6р.) ; 1831 ; СПБ НГ ; Ag ; VF-XF ; 81 ; Acronis ; 14000 
 60 ; 20 копеек ; 1838 ; СПБ НГ ; Ag ; XF- ; 52 ; Плагиат ; 7242 
 61 ; 20 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 43 ; птичкин ; 1000 
 62 ; 15 копеек ; 1783 ; СПБ ; Ag ; XF+ ; 57 ; I3 ; 16000 
 63 ; 15 копеек ; 1784 ; СПБ ; Ag ; AU ; 45 ; Продано в зале ; 20000 
 64 ; 15 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 33 ; sergius ; 3185 
 65 ; Гривенник ; 1754 ; IП ; Ag ; VF-XF ; 19 ; Rare Breed ; 5207 
 66 ; Гривенник ; 1784 ; СПБ ; Ag ; XF+/AU ; 47 ; I3 ; 10000 
 67 ; 10 копеек (Петров-5р. Ильин-4р.) ; 1810 ; СПБ ФГ ; Ag ; VF+ ; 55 ; sdv75-2010 ; 10500 
 68 ; 10 копеек (Петров -2,5р. Ильин -3р.) ; 1829 ; СПБ НГ ; Ag ; VF- ; 41 ; Продано в зале ; 14000 
 69 ; 10 копеек (Петров -5р. Ильин -5р.) ; 1832 ; СПБ НГ ; Ag ; VF-XF ; 73 ; sdv75-2010 ; 18000 
 70 ; 10 копеек ; 1839 ; СПБ НГ ; Ag ; XF ; 23 ; max96 ; 6000 
 71 ; 10 копеек ; 1840 ; СПБ НГ ; Ag ; VF-XF ; 32 ; sdv75-2010 ; 4600 
 72 ; 10 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 22 ; *@*#* ; 2200 
 73 ; 5 копеек ; 1893 ; СПБ АГ ; Ag ; AU ; 19 ; Продано в зале ; 2000 
 74 ; 1,5 рубля-10 злотых ; 1834 ; НГ Рус.-Пол. ; Ag ; XF- ; 39 ; Продано в зале ; 32000 
 75 ; 15 копеек-1 злотый ; 1840 ; НГ Рус.-Пол. ; Ag ; VF-XF ; 13 ; sergius ; 1638 
 76 ; 10 копеек ; 1771 ; КМ "Сибирь" ; Cu ; VF+ ; 13 ; Кто там ; 7510 
 77 ; 10 копеек ; 1777 ; КМ "Сибирь" ; Cu ; VF-XF ; 30 ; I3 ; 9000 
 78 ; 10 копеек ; 1781 ; КМ "Сибирь" ; Cu ; VF+ ; 25 ; Продано в зале ; 9000 
 79 ; 5 копеек (Петров-2,5р, Ильин-3р) ; 1768 ; ММ ; Cu ; VF- ; 45 ; DiatezЪ ; 3400 
 80 ; 5 копеек ; 1769 ; КМ "Сибирь" ; Cu ; VF+ ; 34 ; I3 ; 8000 
 81 ; 5 копеек ; 1772 ; КМ "Сибирь" ; Cu ; VF-XF ; 28 ; Продано в зале ; 6500 
 82 ; 5 копеек ; 1773 ; КМ "Сибирь" ; Cu ; VF ; 26 ; Продано в зале ; 5500 
 83 ; 5 копеек ; 1774 ; КМ "Сибирь" ; Cu ; XF- ; 37 ; Sky2 ; 5908 
 84 ; 5 копеек ; 1776 ; КМ "Сибирь" ; Cu ; VF-XF ; 21 ; Продано в зале ; 5500 
 85 ; 5 копеек ; 1777 ; КМ "Сибирь" ; Cu ; VF-XF ; 48 ; I3 ; 10000 
 86 ; 5 копеек. Ошибка в номинале "КОПЪКЕЪ" ; 1780 ; ЕМ ; Cu ; VF+ ; 67 ; Мишустин ; 72500 
 87 ; 5 копеек. М-35,4г ; 1789 ; ЕМ ; Cu ; VF-XF ; 27 ; Продано в зале ; 1900 
 88 ; 5 копеек ; 1802 ; ЕМ ; Cu ; VF-XF ; 21 ; Кто там ; 4500 
 89 ; 5 копеек ; 1803 ; ЕМ ; Cu ; VF-XF ; 13 ; Кто там ; 2800 
 90 ; 5 копеек ; 1804 ; ЕМ ; Cu ; VF-XF ; 22 ; Кто там ; 4200 
 91 ; 5 копеек ; 1805 ; ЕМ ; Cu ; XF- ; 42 ; anna53 ; 6500 
 92 ; 5 копеек ; 1863 ; ЕМ ; Cu ; XF- ; 54 ; Продано в зале ; 5750 
 93 ; 2 копейки ; 1757 ; Номинал над гербом ; Cu ; F ; 12 ; Кто там ; 1587 
 94 ; 2 копейки (Петров-10р, Ильин-5р) ; 1760 ; Гурт надп. ЕКАТЕРИНБУРГ ; Cu ; F ; 25 ; Кто там ; 3059 
