 101 ; 5 копеек ; 1803 ; ЕМ ; Cu ; VF-XF ; 34 ; Ok203 ; 4079 
 102 ; 5 копеек ; 1859 ; ЕМ ; Cu ; XF- ; 63 ; sdv75-2010 ; 10500 
 103 ; 5 копеек ; 1876 ; СПБ ; Cu ; VF-XF ; 34 ; Fortyna 12 ; 4000 
 104 ; 3 копейки ; 1876 ; СПБ ; Cu ; VF+ ; 21 ; Fortyna 12 ; 2669 
 105 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; VF-XF ; 18 ; Ветерберг ; 1503 
 106 ; Копейка. Новодел. Капсула ; 1765 ; Новодел ; Cu ;  ; 40 ; serg2010 ; 38000 
 107 ; Копейка (Ильин-1р) ; 1832 ; СМ ; Cu ; VF-XF ; 35 ; Sky2 ; 3009 
 108 ; Копейка ; 1914 ; СПБ ; Cu ; Unc/AU ; 143 ; the shit collector ; 2000 
 109 ; Полушка. Аверс/Реверс 180 градусов ; 1731 ; Орёл 1730 г. ; Cu ; F ; 27 ; Продано в зале ; 480 
 110 ; Полушка ; 1734 ; Орёл 1730 г. ; Cu ; VF- ; 16 ; electra ; 350 
 111 ; 1/4 копейки (Петров-5р, Ильин-3р) ; 1894 ; СПБ ; Cu ; AU ; 59 ; Kupferberg ; 140462 
 51 ; 15 копеек ; 1862 ; СПБ МИ ; Ag ; XF+/AU ; 38 ; Продано в зале ; 3000 
 52 ; Гривенник ; 1784 ; СПБ ; Ag ; VF-XF ; 23 ; vit2503 ; 5107 
 53 ; 10 копеек ; 1815 ; СПБ МФ ; Ag ; XF ; 29 ; Dude8220 ; 3800 
 54 ; 10 копеек ; 1824 ; СПБ ПД ; Ag ; XF ; 30 ; Продано в зале ; 7000 
 55 ; 10 копеек ; 1826 ; СПБ НГ ; Ag ; XF ; 53 ; Продано в зале ; 9500 
 56 ; 10 копеек ; 1833 ; СПБ НГ ; Ag ; XF- ; 28 ; Продано в зале ; 6750 
 57 ; 10 копеек ; 1835 ; СПБ НГ ; Ag ; XF ; 45 ; 25 ; 10500 
