 351 ; 10 копеек ; 1902 ; СПБ АР  ; Ag ; AU ; 3 ; Участник № 9 ; 2600 
 352 ; 10 копеек ; 1902 ; СПБ АР  ; Ag ; AU ; 9 ; Участник № 222 ; 1000 
 353 ; 3 копейки ; 1903 ; СПБ  ; Cu ; VF-XF ; 12 ; Участник № 700 ; 357 
 354 ; 20 копеек ; 1904 ; СПБ АР  ; Ag ; AU ; 13 ; Участник № 565 ; 4080 
 355 ; 15 копеек ; 1904 ; СПБ АР  ; Ag ; AU ; 3 ; Участник № 9 ; 3000 
 356 ; 15 копеек ; 1904 ; СПБ АР  ; Ag ; AU ; 9 ; Участник № 222 ; 3000 
 357 ; 2 копейки ; 1904 ; СПБ  ; Cu ; AU ; 17 ; Участник № 470 ; 4239 
 358 ; 10 копеек ; 1905 ; СПБ АР  ; Ag ; AU ; 17 ; Участник № 9 ; 1900 
 359 ; Рубль ; 1906 ; (ЭБ)  ; Ag ; XF+ ; 49 ; Участник № 87 ; 150000 
 360 ; Рубль ; 1906 ; (ЭБ)  ; Ag ; VF+ ; 35 ; Участник № 231 ; 31110 
 361 ; Рубль ; 1907 ; (ЭБ)  ; Ag ; XF- ; 49 ; Участник № 186 ; 16000 
 362 ; Рубль ; 1908 ; (ЭБ)  ; Ag ; VF-XF ; 25 ; Участник № 16 ; 130000 
 363 ; 10 рублей ; 1909 ; (ЭБ) АГ  ; Au ; XF ; 5 ; Участник № 747 ; 20000 
 364 ; "5 рублей (редкая, Уздеников-""черта"")" ; 1909 ; (ЭБ)  ;  ; AU ; 48 ; Участник № 639 ; 35001 
 365 ; Рубль ; 1909 ; (ЭБ)  ; Ag ; AU ; 53 ; Участник № 520 ; 170000 
 366 ; Копейка ; 1909 ; СПБ  ; Cu ; AU ; 21 ; Участник № 748 ; 12750 
 367 ; 1/4 копейки ; 1909 ; СПБ  ; Cu ; AU ; 15 ; Участник № 9 ; 714 
 368 ; 5 копеек ; 1910 ; СПБ ЭБ  ; Ag ; AU ; 29 ; Участник № 867 ; 6633 
 369 ; 1/4 копейки ; 1910 ; СПБ  ; Cu ; AU ; 134 ; Участник № 147 ; 3800 
 370 ; Полтина ; 1911 ; (ЭБ) АГ  ; Ag ; AU ; 19 ; Участник № 585 ; 13000 
 371 ; 5 копеек ; 1911 ; СПБ  ; Cu ; AU ; 38 ; Участник № 541 ; 10200 
 372 ; Рубль ; 1912 ; (ЭБ)  ; Ag ; AU ; 16 ; Участник № 133 ; 11000 
 373 ; Рубль ; 1912 ; (ЭБ)  ;  ; AU ; 28 ; Участник № 186 ; 17000 
 374 ; Рубль ; 1912 ; На столетие отечественной войн ; Ag ; AU ; 68 ; Участник № 9 ; 95000 
 375 ; Рубль ; 1912 ; На столетие отечественной войн ; Ag ; XF- ; 47 ; Участник № 446 ; 81000 
 376 ; 20 копеек ; 1912 ; СПБ ЭБ  ; Ag ; proof ; 42 ; Участник № 565 ; 16179 
 377 ; Рубль ; 1913 ; На 300-летие Дома Романовых  ; Ag ; AU ; 17 ; Участник № 457 ; 5008 
 378 ; Полтина ; 1913 ; (ВС) АГ  ; Ag ; AU ; 3 ; Участник № 62 ; 2400 
 379 ; 3 копейки ; 1913 ; СПБ  ; Cu ; AU ; 8 ; Участник № 470 ; 2448 
 380 ; 3 копейки ; 1914 ; СПБ  ; Cu ; AU ; 19 ; Участник № 541 ; 3550 
 381 ; 2 копейки ; 1914 ; СПБ  ; Cu ; AU ; 2 ; Участник № 720 ; 950 
 382 ; Рубль ; 1915 ; (ВС)  ;  ; XF- ; 26 ; Участник № 640 ; 16000 
 383 ; 3 копейки ; 1915 ;  ; Cu ; AU ; 5 ; Участник № 720 ; 850 
 384 ; 2 копейки ; 1915 ;  ; Cu ; AU ; 3 ; Участник № 720 ; 600 
 385 ; Копейка ; 1915 ;  ; Cu ; AU ; 7 ; Участник № 597 ; 204 
 386 ; 1/2 копейки ; 1916 ;  ; Cu ; AU ; 28 ; Участник № 541 ; 15504 
