 351 ; 25 копеек ; 1848 ; СПБ ПА ; Ag ; proof-like ; 44 ; Участник № 1280 ; 18000 
 352 ; 25 копеек ; 1858 ; СПБ ФБ ; Ag ; Unc ; 26 ; Участник № 168 ; 4200 
 353 ; 20 копеек ; 1858 ; СПБ ФБ ; Ag ; AU ; 32 ; Ghb ; 13770 
 354 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 13 ; 155оа ; 3612 
 355 ; 20 копеек (особый тип герба) ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 55 ; Участник № 30 ; 7500 
 356 ; 25 копеек (редкая датировка) ; 1866 ; СПБ HI ; Ag ; AU ; 9 ; Участник № 135 ; 80000 
 357 ; 25 копеек ; 1877 ; СПБ HI ; Ag ; AU ; 16 ; 155оа ; 5006 
 358 ; 25 копеек. В капсуле NGC ; 1896 ; АГ ; Ag ; AU 58 ; 18 ; finger ; 6122 
 359 ; 15 копеек. В капсуле NGC ; 1785 ; СПБ ; Ag ; AU 58 ; 32 ; Глол ; 12365 
 360 ; 20 копеек. В капсуле NGC ; 1838 ; СПБ НГ ; Ag ; MS 63 ; 20 ; Участник № 147 ; 6000 
 301 ; 1/4 копейки ; 1898 ; СПБ ; Cu ; AU ; 9 ; Участник № 185 ; 1200 
 302 ; 15 копеек ; 1899 ; СПБ АГ ; Ag ; AU ; 15 ; Ghb ; 3500 
 303 ; Полтина ; 1900 ; (ФЗ) АГ ; Ag ; XF+ ; 30 ; serge ; 12000 
 304 ; 3 копейки ; 1900 ; СПБ ; Cu ; AU ; 18 ; VAP20 ; 5500 
 305 ; Копейка ; 1900 ; СПБ ; Cu ; XF+ ; 5 ; sergfokin ; 340 
 306 ; Рубль ; 1901 ; (АР) ; Ag ; VF ; 7 ; Участник № 16 ; 3600 
 307 ; 10 копеек ; 1901 ; СПБ ФЗ ; Ag ; AU ; 13 ; mamont ; 2400 
 308 ; 10 копеек ; 1903 ; СПБ АР ; Ag ; AU ; 9 ; Участник № 147 ; 1500 
 309 ; 15 копеек ; 1904 ; СПБ АР ; Ag ; AU ; 21 ; mamont ; 3200 
 310 ; 20 копеек. Фальшивая монета для обращения ; 1906 ; СПБ ЭБ ; Ag? ; VF- ; 1 ; Участник № 16 ; 750 
 311 ; 15 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 13 ; Участник № 30 ; 1200 
 312 ; 10 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 12 ; Участник № 30 ; 1200 
 313 ; Полтина ; 1907 ; (ЭБ) АГ ; Ag ; AU ; 24 ; Ghb ; 34000 
 314 ; Полтина ; 1910 ; (ЭБ) АГ ; Ag ; AU ; 15 ; 462 ; 12384 
 315 ; Рубль ; 1913 ; На 300-летие Дома Романовых ; Ag ; AU/Unc ; 35 ; alex-05 ; 6006 
