 251 ; 2 копейки ; 1862 ; ВМ ; Cu ; VF ; 19 ; Участник № 9 ; 3800 
 252 ; Копейка ; 1728 ;  ; Cu ; VF- ; 17 ; SSK ; 3967 
 253 ; Копейка ; 1755 ; СПБ ; Cu ; F-VF ; 21 ; foma71 ; 2604 
 254 ; Копейка (Петров-75р, Ильин-25р) ; 1755 ;  ; Cu ; VF+ ; 26 ; Участник № 100 ; 42000 
 255 ; Копейка (Петров-2р, Ильин-1р) ; 1756 ;  ; Cu ; VF+ ; 23 ; Участник № 100 ; 6500 
 256 ; Копейка. Новодел ; 1830 ; КМ АМ ; Cu ; AU ; 35 ; int1965708 ; 40206 
 257 ; Копейка. Новодел ; 1842 ; СМ ;  ; AU ; 25 ; int1965708 ; 40111 
 258 ; Денежка ; 1855 ; ВМ ; Cu ; AU ; 24 ; Участник № 100 ; 22000 
 259 ; Денежка ; 1857 ; ВМ ; Cu ; XF+ ; 14 ; ddr ; 5000 
 260 ; Денежка ; 1860 ; ВМ ; Cu ; AU ; 25 ; Участник № 51 ; 20000 
 261 ; Денежка ; 1861 ; ЕМ ; Cu ; AU ; 15 ; Участник № 100 ; 15000 
 262 ; Полушка (Ильин-3р) ; 1805 ; КМ ; Cu ; F-VF ; 17 ; АВлад ; 9853 
 263 ; Полушка ; 1859 ; ЕМ ; Cu ; AU ; 17 ; Участник № 100 ; 13000 
 264 ; 5 копеек. Крым. Шахин-Гирей. 5-й год правления ; 1191лх (1777) ;  ; Cu ; F-VF ; 21 ; boroda ; 3709 
 265 ; 5 копеек. В капсуле NGC ; 1865 ; ЕМ ; Cu ; MS 63 RB ; 55 ; boroda ; 28000 
 266 ; Медаль "За покорение Чечни и Дагестана". СПБ мон. двор. D-28мм. М-10,29г ; 1857-1859 ;  ; Ag ; VF+ ; 40 ; daniz ; 17511 
 267 ; Медаль "За Русско-Турецкую войну 1877-1878". СПБ мон. двор. D-26мм. М-12,73г ; 1877-1878 ;  ; Ag ; VF+ ; 47 ; daniz ; 14166 
 268 ; Медаль "За усердие". Александр III. СПБ мон. двор. D-30мм. М-17,11г. Медальер. А. Грилихес ; 1881-1894 ;  ; Ag ; VF+ ; 45 ; ivs07 ; 23347 
 269 ; Медаль "В память Японской войны 1904-1905гг". СПБ мон. двор. D-28мм. М-12,95г ; 1904-1905 ;  ; Ag ; VF+ ; 26 ; daniz ; 17000 
 201 ; 5 пенни ; 1916 ; Финляндия ; Cu ; Unc/AU ; 3 ; Участник № 454 ; 220 
 202 ; 50 пенни ; 1917 ; S Финляндия. Без короны ; Ag ; AU ; 3 ; Участник № 132 ; 220 
 203 ; 25 пенни ; 1917 ; S Финляндия. Без короны ; Ag ; Unc/AU ; 3 ; Участник № 132 ; 220 
 204 ; 10 пенни ; 1917 ; Финляндия. Орёл ; Cu ; Unc/AU ; 5 ; Участник № 100 ; 460 
 205 ; 5 пенни. Вензель ; 1917 ; Финляндия ; Cu ; AU ; 3 ; Участник № 132 ; 110 
 206 ; 5 пенни ; 1917 ; Финляндия. Орёл ; Cu ; Unc/AU ; 5 ; Участник № 132 ; 400 
 207 ; 3 рубля ; 1918 ; Армавир. Большой кружок ; Cu ; XF- ; 49 ; Участник № 392 ; 36000 
 208 ; 3 рубля ; 1918 ; Армавир. Кружок меньше ; Cu ; VF+ ; 43 ; int1965708 ; 16830 
 209 ; 500 рублей ; (1920-1922) ; Хорезмская народная республика. Кружок меньше. ;  ; VF ; 31 ; PSP ; 3449 
 210 ; 100 рублей ; (1920-1922) ; Хорезмская народная республика ;  ; VF-XF ; 20 ; PSP ; 3356 
 211 ; 25 рублей ; (1920-1922) ; Хорезмская народная республика ;  ; VF+ ; 28 ; PSP ; 3319 
