 101 ; 3 копейки ; 1852 ; ЕМ ; Cu ; VF-XF ; 21 ; Продано в зале ; 3500 
 102 ; 2 копейки (Петров-7р, Ильин-3р) ; 1767 ; СПМ ; Cu ; F+ ; 10 ; 36400 ; 2271 
 103 ; 2 копейки ; 1772 ; ЕМ ; Cu ; VF+ ; 7 ; Продано в зале ; 1300 
 104 ; 2 копейки (Петров-8р, Ильин-2р) ; 1779 ; ЕМ ; Cu ; F-VF ; 30 ; Упор ; 10500 
 105 ; 2 копейки (Петров-1,5р). Павловский перечекан ; 1793 ; Е- М Павл.перечекан ; Cu ; VF+ ; 29 ; Упор ; 5667 
 106 ; 2 копейки ; 1798 ; ЕМ ; Cu ; AU ; 15 ; Продано в зале ; 3500 
 107 ; 2 копейки ; 1801 ; КМ ; Cu ; VF+ ; 26 ; Продано в зале ; 2200 
 108 ; 2 копейки ; 1802 ; ЕМ ; Cu ; VF+ ; 23 ; double ; 4386 
 109 ; 2 копейки (Петров-1р, Ильин-2р) ; 1803 ; ЕМ ; Cu ; VF-XF ; 31 ; Продано в зале ; 18000 
 110 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; VF-XF ; 23 ; SSK ; 867 
 111 ; 2 копейки ; 1874 ; ЕМ ; Cu ; XF+ ; 16 ; SSK ; 4000 
 112 ; Копейка ; 1728 ;  ; Cu ; VF+ ; 23 ; Pablo1 ; 8631 
 113 ; 1 копейка ; 1756 ;  ; Cu ; VF- ; 32 ; Продано в зале ; 7000 
 114 ; Копейка ; 1795 ; ЕМ ; Cu ; VF+ ; 9 ; kpt ; 795 
 115 ; Копейка ; 1795 ; ЕМ ; Cu ; VF+ ; 11 ; Ff ; 867 
 116 ; Копейка ; 1840 ; ЕМ ; Cu ; VF+ ; 7 ; Продано в зале ; 1600 
 117 ; Денга (Ильин-15р) ; 1709 ;  ; Cu ; F-VF ; 40 ; Продано в зале ; 19000 
 118 ; Денга (Ильин-25р) ; 1709 ;  ; Cu ; F ; 79 ; Продано в зале ; 15000 
 119 ; Денга. Брак чеканки ; 1735 ;  ; Cu ; F-VF ; 5 ; Продано в зале ; 500 
 120 ; Денга ; 1783 ; КМ ; Cu ; VF+ ; 43 ; Упор ; 4500 
 121 ; 1/2 копейки ; 1885 ; СПБ ; Cu ; AU ; 19 ; Продано в зале ; 1900 
 122 ; 1/2 копейки ; 1889 ; СПБ ; Cu ; XF/AU ; 13 ; tisa66 ; 1826 
 123 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 124 ; Полушка. Инкузный след ; 1730-1754 ;  ; Cu ; F+ ; 7 ; Sky2 ; 911 
 125 ; 1/4 копейки ; 1877 ; СПБ ; Cu ; AU ; 18 ; Продано в зале ; 3000 
 126 ; 1/4 копейки ; 1887 ; СПБ ; Cu ; AU ; 9 ; Упор ; 3000 
 127 ; 5 копеек ; 1922 ; Вторая государственная шорно-футлярная и чемоданная фабрика (Петроград) ;  ; XF- ; 29 ; mep58 ; 14000 
 128 ; 20 копеек ; 1928 ; в СССР С округлые, шт. 3 коп.1926 ; Ag ; AU ; 35 ; Lisik ; 6185 
 129 ; 20 копеек ; 1958 ;  ; Cu-Ni ; VF-XF ; 17 ; Lisik ; 55000 
 130 ; 10 копеек ; 1958 ;  ; Cu-Ni ; XF+ ; 11 ; Lisik ; 31960 
 131 ; 3 копейки ; 1958 ;  ;  ; VF-XF ; 19 ; Lisik ; 37232 
 132 ; 1 рубль ; 1990 ; (1989) ; Cu-Ni ; AU ; 39 ; Sky2 ; 8505 
 133 ; Знак ордена святого равноапостольного князя Владимира IV ст. Мастерская " Альберт Кейбель". Р-ры: 34,5Х34,6мм. М-7,27 (с лентой). Следы ремонта ; 1899-1903 ; Владимира IV ст. ; Au, эмаль ; XF ; 29 ; Mmm ; 68000 
 134 ; Георгиевский крест III ст. №139710. Р-ры: 34 на 34мм ; 1914-1915 ;  ; Ag ; VF ; 21 ; temir ; 8500 
 135 ; Георгиевский крест IV ст. №315034. Р-ры: 34 на 34мм ; 1914-1915 ;  ; Ag ; XF ; 13 ; Продано в зале ; 12000 
 136 ; Медаль. За усердие. Имп. Александр III. D-30мм ;  ;  ; Ag ; XF- ; 33 ; Lisik ; 33960 
 137 ; Жетон в память Русско-Японской войны (1904-1905). D-24мм ;  ;  ; Ag, эмаль ; VF+ ; 23 ; Продано в зале ; 6250 
 138 ; Жетон 12 к ;  ;  ; Б/м ; VF-XF ; 15 ; Продано в зале ; 2200 
 139 ; Медаль. Томский университет (1880-1888). D-77мм ;  ;  ; Ж/м ; AU ; 44 ; Lisik ; 32000 
