 101 ; 5 копеек ; 1835 ; ЕМ ФХ ; Cu ; XF ; 33 ; Продано в зале ; 10500 
 102 ; 5 копеек ; 1858 ; ЕМ ; Cu ; VF-XF ; 8 ; Isay ; 3600 
 103 ; 3 копейки ; 1843 ; ЕМ ; Cu ; VF+ ; 8 ; Isay ; 1020 
 104 ; 2 копейки ; 1765 ; ММ ; Cu ; VF+ ; 29 ; Isay ; 1543 
 105 ; 2 копейки (Петров-30р, Ильин-20р) ; 1788 ; ТМ ; Cu ; F+ ; 34 ; finger ; 39100 
 106 ; 2 копейки ; 1797 ; АМ ; Cu ; XF- ; 37 ; igors1969 ; 1665 
 107 ; 2 копейки ; 1841 ; ЕМ ; Cu ; VF+ ; 5 ; OMT ; 1950 
 108 ; 2 копейки ; 1858 ; ЕМ ; Cu ; VF+ ; 41 ; Isay ; 4408 
 109 ; 2 копейки ; 1859 ; ВМ ; Cu ; VF+ ; 27 ; нумизмат ; 4000 
 110 ; 2 копейки ; 1865 ; ЕМ ; Cu ; VF-XF ; 21 ; Isay ; 3585 
 111 ; Копейка ; 1708 ; МД ; Cu ; VF- ; 29 ; Isay ; 5100 
 112 ; Копейка (Ильин-5р) ; 1717 ; НДз ; Cu ; F-VF ; 17 ; Продано в зале ; 7800 
 113 ; Копейка ; 1728 ;  ; Cu ; VF ; 26 ; Sky2 ; 3582 
 114 ; Копейка ; 1776 ; КМ "Сибирь" ; Cu ; VF+ ; 5 ; Isay ; 638 
 115 ; Денга ; 1793 ; ЕМ ; Cu ; VF+ ; 25 ; Isay ; 1326 
 116 ; Денга (Ильин-1р) ; 1793 ; КМ ; Cu ; VF+ ; 38 ; Isay ; 7975 
 117 ; Денга ; 1795 ; ЕМ ; Cu ; VF+ ; 31 ; Isay ; 1011 
 118 ; 1/2 копейки ; 1881 ; СПБ ; Cu ; AU ; 41 ; Продано в зале ; 5800 
 119 ; Полушка ; 1855 ; ЕМ ; Cu ; AU ; 23 ; Продано в зале ; 5200 
 120 ; 1/4 копейки ; 1871 ; ЕМ ; Cu ; VF- ; 17 ; Продано в зале ; 6000 
 121 ; 1 пенни ; 1899 ; Финляндия ; Cu ; AU ; 17 ; Продано в зале ; 350 
 122 ; Жетон в память коронации Александра I. D-23мм ;  ;  ; Ag ; XF ; 81 ; Продано в зале ; 17500 
 123 ; Георгиевский крест IV степени. № 113471 ;  ;  ; Ag ; VF+ ; 33 ; 439 ; 14109 
 124 ; Медаль наградная "Мир со Швецией" ;  ;  ; Ag ; VF- ; 22 ; Продано в зале ; 32000 
 125 ; Медаль за безпорочную службу в полиции. D-36мм ;  ;  ; Ag ; XF- ; 25 ; андрей&ка ; 20000 
 126 ; Медаль за усердие. D-28мм ;  ;  ; Ag ; XF ; 9 ; Продано в зале ; 3200 
 127 ; Медаль в память царствования Александра III (1881-1894) "Александр III императ. и самодерж. всеросс.". D-40мм ;  ;  ; Ag ; XF ; 25 ; Продано в зале ; 28000 
 128 ; Медаль  на заключение мира со Швецией. D-44мм. Убрано ушко ;  ;  ; Ж/м ; XF ; 27 ; Продано в зале ; 15000 
 129 ; Медаль в память Финляндского сейма 1863–1864 гг. Медальер Леа Альборн. D-55мм ;  ;  ; Br ; AU ; 15 ; вертров ; 7026 
 130 ; Знак Депутат ВС Туркменской ССР 1 созыв №225 ; 1938 ;  ; Ag,эмаль ; XF+ ; 23 ; Продано в зале ; 38000 
 131 ; Знак Депутат ВС Латвийской ССР 2-3 созывы №21 ; 1947-1951 ;  ; Br, эмаль ; XF+ ; 30 ; Продано в зале ; 12000 
 132 ; Знак Депутат ВС Дагестанской АССР 2-3 созывы №95 ; 1947-1951 ;  ; Ag,эмаль ; XF+ ; 25 ; Продано в зале ; 17000 
 133 ; Знак Депутат  Верховного Совета СССР 7-11 созывы №336 ; ММД ;  ; Ag,эмаль ; XF+ ; 19 ; verunk1 ; 7254 
 134 ; Знак. Депутат ВС Киргизской ССР №65. Отсутствует закрутка ; 1955-1985 ;  ; Ag,эмаль ; XF+ ; 29 ; korovan67 ; 9180 
 51 ; Полтина ; 1818 ; СПБ ПС ; Ag ; VF-XF ; 16 ; Продано в зале ; 7500 
 52 ; Полтина ; 1839 ; СПБ НГ ; Ag ; XF+ ; 54 ; verunk1 ; 14000 
 53 ; Полтина (Ильин-3р) ; 1847 ; СПБ ПА ; Ag ; VF+ ; 43 ; vvt ; 20000 
 54 ; Полтина ; 1893 ; (АГ) ; Ag ; VF-XF ; 25 ; Продано в зале ; 10000 
 55 ; 30 копеек-2 злотых ; 1835 ; MW Рус.-Пол. ; Ag ; XF- ; 30 ; Isay ; 6630 
 56 ; 30 копеек-2 злотых ; 1838 ; MW Рус.-Пол. ; Ag ; XF- ; 11 ; lelic ; 6000 
 57 ; 30 копеек-2 злотых ; 1839 ; MW Рус.-Пол. ; Ag ; XF- ; 10 ; Isay ; 5916 
 58 ; Полуполтинник ; 1765 ; ММД ЕI ТI ; Ag ; VF-XF ; 25 ; Продано в зале ; 17500 
 59 ; 25 копеек ; 1827 ; СПБ НГ ; Ag ; VF-XF ; 24 ; Isay ; 6120 
 60 ; 25 копеек ; 1836 ; СПБ НГ ; Ag ; XF+ ; 45 ; Продано в зале ; 6500 
 61 ; 25 копеек ; 1838 ; СПБ НГ ; Ag ; XF+ ; 19 ; Продано в зале ; 7200 
 62 ; 25 копеек-50 грошей ; 1848 ; MW Рус.-Пол. ; Ag ; VF-XF ; 15 ; Lisik ; 9894 
 63 ; 25 копеек ; 1895 ; АГ ; Ag ; XF+ ; 21 ; 550055 ; 6234 
 64 ; 25 копеек ; 1896 ; АГ ; Ag ; AU ; 31 ; volvoinblood ; 15000 
 65 ; 20 копеек ; 1820 ; СПБ ПД ; Ag ; XF- ; 21 ; Isay ; 4111 
 66 ; 20 копеек ; 1826 ; СПБ НГ ; Ag ; VF+ ; 18 ; Antys10 ; 1280 
 67 ; 20 копеек ; 1826 ; СПБ НГ ; Ag ; VF+ ; 30 ; 550055 ; 6268 
 68 ; 20 копеек ; 1847 ; СПБ ПА ; Ag ; VF-XF ; 36 ; Isay ; 4513 
 69 ; 20 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 26 ; Isay ; 1800 
 70 ; 20 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 38 ; Алексей Викторович ; 2154 
 71 ; 20 копеек ; 1887 ; СПБ АГ ; Ag ; XF/AU ; 25 ; est4o ; 5214 
 72 ; 15 копеек ; 1887 ; СПБ АГ ; Ag ; AU ; 37 ; Продано в зале ; 7600 
 73 ; Гривенник ; 1783 ; СПБ ; Ag ; XF+ ; 21 ; 0987654321 ; 4386 
 74 ; Гривенник ; 1784 ; СПБ ; Ag ; XF ; 15 ; Isay ; 4567 
 75 ; 10 копеек ; 1798 ; СМ МБ ; Ag ; VF+ ; 38 ; Isay ; 22999 
 76 ; 10 копеек (Петров-4р, Ильин-4р) ; 1825 ; СПБ НГ ; Ag ; VF+ ; 30 ; Isay ; 12467 
 77 ; 10 копеек ; 1826 ; СПБ НГ ; Ag ; VF-XF ; 19 ; Isay ; 4873 
 78 ; 10 копеек ; 1841 ; СПБ НГ ; Ag ; VF+ ; 39 ; Продано в зале ; 5600 
 79 ; 10 копеек ; 1856 ; СПБ НФ ; Ag ; AU ; 28 ; кве ; 4695 
 80 ; 10 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 36 ; verunk1 ; 3174 
 81 ; 10 копеек ; 1888 ; СПБ АГ ; Ag ; AU ; 58 ; Продано в зале ; 7000 
 82 ; 5 копеек ; 1815 ; СПБ МФ ; Ag ; AU/XF ; 13 ; verunk1 ; 1111 
 83 ; 5 копеек ; 1826 ; СПБ НГ ; Ag ; XF ; 18 ; 1999 ; 3449 
 84 ; 5 копеек ; 1870 ; СПБ HI ; Ag ; AU/XF ; 23 ; Продано в зале ; 2200 
 85 ; 50 пенни ; 1872 ; S Финляндия ; Ag ; XF+ ; 19 ; Продано в зале ; 3600 
 86 ; 25 пенни ; 1891 ; L Финляндия ; Ag ; AU/XF ; 19 ; нумизмат ; 2800 
 87 ; 25 пенни ; 1894 ; L Финляндия ; Ag ; XF+ ; 6 ; igors1969 ; 521 
 88 ; 25 пенни ; 1897 ; L Финляндия ; Ag ; XF+ ; 3 ; igors1969 ; 204 
 89 ; 10 копеек ; 1775 ; КМ "Сибирь" ; Cu ; XF- ; 56 ; vvt ; 15500 
 90 ; 10 копеек ; 1778 ; КМ "Сибирь" ; Cu ; VF+ ; 15 ; Sky2 ; 3672 
 91 ; 5 копеек ; 1784 ; КМ ; Cu ; XF- ; 19 ; Продано в зале ; 2200 
 92 ; 5 копеек ; 1785 ; КМ ; Cu ; XF- ; 16 ; Trien ; 2397 
 93 ; 5 копеек ; 1786 ; КМ ; Cu ; XF- ; 50 ; Galal ; 4194 
 94 ; 5 копеек ; 1788 ; КМ ; Cu ; VF+ ; 25 ; igors1969 ; 6103 
 95 ; 5 копеек ; 1791 ; КМ ; Cu ; XF- ; 22 ; Mmm ; 2397 
 96 ; 5 копеек ; 1792 ; АМ ; Cu ; XF ; 15 ; Prus. ; 1806 
 97 ; 5 копеек ; 1792 ; ЕМ ; Cu ; XF ; 25 ; Sky2 ; 569 
 98 ; 5 копеек (Петров-1р) ; 1809 ; ЕМ ; Cu ; XF- ; 15 ; igors1969 ; 9000 
 99 ; 5 копеек ; 1832 ; ЕМ ФХ ; Cu ; XF ; 51 ; OMT ; 7302 
 100 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; XF ; 23 ; Isay ; 5610 
 1 ; 5 рублей. М-6,56г ; 1836 ; СПБ ПД ; Au ; XF+ ; 51 ; Продано в зале ; 54000 
