 151 ; Денга (Ильин-5р) ; 1792 ;  ; Cu ; F-VF ; 8 ; leo 2 ; 5100 
 152 ; Денга (Ильин-5р) ; 1793 ;  ; Cu ; VF ; 15 ; vvt ; 7548 
 153 ; Деньга ; 1811 ; ИМ МК ; Cu ; XF- ; 6 ; Gillur ; 5200 
 154 ; Денежка ; 1852 ; ВМ ; Cu ; VF+ ; 17 ; ANK ; 4743 
 155 ; 1/2 копейки ; 1840 ; СПМ ; Cu ; XF ; 16 ; fgd ; 1700 
 156 ; 1/4 копейки ; 1895 ; СПБ ; Cu ; AU ; 32 ; sme15 ; 21420 
 157 ; 10 пенни ; 1907 ; Финляндия ; Cu ; XF+ ; 5 ; Продано в зале ; 1700 
 158 ; Жетон "В память заключения мира с Турцией 1739Г". D-23мм ;  ;  ; Ag ; XF ; 45 ; sd555 ; 26067 
 159 ; Жетон. За мир с Портою. D-23мм ;  ;  ; Ag ; XF ; 47 ; Продано в зале ; 17000 
 160 ; Жетон на коронацию Александра III. D-26мм ; 1883 ;  ; Ag ; AU/XF ; 33 ; Продано в зале ; 8500 
 161 ; Медаль. За Храбрость 4 степени № 44612. D-28мм ;  ;  ; Ag ; VF-XF ; 32 ; korovan67 ; 4692 
 162 ; Медаль "За благонравие и успехи в науках" для учениц женских гимназий Министерства народного просвещения. СПб мон двор. D-42,5мм ;  ;  ; Ag ; XF ; 28 ; seaman 1 ; 15073 
 163 ; Медаль "В память 300-летия Дома Романовых 1613-1913гг". Частная мастерская. Резчик Михаил Шеин. D-28мм ;  ;  ; Ag ; VF+ ; 31 ; 675МК ; 16000 
 164 ; Медаль "В память 300-летия Дома Романовых 1613-1913гг". Частная мастерская. Четырехстрочник, другое расположение царей. D-28мм ;  ;  ; Б/м ; XF+ ; 24 ; Shаlех ; 22000 
 165 ; Медаль "В память 300-летия Дома Романовых 1613-1913гг". Частная мастерская. Резчик Михаил Шеин. D-28мм ;  ;  ; Br,позолота ; XF+ ; 38 ; Shаlех ; 3975 
 166 ; Медаль "В память 300-летия Дома Романовых 1613-1913гг". Частная мастерская. Шеститрочник. Николай II с крестом. D-28мм ;  ;  ; Br,позолота ; XF- ; 56 ; legallegal ; 11000 
 167 ; Медаль "В память 300-летия Дома Романовых 1613-1913гг". Частная мастерская. Пятистрочник. Николай II с крестом. D-28мм ;  ;  ; Br ; XF ; 17 ; Продано в зале ; 7500 
 168 ; Медаль "В память 300-летия Дома Романовых 1613-1913гг". Частная мастерская. Шеститрочник. Николай II с крестом, другой тип. D-28мм ;  ;  ; Br ; XF- ; 13 ; Продано в зале ; 10500 
 169 ; Медаль "В память 300-летия Дома Романовых 1613-1913гг". Частная мастерская. Пятистрочник. Николай II с крестом. Другой портрет Николая II. D-28мм ;  ;  ; Br ; XF ; 52 ; Продано в зале ; 12000 
 170 ; Медаль "В память 300-летия Дома Романовых 1613-1913гг". СПб мон двор. D-28мм ;  ;  ; Br ; XF/AU ; 18 ; Продано в зале ; 4400 
 171 ; Знак Закон 1864-1914. Р-ры: 29 на 53мм ;  ;  ; Ag ; XF+ ; 49 ; 462 ; 22000 
 172 ; Знак в память столетия Императорской Медицинской Академии ;  ;  ; Ag ; XF ; 22 ; 43675 ; 20011 
 173 ; Знак об окончании немедицинских учебных заведений. Р-ры: 31 на 60мм ;  ;  ; Ag ; XF- ; 19 ; sotnik ; 8286 
 174 ; Знак. За Веру, Царя, Отечество. Александр III. Р-ры: 42х42мм ;  ;  ; Ж/м ; VF+ ; 33 ; korovan67 ; 3800 
 175 ; Жетон Волга 1843. 50 лет. Р-ры: 25 на 34мм ;  ;  ; Ag ; VF-XF ; 11 ; Продано в зале ; 7200 
 176 ; Знак 15 лет ударнику завершающего пятилетку №032387 ;  ;  ; Ж/м,сер,эмаль ; VF+ ; 33 ; Мурзик ; 6400 
 177 ; Знак "За власть советов 1917-1957" ; ММД ;  ; Ж/м,сер,эмаль ; XF- ; 21 ; Для души ; 1805 
