 101 ; 1/2 копейки ; 1916 ;  ; Cu ; AU ; 112 ; букан ; 21637 
 102 ; Полушка (Ильин-10р) ; 1701 ;  ; Cu ; F-VF ; 55 ; Продано в зале ; 29000 
 103 ; Полушка ; 1721 ;  ; Cu ; AU ; 54 ; Продано в зале ; 36000 
 104 ; Полушка ; 1853 ; ЕМ ; Cu ; XF- ; 61 ; букан ; 4080 
 105 ; 1/4 копейки ; 1892 ; СПБ ; Cu ; AU ; 26 ; букан ; 5031 
 106 ; 10 пенни ; 1915 ; Финляндия ; Cu ; AU ; 7 ; Продано в зале ; 600 
 107 ; 10 пенни ; 1917 ; Финляндия. Орёл ; Cu ; AU ; 25 ; Продано в зале ; 900 
 108 ; Медаль "За храбрость". Александр II. D-28мм ;  ;  ; Ag ; VF- ; 50 ; Продано в зале ; 16000 
 109 ; Медаль "За храбрость". Александр III. D-28мм ;  ;  ; Ag ; F ; 18 ; korovan67 ; 5667 
 110 ; Медаль "За усердие". Александр III. D-28мм ;  ;  ; Ag ; F-VF ; 40 ; Продано в зале ; 14000 
 111 ; Медаль В память царствования Александра III. D-28мм ;  ;  ; Ag ; AU ; 18 ; Продано в зале ; 9500 
 112 ; Медаль «За знание и труды от Управления Финляндского общества хозяев» Николай II. Оригинальная лента. На о/с C.J .  Гельсингфорсский монетном дворе. D-29мм ;  ;  ; Ag ; XF+ ; 44 ; Продано в зале ; 10000 
 113 ; Медаль. В память коронации Анны Иоанновны 1730. D-62мм ;  ;  ; Ж/м ; XF- ; 36 ; Продано в зале ; 26000 
 114 ; Медаль. Бой при Арсис Сюр Объ. D-65мм ;  ;  ; Ж/м ; XF+ ; 40 ; Продано в зале ; 20000 
 115 ; 10 марок. В капсуле PCGS ; 1905 ; L Финляндия ; Au ; MS 64 ; 64 ; dsidorov ; 195424 
 116 ; Рубль. В капсуле NGC ; 1883 ; ЛШ На коронацию Александра III ; Ag ; AU 58 ; 47 ; Продано в зале ; 38000 
 117 ; Полтина. В капсуле NGC ; 1913 ; (ЭБ) АГ ; Ag ; AU55 ; 44 ; Продано в зале ; 8500 
 118 ; 10 копеек. В капсуле NGC ; 1848 ; СПБ HI ; Ag ; MS 62 ; 20 ; Продано в зале ; 12000 
 119 ; 10 копеек. В капсуле NGC ; 1861 ; СПБ ; Ag ; MS 63 ; 23 ; Vasiliy_t ; 5295 
 120 ; 5 копеек. В капсуле NGC ; 1847 ; СПБ ПА ; Ag ; MS 63 ; 29 ; Vasiliy_t ; 8888 
 121 ; 5 копеек. В капсуле NGC ; 1849 ; СПБ ПА ; Ag ; Unc ; 26 ; Alex22D ; 5995 
 51 ; 10 копеек ; 1849 ; СПБ ПА ; Ag ; AU ; 31 ; каламбурчик ; 4156 
 52 ; 10 копеек ; 1852 ; СПБ ПА ; Ag ; AU/XF ; 28 ; Продано в зале ; 8500 
 53 ; 10 копеек ; 1858 ; СПБ ФБ ; Ag ; AU ; 21 ; Lisik ; 4800 
 54 ; 10 копеек ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 14 ; Продано в зале ; 4200 
 55 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 21 ; Sky2 ; 1146 
 56 ; 10 копеек ; 1890 ; СПБ АГ ; Ag ; AU ; 38 ; Продано в зале ; 10000 
 57 ; 5 копеек ; 1834 ; СПБ НГ ; Ag ; AU ; 29 ; ZOLTAN333 ; 7154 
 58 ; 5 копеек ; 1848 ; СПБ HI ; Ag ; AU ; 20 ; Alex22D ; 5669 
 59 ; 5 копеек ; 1853 ; СПБ HI ; Ag ; AU ; 23 ; Продано в зале ; 4200 
 60 ; 5 копеек ; 1855 ; СПБ HI ; Ag ; AU ; 21 ; Продано в зале ; 4800 
 61 ; 5 копеек ; 1857 ; СПБ ФБ ; Ag ; Unc/AU ; 30 ; Продано в зале ; 42000 
 62 ; 5 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 31 ; птичкин ; 5634 
 63 ; 5 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 13 ; счастливый бегемот ; 4204 
 64 ; 5 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 39 ; Продано в зале ; 6500 
 65 ; 5 копеек ; 1867 ; СПБ HI ; Ag ; AU/XF ; 78 ; Продано в зале ; 4200 
 66 ; 5 копеек ; 1869 ; СПБ HI ; Ag ; XF+ ; 19 ; Продано в зале ; 3400 
 67 ; 1/6 талера (Петров-5р) ; 1761 ; Для Пруссии ; Ag ; XF ; 48 ; Продано в зале ; 60000 
 68 ; 1 марка ; 1907 ; L Финляндия ; Ag ; AU ; 24 ; igors1969 ; 4067 
 69 ; 10 копеек ; 1832 ; ЕМ ФХ ; Cu ; XF ; 43 ; Продано в зале ; 21000 
 70 ; 5 копеек ; 1778 ; КМ "Сибирь" ; Cu ; XF ; 29 ; Продано в зале ; 21000 
 71 ; 5 копеек (Петров-10р, Ильин-15р) ; 1794 ; ЕМ Павл.перечекан ; Cu ; VF- ; 21 ; Продано в зале ; 55000 
 72 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF ; 66 ; Продано в зале ; 9000 
 73 ; 5 копеек ; 1804 ; ЕМ ; Cu ; XF ; 37 ; Продано в зале ; 4400 
 74 ; 5 копеек ; 1832 ; ЕМ ФХ ; Cu ; XF+ ; 27 ; Продано в зале ; 9000 
 75 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; XF- ; 21 ; Продано в зале ; 2600 
 76 ; 5 копеек (Ильин-5р) ; 1837 ; ЕМ ФХ ; Cu ; VF ; 11 ; Продано в зале ; 3800 
 77 ; 5 копеек (Петров-2р, Ильин-1р) ; 1839 ; СМ ; Cu ; VF ; 34 ; Isay ; 4998 
 78 ; 5 копеек ; 1868 ; СПБ ; Cu ; AU/XF ; 55 ; Продано в зале ; 26000 
 79 ; 5 копеек ; 1879 ; СПБ ; Cu ; AU ; 53 ; Продано в зале ; 9000 
 80 ; 3 копейки ; 1864 ; ЕМ ; Cu ; VF-XF ; 28 ; ZOLTAN333 ; 4080 
 81 ; 3 копейки ; 1868 ; СПБ ; Cu ; VF+ ; 37 ; Продано в зале ; 4000 
 82 ; 2 копейки (Ильин-3р). Перечекан с 2 пара 3 копейки ; 1795 ; ММ Павл.перечекан ; Cu ; F+ ; 25 ; SSK ; 13267 
 83 ; 2 копейки (Петров-1р) ; 1797 ;  ; Cu ; VF-XF ; 42 ; букан ; 14907 
 84 ; 2 копейки ; 1798 ; КМ ; Cu ; VF-XF ; 20 ; букан ; 2070 
 85 ; 2 копейки ; 1801 ; КМ ; Cu ; VF-XF ; 17 ; букан ; 2029 
 86 ; 2 копейки ; 1803 ; ЕМ ; Cu ; VF- ; 35 ; арбат ; 10000 
 87 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; VF-XF ; 3 ; Продано в зале ; 500 
 88 ; 2 копейки ; 1912 ; СПБ ; Cu ; AU ; 16 ; Продано в зале ; 1300 
 89 ; Копейка (Петров-8р, Ильин-3р) ; 1714 ; М  Д ; Cu ; F-VF ; 11 ; Брат ; 9066 
