 204 ; Копейка ; 1828 ; ЕМ ИК ; Cu ; XF+ ; 16 ; Продано в зале ; 6200 
 205 ; Копейка ; 1830 ; ЕМ ИК ; Cu ; VF ; 9 ; Продано в зале ; 550 
 206 ; Копейка ; 1830 ; КМ АМ ; Cu ; VF ; 12 ; Продано в зале ; 220 
 207 ; Копейка ; 1861 ; ЕМ ; Cu ; VF-XF ; 11 ; DAndy-2003 ; 2100 
 208 ; Копейка ; 1903 ; СПБ ; Cu ; AU ; 11 ; Эфес ; 1200 
 209 ; Копейка ; 1904 ; СПБ ; Cu ; AU ; 62 ; tisa66 ; 7854 
 210 ; Денга. В капсуле NGC ; 1731 ;  ; Cu ; VF 20 ; 36 ; 222211 ; 9981 
 211 ; Денга ; 1774 ; КМ "Сибирь" ; Cu ; VF ; 20 ; нумизмат ; 2000 
 212 ; Денга ; 1777 ; КМ "Сибирь" ; Cu ; VF ; 19 ; Продано в зале ; 1600 
 213 ; Денга ; 1794 ; ЕМ ; Cu ; VF ; 16 ; нумизмат ; 849 
 214 ; Деньга ; 1798 ; ЕМ ; Cu ; VF- ; 35 ; ct200h ; 2550 
 215 ; Деньга (Петров - 10 руб, Ильин - 10 руб) ; 1811 ; КМ ПБ ; Cu ; VF- ; 92 ; Продано в зале ; 16000 
 216 ; Деньга (Петров - 5 руб, Ильин - 3 руб) ; 1812 ; КМ АМ ; Cu ; F-VF ; 20 ; Продано в зале ; 1600 
 217 ; Деньга ; 1819 ; ЕМ НМ ; Cu ; VF+ ; 9 ; Продано в зале ; 450 
 218 ; Деньга ; 1827 ; ЕМ ИК ; Cu ; VF+ ; 16 ; Продано в зале ; 460 
 219 ; Деньга ; 1828 ; ЕМ ИК ; Cu ; VF+ ; 7 ; Продано в зале ; 260 
 220 ; Денежка ; 1859 ; ЕМ ; Cu ; VF-XF ; 43 ; evgenijzhuk ; 912 
 221 ; Денежка ; 1864 ; ЕМ ; Cu ; VF+ ; 11 ; evgenijzhuk ; 1300 
 222 ; 1/2 копейки ; 1869 ; СПБ ; Cu ; VF-XF ; 11 ; Леня ; 1587 
 223 ; 1/2 копейки ; 1876 ; СПБ ; Cu ; XF- ; 15 ; Маша-растеряша ; 2500 
 224 ; 1/2 копейки ; 1883 ; СПБ ; Cu ; AU ; 29 ; ЛАВ-13 ; 3113 
 225 ; 1/2 копейки ; 1900 ; СПБ ; Cu ; AU ; 40 ; 222211 ; 3175 
 226 ; Полушка. Цифра "7" в дате развёрнута ; 1720 ;  ; Cu ; VF ; 17 ; masterovoi ; 4208 
 227 ; Полушка ; 1768 ; ЕМ ; Cu ; VF- ; 11 ; Sky2 ; 950 
 228 ; Полушка ; 1770 ; ЕМ ; Cu ; VF+ ; 26 ; Sky2 ; 1184 
 229 ; Полушка (Ильин - 5 руб) ; 1788 ; КМ ; Cu ; F-VF ; 16 ; nyty ; 2000 
 230 ; Полушка ; 1797 ; ЕМ ; Cu ; VF- ; 21 ; Продано в зале ; 1150 
 231 ; 1/4 копейки ; 1840 ; ЕМ ; Cu ; VF+ ; 21 ; Продано в зале ; 430 
 232 ; 1/4 копейки ; 1841 ; ЕМ ; Cu ; VF+ ; 12 ; нумизмат ; 800 
 233 ; 1/4 копейки ; 1843 ; ЕМ ; Cu ; VF-XF ; 27 ; Продано в зале ; 950 
 234 ; Полушка ; 1856 ; ЕМ ; Cu ; XF+ ; 22 ; 222211 ; 5711 
 235 ; Полушка ; 1857 ; ЕМ ; Cu ; XF+ ; 24 ; 222211 ; 4699 
 236 ; Полушка ; 1859 ; ЕМ ; Cu ; VF-XF ; 19 ; ЛАВ-13 ; 1032 
 237 ; 1/4 копейки ; 1869 ; ЕМ ; Cu ; XF- ; 22 ; Продано в зале ; 1800 
 238 ; 1/4 копейки ; 1871 ; ЕМ ; Cu ; XF ; 55 ; ct200h ; 11980 
 239 ; 1/4 копейки ; 1875 ; ЕМ ; Cu ; VF-XF ; 29 ; evgenijzhuk ; 6925 
 240 ; 1/4 копейки ; 1885 ; СПБ ; Cu ; XF ; 17 ; ЛАВ-13 ; 2907 
 241 ; 1/4 копейки ; 1886 ; СПБ ; Cu ; XF+ ; 29 ; коррозия ; 3627 
 242 ; 1/4 копейки ; 1892 ; СПБ ; Cu ; XF+ ; 32 ; коррозия ; 2714 
 243 ; 1/4 копейки ; 1898 ; СПБ ; Cu ; AU ; 24 ; renato ; 2008 
 244 ; 1/4 копейки ; 1900 ; СПБ ; Cu ; AU ; 21 ; alien34 ; 2042 
 245 ; 1 пенни. В капсуле PCGS ; 1870 ; Финляндия ; Cu ; AU ; 43 ; Продано в зале ; 9500 
 246 ; Георгиевский крест 4 степени ;  ;  ; Ag ; VF-XF ; 30 ; Продано в зале ; 14000 
 247 ; Жетон Жетон Попечительства Императорского Человеколюбивого общества для сбора пожертвований на воспитание и устройство бедных детей в мастерство. ;  ;  ; Ag ; VF+ ; 26 ; Недорого ; 5631 
 248 ; Медаль. За сельскохозяйственные произведения. От министерства земледелия и государственных имуществ. D - 65mm ;  ;  ; Br ; XF+ ; 91 ; Продано в зале ; 6000 
 154 ; 3 копейки ; 1844 ; ЕМ ; Cu ; VF+ ; 21 ; лом45 ; 1047 
 155 ; 3 копейки ; 1867 ; ЕМ ; Cu ; F+ ; 19 ; Продано в зале ; 2000 
 156 ; 3 копейки ; 1868 ; ЕМ ; Cu ; VF-XF ; 36 ; Продано в зале ; 6600 
 157 ; 3 копейки ; 1869 ; ЕМ ; Cu ; VF-XF ; 34 ; 765312 ; 5102 
 158 ; 3 копейки ; 1878 ; СПБ ; Cu ; XF- ; 9 ; 765312 ; 2392 
 159 ; 3 копейки ; 1882 ; СПБ ; Cu ; VF-XF ; 27 ; Банк ; 2000 
 160 ; 3 копейки ; 1904 ; СПБ ; Cu ; AU ; 61 ; Продано в зале ; 13000 
 161 ; 2 копейки ; 1757 ; Гурт надп. Екатер. ; Cu ; F-VF ; 20 ; Продано в зале ; 5500 
 162 ; 2 копейки ; 1757 ; Гурт надп. Екатер. ; Cu ; F-VF ; 7 ; 1178 ; 126 
 163 ; 2 копейки ; 1758 ; Гурт надп. Екатер. ; Cu ; VF ; 34 ; nyty ; 3631 
 164 ; 2 копейки ; 1759 ;  ; Cu ; VF ; 34 ; nyty ; 2553 
 165 ; 2 копейки ; 1759 ;  ; Cu ; F-VF ; 10 ; Всадник ; 204 
 166 ; 2 копейки ; 1761 ;  ; Cu ; VF ; 25 ; Продано в зале ; 2200 
 167 ; 2 копейки ; 1762 ; Номинал под гербом ; Cu ; VF+ ; 73 ; Sky2 ; 3105 
 168 ; 2 копейки ; 1762 ;  ; Cu ; F+ ; 23 ; ГдРъ ; 12342 
 169 ; 2 копейки ; 1763 ; ММ ; Cu ; VF- ; 67 ; Продано в зале ; 1200 
 170 ; 2 копейки ; 1763 ; СПМ ; Cu ; VF ; 11 ; Продано в зале ; 600 
 171 ; 2 копейки ; 1763 ; ЕМ ; Cu ; VF ; 29 ; milk ; 1530 
 172 ; 2 копейки ; 1764 ; ММ ; Cu ; VF- ; 15 ; milk ; 700 
 173 ; 2 копейки ; 1764 ; ЕМ ; Cu ; F-VF ; 21 ; nyty ; 1581 
 174 ; 2 копейки ; 1765 ; ММ ; Cu ; VF- ; 43 ; Sky2 ; 2028 
 175 ; 2 копейки ; 1766 ; ЕМ ; Cu ; VF ; 28 ; нумизмат ; 4000 
 176 ; 2 копейки ; 1769 ; КМ "Сибирь" ; Cu ; VF ; 24 ; Продано в зале ; 1900 
