 51 ; 5 копеек. Интересный брак чеканки первой буквы (С.П.Б) ; 1822 ; СПБ ПД ; Ag ; XF- ; 36 ; Продано в зале ; 2000 
 52 ; 5 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 32 ; Продано в зале ; 8200 
 53 ; 5 копеек ; 1880 ; СПБ НФ ; Ag ; AU/XF ; 25 ; Alex22D ; 6004 
 54 ; 5 копеек ; 1881 ; СПБ НФ ; Ag ; AU ; 59 ; coinsru ; 12406 
 55 ; 10 копеек ; 1762 ;  ; Cu ; F-VF ; 69 ; Продано в зале ; 30000 
 56 ; 10 копеек ; 1781 ; КМ "Сибирь" ; Cu ; VF-XF ; 33 ; Продано в зале ; 9500 
 57 ; 5 копеек ; 1786 ; КМ ; Cu ; VF-XF ; 23 ; il468 ; 2700 
 58 ; 5 копеек ; 1787 ; КМ ; Cu ; VF-XF ; 32 ; il468 ; 2558 
 59 ; 5 копеек (Петров - 9 руб., Ильин - 10 руб.) ; 1787 ; ТМ ; Cu ; VF ; 72 ; Продано в зале ; 36000 
 60 ; 5 копеек (Петров - 15 руб, Ильин - 25 руб) ; 1789 ; ММ ; Cu ; VF- ; 44 ; Брат ; 65000 
 61 ; 5 копеек (Петров - 8 руб., Ильин - 5 руб.) ; 1791 ; ЕМ Павл.перечекан ; Cu ; F-VF ; 50 ; Diatez ; 14976 
 62 ; 5 копеек (Ильин - 8 руб) ; 1791 ; Е:М: Павл.перечекан ; Cu ; VF ; 37 ; Продано в зале ; 32000 
 63 ; 5 копеек ; 1804 ; ЕМ ; Cu ; VF-XF ; 30 ; Продано в зале ; 4500 
 64 ; 5 копеек ; 1806 ; ЕМ ; Cu ; XF ; 27 ; Продано в зале ; 4700 
 65 ; 3 копейки ; 1859 ; ЕМ ; Cu ; VF-XF ; 19 ; krugerrand ; 6803 
 66 ; 2 копейки. Брак чеканки ; 1757 ; Номинал под гербом ; Cu ; VF ; 43 ; Брат Черпоя ; 9303 
 67 ; 2 копейки ; 1776 ; КМ "Сибирь" ; Cu ; VF+ ; 33 ; fgd ; 3897 
 68 ; 2 копейки. М - 32,36г ; 1839 ; СМ ; Cu ; F-VF ; 29 ; Продано в зале ; 10500 
 69 ; 2 копейки ; 1863 ; ЕМ ; Cu ; XF- ; 23 ; Продано в зале ; 3400 
 70 ; Копейка ; 1707 ; МД ; Cu ; VF ; 42 ; Sky2 ; 1558 
 71 ; Копейка ; 1789 ; ЕМ ; Cu ; VF ; 38 ; ZOLTAN333 ; 1022 
 72 ; Денга ; 1731 ;  ; Cu ; VF+ ; 17 ; Diatez ; 1813 
 73 ; Деньга ; 1810 ; ИМ МК ; Cu ; VF ; 46 ; 333985 ; 7010 
