 101 ; Копейка ; 1872 ; ЕМ ; Cu ; XF ; 18 ; Продано в зале ; 1600 
 102 ; Копейка ; 1875 ; ЕМ ; Cu ; XF ; 15 ; Худой Бердыев ; 2392 
 103 ; Денга. Брак ; 1731 ;  ; Cu ; VF ; 28 ; служба тяги ; 4716 
 104 ; Деньга (Петров-5р, Ильин-3р) ; 1812 ; КМ АМ ; Cu ; F+ ; 19 ; Продано в зале ; 1300 
 105 ; Деньга (Петров-4р, Ильин-3р) ; 1814 ; КМ АМ ; Cu ; F ; 11 ; побулица ; 1020 
 106 ; Деньга. В капсуле ННР ; 1819 ; ЕМ НМ ; Cu ;  ; 21 ; sax ; 3800 
 107 ; 1/2 копейки ; 1872 ; ЕМ ; Cu ; XF ; 33 ; Продано в зале ; 13000 
 108 ; 1/2 копейки ; 1873 ; ЕМ ; Cu ; XF ; 63 ; Продано в зале ; 5200 
 109 ; 1/2 копейки ; 1874 ; ЕМ ; Cu ; VF+ ; 88 ; MUPS ; 6020 
 110 ; 1/2 копейки ; 1885 ; СПБ ; Cu ; XF ; 21 ; Продано в зале ; 2300 
 111 ; 1/2 копейки ; 1889 ; СПБ ; Cu ; XF ; 25 ; JohnSilver ; 1700 
 112 ; 1/2 копейки ; 1894 ; СПБ ; Cu ; XF ; 24 ; CapsulЪ ; 3200 
 113 ; 1/2 копейки ; 1916 ;  ; Cu ; XF ; 25 ; CapsulЪ ; 12735 
 114 ; Полушка (Ильин-2р) ; 1706 ;  ; Cu ; VF ; 17 ; Olimpia ; 3850 
 115 ; 1/4 копейки ; 1840 ; СМ ; Cu ; VF-XF ; 49 ; Sky2 ; 2111 
 116 ; 1/4 копейки ; 1845 ; СМ ; Cu ; VF-XF ; 45 ; Sky2 ; 2112 
 117 ; 1/4 копейки ; 1872 ; ЕМ ; Cu ; XF ; 103 ; Абрекосов ; 10500 
 118 ; 1/4 копейки (Ильин-1р) ; 1874 ; ЕМ ; Cu ; VF ; 53 ; stok ; 3400 
 119 ; 1/4 копейки ; 1877 ; СПБ ; Cu ; XF ; 35 ; Файвель ; 3654 
 120 ; 1/4 копейки ; 1881 ; СПБ ; Cu ; XF ; 88 ; vic-dmitri ; 14000 
 121 ; 1/4 копейки ; 1886 ; СПБ ; Cu ; XF ; 39 ; Asandr ; 4500 
 122 ; 1/4 копейки ; 1899 ; СПБ ; Cu ; AU ; 19 ; electra ; 1900 
 123 ; 1/4 копейки ; 1900 ; СПБ ; Cu ; AU ; 19 ; vic-dmitri ; 1900 
 124 ; 1/4 копейки ; 1909 ; СПБ ; Cu ; AU ; 12 ; ZOLTAN 333 ; 2088 
 125 ; 1/4 копейки ; 1910 ; СПБ ; Cu ; XF ; 37 ; vic-dmitri ; 4200 
 126 ; 2 копейки ; 1991 ; В белом металле ;  ; AU ; 28 ; vic-dmitri ; 15000 
 127 ; Медаль "В память чудесного спасения царского семейства 17 октября 1888г" D-88мм ;  ;  ; Br ; VF-XF ; 46 ; vic-dmitri ; 17000 
 128 ; Медаль "200-летие Сената 1711-1911гг" D-82мм ;  ;  ; Br ; VF+ ; 29 ; vic-dmitri ; 7500 
 129 ; Медаль "100-летие Александровского лицея 1811-1911гг" D-76мм ;  ;  ; Br ; VF-XF ; 23 ; vic-dmitri ; 8000 
 130 ; Медаль графу Павлу Юрьевичу Сюзору председателю Императорского общества архитекторов-художников". Члены общ Петроград 1914г D-60мм ;  ;  ; Br ; VF- ; 9 ; gelo ; 3122 
 131 ; Медаль Памяти графа Михаила Михаиловичка Сперанского. Медальер - А. Семенов. D-62мм ;  ;  ; Ж/м ; VF-XF ; 19 ; Продано в зале ; 7500 
 132 ; Медаль Наполеон Бонапарт. "Общественная организация. Первая французская империя". Франция. D- 39мм ;  ;  ; Br ; XF+ ; 16 ; sm-dc ; 4408 
 133 ; Медаль Преуспевающим. D-42мм ;  ;  ; Ag ; VF-XF ; 29 ; vic-dmitri ; 13000 
 134 ; Лот снят ;  ;  ;  ;  ; 0 ; Не продан ; 0 
 135 ; Знак. Особый Императорский Приз. 1913. Московский полк. Фирма "П.Буре", клеймо AJ". женская головка в кокошнике, вправо, 84 ;  ;  ; Ag ; VF ; 21 ; Sky2 ; 11000 
 51 ; 10 копеек ; 1846 ; СПБ ПА ; Ag ; XF ; 11 ; Грю ; 2754 
 52 ; 10 копеек ; 1847 ; СПБ ПА ; Ag ; XF ; 37 ; kolosok ; 2800 
 53 ; 10 копеек ; 1848 ; СПБ HI ; Ag ; AU ; 17 ; Asandr ; 6000 
 54 ; 10 копеек ; 1856 ; СПБ НФ ; Ag ; XF+ ; 19 ; max96 ; 4596 
 55 ; 10 копеек ; 1857 ; СПБ ФБ ; Ag ; XF+ ; 21 ; sax ; 3800 
 56 ; 10 копеек ; 1858 ; СПБ ФБ ; Ag ; XF+ ; 18 ; electra ; 2200 
 57 ; 10 копеек ; 1859 ; СПБ ФБ ; Ag ; XF+ ; 18 ; sax ; 5250 
 58 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 17 ; grut ; 3000 
 59 ; 10 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 19 ; tisa66 ; 2348 
 60 ; 10 копеек ; 1872 ; СПБ HI ; Ag ; XF+ ; 59 ; max96 ; 3060 
 61 ; 10 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 52 ; sergius ; 4538 
 62 ; 10 копеек ; 1880 ; СПБ НФ ; Ag ; AU ; 12 ; Продано в зале ; 1700 
 63 ; 10 копеек ; 1882 ; СПБ НФ ; Ag ; XF+ ; 19 ; max96 ; 3518 
 64 ; 10 копеек ; 1889 ; СПБ АГ ; Ag ; AU ; 20 ; Reichard ; 3412 
 65 ; 10 копеек ; 1893 ; СПБ АГ ; Ag ; AU ; 34 ; Продано в зале ; 4500 
 66 ; 5 копеек В капсуле ННР ; 1758 ; СПБ ; Ag ;  ; 25 ; Hermes ; 3100 
 67 ; 5 копеек ; 1846 ; СПБ ПА ; Ag ; XF+ ; 15 ; CapsulЪ ; 2244 
 68 ; 5 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 35 ; CapsulЪ ; 3526 
 69 ; 5 копеек ; 1870 ; СПБ HI ; Ag ; XF+ ; 15 ; CapsulЪ ; 1658 
 70 ; 5 копеек. В капсуле PCGC ; 1884 ; СПБ АГ ; Ag ;  ; 19 ; Грю ; 3866 
 71 ; 5 копеек ; 1885 ; СПБ АГ ; Ag ; XF+/AU ; 11 ; Грю ; 4488 
 72 ; 5 копеек ; 1913 ; СПБ ВС ; Ag ; XF+ ; 23 ; stok ; 1000 
 73 ; 6 грошей ; 1759 ; Для Пруссии ; Ag ; VF ; 39 ; scaevola ; 14943 
 74 ; 10 копеек ; 1775 ; КМ "Сибирь" ; Cu ; XF ; 27 ; Продано в зале ; 9000 
 75 ; 5 копеек. Подделка для обращения ; 1727 ; МД ; Cu ; VG ; 17 ; Продано в зале ; 1800 
 76 ; 5 копеек ; 1727 ; НД Дата снизу вверх ; Cu ; VF- ; 19 ; Продано в зале ; 2200 
 77 ; 5 копеек ; 1763 ; СПМ ; Cu ; VF+ ; 52 ; трололо ; 5500 
 78 ; 5 копеек (Петров - 1р.) ; 1767 ; КМ "Сибирь" ; Cu ; VF+ ; 19 ; icebreaker ; 7578 
 79 ; 5 копеек ; 1781 ; ЕМ ; Cu ; XF- ; 27 ; Продано в зале ; 1300 
 80 ; 5 копеек (Петров-9р, Ильин-10р) ; 1787 ; ТМ ; Cu ; F-VF ; 31 ; CapsulЪ ; 18957 
 81 ; 5 копеек ; 1788 ; ММ ; Cu ; VF+ ; 64 ; Продано в зале ; 6000 
 82 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF+ ; 19 ; Продано в зале ; 3400 
 83 ; 5 копеек. В капсуле NGC ; 1833 ; ЕМ ФХ ; Cu ;  ; 107 ; sax ; 19000 
 84 ; 5 копеек В капсуле ННР ; 1864 ; ЕМ ; Cu ;  ; 11 ; Asandr ; 5792 
 85 ; 2 копейки (Петров-35р, Ильин-8р) ; 1766 ; "Сибирь" ; Cu ; F- ; 47 ; окпва ; 15461 
 86 ; 2 копейки ; 1765 ; СПМ ; Cu ; VF ; 59 ; Sky2 ; 3501 
 87 ; 2 копейки ; 1765 ; СПМ ; Cu ; VF ; 69 ; трололо ; 5250 
 88 ; 2 копейки ; 1793 ; Е- М Павл.перечекан ; Cu ; VF+ ; 26 ; nik41 ; 5800 
 89 ; 2 копейки ; 1801 ; ЕМ ; Cu ; XF ; 35 ; Продано в зале ; 1600 
 90 ; 2 копейки ; 1811 ; ЕМ НМ ; Cu ; XF- ; 24 ; Абрекосов ; 1800 
 91 ; 2 копейки ; 1896 ; СПБ ; Cu ; XF+ ; 19 ; Файвель ; 7100 
 92 ; Копейка ; 1708 ; МД ; Cu ; VF+ ; 17 ; Продано в зале ; 2600 
 93 ; Копейка ; 1710 ; МД ; Cu ; VF ; 17 ; max96 ; 3000 
 94 ; Копейка ; 1712 ; МД ; Cu ; VF ; 24 ; Sky2 ; 2600 
 95 ; Копейка В капсуле ННР ; 1713 ; НД ; Cu ;  ; 35 ; Продано в зале ; 5000 
 96 ; Копейка ; 1715 ; НД ; Cu ; VF- ; 19 ; electra ; 1900 
 97 ; Копейка. В капсуле ННР ; 1716 ; МД ; Cu ;  ; 23 ; Продано в зале ; 3000 
 98 ; Копейка ; 1855 ; ЕМ ; Cu ; VF-XF ; 23 ; Продано в зале ; 4000 
 99 ; Копейка В капсуле ННР ; 1858 ; ЕМ ; Cu ;  ; 19 ; Продано в зале ; 1400 
 100 ; Копейка ; 1861 ; ЕМ ; Cu ; XF- ; 32 ; Продано в зале ; 2400 
 1 ; 15 рублей. М-12,9г ; 1897 ; (АГ) За обрез шеи заходит "СС" ; Au ; XF ; 13 ; Misha1983 ; 40800 
 2 ; 10 рублей. М-8,6г ; 1899 ; (АГ) АГ ; Au ; XF ; 14 ; stok ; 22000 
 3 ; 5 рублей. М-6,44г ; 1834 ; СПБ ПД ; Au ; XF ; 47 ; Продано в зале ; 48000 
 4 ; 5 рублей. М-4,29г ; 1897 ; (АГ) ; Au ; XF ; 11 ; Михаил2 ; 11577 
 5 ; 5 рублей. М-4,3г ; 1899 ; (ЭБ) ; Au ; AU ; 13 ; 3425 ; 11505 
 6 ; 5 рублей. М-4,3г ; 1903 ; (АР) ; Au ; AU ; 24 ; Продано в зале ; 13500 
 7 ; 5 рублей. М-4,3г ; 1904 ; (АР) ; Au ; AU ; 21 ; а1945 ; 14000 
 8 ; 25 злотых (Петров-12р). М-4,85г ; 1818 ; IB Польша ; Au ; F-VF ; 47 ; Продано в зале ; 46000 
 9 ; Рубль ; 1728 ;  ; Ag ; XF ; 23 ; ValeriyL ; 51806 
 10 ; Рубль ; 1728 ;  ; Ag ; VF-XF ; 60 ; +15% ; 34000 
 11 ; Рубль ; 1735 ;  ; Ag ; VF-XF ; 35 ; eastern wind ; 15782 
 12 ; Рубль ; 1740 ;  ; Ag ; XF+ ; 48 ; gelo ; 29070 
 13 ; Рубль ; 1742 ; СПБ ; Ag ; VF-XF ; 32 ; ValeriyL ; 17147 
 14 ; Рубль ; 1752 ; ММД Е ; Ag ; VF+ ; 40 ; gelo ; 19890 
 15 ; Рубль ; 1762 ; СПБ НК TI ; Ag ; VF+ ; 32 ; Продано в зале ; 12000 
 16 ; Рубль ; 1764 ; СПБ СА TI ; Ag ; XF- ; 41 ; gelo ; 15696 
 17 ; Рубль ; 1764 ; СПБ СА TI ; Ag ; XF+ ; 38 ; Продано в зале ; 30000 
 18 ; Рубль ; 1767 ; СПБ АШ TI ; Ag ; VF/XF ; 37 ; gelo ; 11000 
 19 ; Рубль ; 1777 ; СПБ ФЛ ; Ag ; XF ; 19 ; sdv75-2010 ; 17000 
