 101 ; Рубль ; 1750 ; ММД ; Ag ; VF-XF ; 50 ; бриз33 ; 26010 
 102 ; Рубль ; 1823 ; СПБ ПД ; Ag ; XF+/AU ; 32 ; 462 ; 15000 
 103 ; Рубль ; 1837 ; СПБ НГ ; Ag ; XF ; 38 ; electra ; 11000 
 104 ; Рубль ; 1878 ; СПБ НФ ; Ag ; AU ; 48 ; 462 ; 16000 
 105 ; Копейка. Капсула NGC ; 1832 ; ЕМ ФХ ; Cu ;  ; 61 ; dsidorov ; 80000 
 106 ; Рубль ; 1854 ; СПБ HI ; Ag ; XF+ ; 54 ; Продано в зале ; 21000 
 107 ; Рубль. Экспертное заключение Организации поддержки и развития ГИМ ; 1859 ; На открытие памятника Николаю I ; Ag ; AU ; 102 ; Продано в зале ; 140000 
 51 ; 10 копеек. В капсуле NGC ; 1879 ; СПБ НФ ; Ag ;  ; 36 ; dsidorov ; 12000 
 52 ; 10 копеек. В капсуле NGC ; 1886 ; СПБ АГ ; Ag ;  ; 32 ; Braslav ; 18000 
 53 ; 10 копеек. В капсуле NGC ; 1909 ; СПБ ЭБ ; Ag ;  ; 15 ; dsidorov ; 2200 
 54 ; 10 копеек. В капсуле NGC ; 1913 ; СПБ ВС ; Ag ;  ; 17 ; ZOLTAN 333 ; 2800 
 55 ; 10 копеек. В капсуле NGC ; 1914 ; СПБ ВС ; Ag ;  ; 15 ; kai77 ; 2222 
 56 ; 10 копеек. В капсуле NGC ; 1915 ; ВС ; Ag ;  ; 21 ; kai77 ; 2200 
 57 ; 5 копеек. В капсуле PCGS ; 1757 ; СПБ ; Ag ;  ; 38 ; primetime ; 4800 
 58 ; 5 копеек ; 1761 ; СПБ ; Ag ; XF ; 48 ; Alex22D ; 9294 
 59 ; 5 копеек ; 1823 ; СПБ ПД ; Ag ; AU ; 50 ; primetime ; 10500 
 60 ; 5 копеек ; 1824 ; СПБ ПД ; Ag ; AU ; 40 ; tisa66 ; 8000 
 61 ; 5 копеек. В капсуле NGC ; 1849 ; СПБ ПА ; Ag ;  ; 20 ; I3 ; 5750 
 62 ; 5 копеек. В капсуле NGC ; 1856 ; СПБ ФБ ; Ag ;  ; 23 ; земляк ; 5750 
 63 ; 5 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 26 ; Картман ; 5750 
 64 ; 5 копеек ; 1866 ; СПБ НФ ; Ag ; AU ; 56 ; Картман ; 19000 
 65 ; 5 копеек ; 1869 ; СПБ HI ; Ag ; AU ; 19 ; Alex22D ; 6234 
 66 ; 5 копеек. В капсуле NGC ; 1874 ; СПБ HI ; Ag ;  ; 48 ; dsidorov ; 15000 
 67 ; 5 копеек. В капсуле NGC ; 1879 ; СПБ НФ ; Ag ;  ; 23 ; kai77 ; 7000 
 68 ; 5 копеек. В капсуле NGC ; 1885 ; СПБ АГ ; Ag ;  ; 25 ; dsidorov ; 4400 
 69 ; 5 копеек ; 1771 ; КМ "Сибирь" ; Cu ; VF+ ; 15 ; Си+ ; 5000 
 70 ; 5 копеек ; 1774 ; КМ "Сибирь" ; Cu ; VF-XF ; 16 ; Продано в зале ; 6500 
 71 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF ; 21 ; Си+ ; 3570 
 72 ; 5 копеек ; 1804 ; ЕМ ; Cu ; XF ; 31 ; Си+ ; 3060 
 73 ; 5 копеек (Ильин-1р) ; 1832 ; СМ ; Cu ; XF ; 26 ; ZOLTAN 333 ; 3600 
 74 ; 5 копеек ; 1833 ; СМ ; Cu ; XF ; 44 ; You ; 5667 
 75 ; 5 копеек ; 1833 ; СМ ; Cu ; VF-XF ; 38 ; SSK ; 4600 
