 101 ; 1/2 копейки ; 1870 ; ЕМ ; Cu ; VF-XF ; 54 ; Продано в зале ; 6250 
 102 ; 1/2 копейки ; 1888 ; СПБ ; Cu ; XF+ ; 59 ; Shootnic ; 10000 
 103 ; Полушка (Петров-2,5р, Ильин-3р) ; 1783 ; КМ ; Cu ; F ; 39 ; Продано в зале ; 2500 
 104 ; 1/4 копейки ; 1877 ; СПБ ; Cu ; VF-XF ; 37 ; Shootnic ; 3000 
 105 ; 1/4 копейки ; 1899 ; СПБ ; Cu ; AU ; 17 ; Продано в зале ; 3750 
 106 ; Бисти. Капсула ; 1805 ; Грузия ; Cu ;  ; 64 ; HOMODRILL ; 19000 
 107 ; 1 пенни. Капсула ; 1903 ; Финляндия ; Cu ;  ; 36 ; Shootnic ; 6250 
 108 ; Рубль. Капсула ; 1924 ; (ПЛ) ; Ag ;  ; 138 ; Лодя ; 122400 
 109 ; Жетон Генерал-фельдмаршал М.Б. Барклай де Толли. Реверс- герб на фоне ордена Св. Андрея Первозванного. Медальер LOOS. М-13,29г. D-29мм ;  ;  ; Au ; XF+ ; 95 ; himak ; 135000 
 51 ; 5 копеек ; 1845 ; СПБ КБ ; Ag ; XF+ ; 13 ; Alex22D ; 3625 
 52 ; 5 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 20 ; niki ; 10000 
 53 ; 5 копеек (Петров-2,5р) ; 1877 ; СПБ НФ ; Ag ; XF+ ; 57 ; CapsulЪ ; 60000 
 54 ; 5 копеек ; 1884 ; СПБ АГ ; Ag ; AU ; 51 ; Продано в зале ; 4200 
 55 ; 5 копеек ; 1887 ; СПБ АГ ; Ag ; AU ; 21 ; Продано в зале ; 5000 
 56 ; 5 копеек ; 1890 ; СПБ АГ ; Ag ; AU ; 23 ; Kudima ; 3800 
 57 ; 5 копеек ; 1892 ; СПБ АГ ; Ag ; AU ; 9 ; Kudima ; 3379 
 58 ; Алтын ; 1704 ; БК ; Ag ; VF ; 21 ; Братск ; 9500 
 59 ; 5 злотых ; 1834 ; IP Польша ; Ag ; VF- ; 26 ; Братск ; 9500 
 60 ; 30 копеек-2 злотых ; 1836 ; MW Рус.-Пол. ; Ag ; XF- ; 18 ; vit2503 ; 4400 
 61 ; 15 копеек-1 злотый ; 1838 ; MW Рус.-Пол. ; Ag ; XF ; 36 ; Продано в зале ; 6500 
 62 ; 5 копеек В капсуле ; 1723 ; Дата снизу вверх ; Cu ;  ; 50 ; Shootnic ; 23000 
 63 ; 5 копеек ; 1729 ; МД Хвост узкий ; Cu ; VF+ ; 61 ; q8b ; 10000 
 64 ; 5 копеек (Ильин-5р) ; 1788 ; ЕМ ; Cu ; VF+ ; 33 ; Продано в зале ; 17000 
 65 ; 5 копеек (Петров-10р. Ильин-10р.) ; 1788 ; ММ ; Cu ; VF ; 50 ; HOMODRILL ; 85000 
 66 ; 5 копеек ; 1788 ; ММ ; Cu ; VF+ ; 38 ; Koubit ; 7254 
 67 ; 5 копеек ; 1791 ; КМ ; Cu ; VF-XF ; 52 ; HOMODRILL ; 4200 
 68 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF ; 67 ; Продано в зале ; 5500 
 69 ; 5 копеек ; 1804 ; ЕМ ; Cu ; VF-XF ; 33 ; vit2503 ; 6250 
 70 ; 5 копеек (Ильин-1р) ; 1831 ; СМ ; Cu ; VF-XF ; 43 ; Продано в зале ; 7500 
 71 ; 5 копеек (Ильин-1р) ; 1832 ; СМ ; Cu ; VF-XF ; 42 ; Продано в зале ; 8500 
 72 ; 5 копеек (Петров-15р. Ильин-10р.) ; 1858 ; ЕМ ; Cu ; F+ ; 63 ; Продано в зале ; 18000 
 73 ; 5 копеек ; 1859 ; ЕМ ; Cu ; VF+ ; 26 ; Valera G ; 1900 
 74 ; 3 копейки ; 1845 ; СМ ; Cu ; VF ; 45 ; sdv75-2010 ; 6250 
 75 ; 3 копейки (Петров-5р, Ильин-5р) ; 1857 ; ВМ ; Cu ; VF- ; 44 ; q8b ; 10000 
 76 ; 3 копейки ; 1867 ; СПБ ; Cu ; VF ; 77 ; Цветмет ; 5603 
 77 ; 3 копейки ; 1903 ; СПБ ; Cu ; AU ; 43 ; CapsulЪ ; 34000 
 78 ; 2 копейки ; 1757 ; Номинал под гербом ; Cu ; VF+ ; 50 ; HOMODRILL ; 8500 
 79 ; 2 копейки ; 1762 ;  ; Cu ; F-VF ; 67 ; магаз ; 17000 
 80 ; 2 копейки ; 1763 ; ММ ; Cu ; VF ; 17 ; SSK ; 1022 
 81 ; 2 копейки ; 1766 ; ММ ; Cu ; VF ; 50 ; магаз ; 4400 
 82 ; 2 копейки ; 1788 ; ММ ; Cu ; VF ; 36 ; магаз ; 2800 
 83 ; 2 копейки ; 1793 ; Е- М Павл.перечекан ; Cu ; VF ; 57 ; Торт ; 16000 
 84 ; 2 копейки ; 1802 ; ЕМ ; Cu ; VF+ ; 37 ; Shootnic ; 10500 
 85 ; 2 копейки. Капсула ; 1820 ; КМ АД ; Cu ;  ; 36 ; Продано в зале ; 4800 
 86 ; 2 копейки. Капсула ; 1822 ; КМ АМ ; Cu ;  ; 28 ; Продано в зале ; 3600 
 87 ; 2 копейки. Капсула ; 1825 ; КМ АМ ; Cu ;  ; 32 ; Продано в зале ; 3600 
 88 ; 2 копейки. Капсула ; 1826 ; КМ АМ ; Cu ;  ; 21 ; Торт ; 4400 
 89 ; 2 копейки. Капсула ; 1827 ; КМ АМ ; Cu ;  ; 24 ; Продано в зале ; 2800 
 90 ; 2 копейки (Петров-2р, Ильин-1р) ; 1829 ; КМ АМ ; Cu ; XF- ; 16 ; моряк ; 2040 
 91 ; 2 копейки (Петров-3р) ; 1830 ; КМ АМ ; Cu ; XF ; 19 ; 23 ; 3570 
 92 ; 2 копейки ; 1911 ; СПБ ; Cu ; AU ; 58 ; Shootnic ; 11000 
 93 ; Копейка ; 1758 ;  ; Cu ; VF+ ; 14 ; магаз ; 900 
 94 ; Копейка ; 1800 ; ЕМ ; Cu ; XF ; 44 ; sdv75-2010 ; 3800 
 95 ; Копейка ; 1832 ; ЕМ ФХ ; Cu ; VF-XF ; 59 ; Valera G ; 2611 
 96 ; Копейка ; 1835 ; ЕМ ФХ ; Cu ; VF+ ; 3 ; 3457896 ; 459 
 97 ; Копейка ; 1910 ; СПБ ; Cu ; AU ; 50 ; Продано в зале ; 13500 
 98 ; Денга ; 1731 ;  ; Cu ; VF+ ; 25 ; vit2503 ; 1200 
 99 ; Денга ; 1795 ; ЕМ ; Cu ; VF+ ; 15 ; магаз ; 450 
 100 ; Денежка ; 1858 ; ЕМ ; Cu ; VF-XF ; 31 ; vit2503 ; 1100 
 1 ; Рубль ; 1723 ; ОК ; Ag ; VF+ ; 29 ; Братск ; 44000 
 2 ; Рубль ; 1727 ; СПБ ; Ag ; VF+ ; 21 ; Братск ; 36000 
 3 ; Рубль ; 1731 ;  ; Ag ; VF+ ; 29 ; vit2503 ; 16000 
 4 ; Рубль ; 1738 ;  ; Ag ; VF ; 21 ; Rosomaха ; 22605 
 5 ; Рубль ; 1740 ;  ; Ag ; VF-XF ; 45 ; Продано в зале ; 16000 
 6 ; Рубль ; 1747 ; СПБ ; Ag ; VF-XF ; 44 ; Rosomaха ; 23889 
 7 ; Рубль ; 1766 ; СПБ АШ TI ; Ag ; VF-XF ; 27 ; Rosomaха ; 14000 
 8 ; Рубль. Капсула ; 1802 ; СПБ АИ ; Ag ;  ; 24 ; Братск ; 14000 
 9 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF ; 23 ; Продано в зале ; 14500 
 10 ; Рубль ; 1818 ; СПБ ПС ; Ag ; AU ; 26 ; Potapiev ; 36000 
 11 ; Рубль ; 1840 ; СПБ НГ ; Ag ; XF ; 15 ; Ok203 ; 7847 
 12 ; Рубль ; 1849 ; СПБ ПА ; Ag ; XF- ; 36 ; Shootnic ; 18000 
 13 ; Полтина ; 1894 ; (АГ) ; Ag ; VF-XF ; 41 ; Shootnic ; 25000 
