 151 ; Знак Высшей награды ведомства учреждений Императрицы Марии. Неизвестная мастерская. Р-ры: 45х25мм. М-10,98гр ;  ;  ; Ag,позол.,эмаль ; XF+ ; 27 ; hugo ; 19878 
 152 ; Знак юбилейный Ведомства учреждений Императрицы Марии. Мастерская И.Е. Морозова. Р-ры: 44х26мм. М-10,33гр ;  ;  ; Ag, позолота ; VF+ ; 5 ; 462 ; 13260 
 153 ; Знак 138 пехотного Болховского полка (для нижних чинов). Мастерская Э. Кортмана. Р-ры: 46х35мм. М-17,35гр ;  ;  ; Br, позол.,сере ; VF-XF ; 56 ; Участник № 2 ; 29000 
 154 ; Знак ВИА (Военно-инженерная академия им Куйбышева) ;  ;  ; Ag,эмаль ; XF+ ; 25 ; spbmila ; 7557 
 155 ; Знак ВВА им Ворошилова (Высшая орден суворова I степени Военная академия Генерального штаба ВС СССР им К.Е.Ворошилова) ;  ;  ; Ag,эмаль ; XF+ ; 27 ; spbmila ; 10101 
 156 ; Знак Академия БТ и МВ им И.В.Сталина (Военная академия бронетанковых и механизированных войск) ;  ;  ; Ag,эмаль ; XF+ ; 28 ; hugo ; 9500 
 157 ; Знак ВВИА им Жуковского (Военно-воздушная инженерная академия им Н.Е.Жуковского) ;  ;  ; Ag,эмаль ; XF+ ; 21 ; spbmila ; 7070 
 158 ; Знак ВКАС (Военноая Краснознаменная академия связи им С.М.Буденного) ;  ;  ; Ag,эмаль ; XF+ ; 21 ; hugo ; 6800 
 159 ; Знак ВТА (Военно-транспортная академия им Кагановича) ;  ;  ; Ag,эмаль ; XF+ ; 19 ; spbmila ; 6630 
 101 ; Рубль ; 1868 ; СПБ HI ; Ag ; XF-/VF-XF ; 27 ; Участник № 1739 ; 14000 
 102 ; 20 копеек ; 1872 ; СПБ HI ; Ag ; AU ; 18 ; kirkar ; 2267 
 103 ; 15 копеек ; 1873 ; СПБ HI ; Ag ; AU ; 20 ; Участник № 636 ; 3600 
 104 ; 2 копейки ; 1874 ; ЕМ ; Cu ; XF- ; 27 ; SSK ; 2267 
 105 ; 2 копейки ; 1876 ; СПБ ; Cu ; XF+ ; 20 ; SSK ; 2164 
 106 ; 15 копеек ; 1877 ; СПБ HI ; Ag ; XF+ ; 21 ; Участник № 392 ; 1600 
 107 ; 1/4 копейки ; 1877 ; СПБ ; Cu ; XF+ ; 30 ; SSK ; 2400 
 108 ; 5 копеек ; 1878 ; СПБ ; Cu ; VF-XF ; 25 ; crackjack ; 1561 
 109 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF+ ; 37 ; kirkar ; 21001 
 110 ; 1/4 копейки ; 1885 ; СПБ ; Cu ; AU/XF ; 41 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 2289 
 111 ; Рубль ; 1891 ; (АГ) ; Ag ; XF+ ; 52 ; 28 ; 35000 
 112 ; 25 копеек ; 1891 ; (АГ) АГ ; Ag ; XF ; 55 ; Участник № 392 ; 32500 
 113 ; 15 копеек ; 1891 ; СПБ АГ ; Ag ; XF- ; 44 ; Участник № 392 ; 750 
 114 ; 10 рублей. М-12,89г ; 1894 ; (АГ) АГ ; Au ; VF-XF ; 69 ; Участник № 87 ; 140000 
 115 ; 25 копеек. В капсуле NGC ; 1894 ; (АГ) АГ ; Ag ; AU 58 ; 29 ; kirkar ; 15302 
 116 ; Рубль ; 1898 ; (АГ) На открытие памятника Александру II ; Ag ; XF+ ; 45 ; Участник № 1389 ; 139000 
 117 ; 15 копеек ; 1901 ; СПБ АР ; Ag ; AU ; 69 ; Участник № 545 ; 7000 
 118 ; 15 копеек ; 1902 ; СПБ АР ; Ag ; AU ; 29 ; Участник № 1389 ; 1100 
 119 ; Полтина ; 1908 ; (ЭБ) АГ ; Ag ; VF ; 34 ; ФВС ; 13259 
 120 ; 3 копейки ; 1908 ; СПБ ; Cu ; AU ; 40 ; CR1104 ; 2552 
 121 ; Рубль ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ; XF/AU ; 50 ; taran ; 47599 
 122 ; 50 копеек ; 1922 ; Вторая государственная шорно-футлярная и чемоданная фабрика (Петроград) ;  ; XF ; 51 ; ryber ; 15302 
 123 ; 5 копеек ; 1922 ; Вторая государственная шорно-футлярная и чемоданная фабрика (Петроград) ;  ; XF+ ; 27 ; SSK ; 12354 
 124 ; 1 копейка ; 1922 ; Вторая государственная шорно-футлярная и чемоданная фабрика (Петроград) ;  ; AU ; 66 ; SSK ; 14563 
 125 ; Жетон. В память коронации Павла I. D-20мм ; 1797 ;  ; Ag ; VF-XF ; 34 ; magnet8 ; 7140 
 126 ; Жетон. В память коронации Александра I. D-23мм ; 1801 ;  ; Ag ; XF+ ; 57 ; 67 ; 11832 
 127 ; Жетон. В память коронации Николая I. D-22мм ; 1826 ;  ; Ag ; XF- ; 16 ; Ohotnik ; 4590 
 128 ; Жетон. В память коронации Александра II. D-23мм ; 1856 ;  ; Ag ; XF ; 13 ; Ohotnik ; 4307 
 129 ; Жетон. В память коронации Александра III. D-25мм ; 1883 ;  ; Ag ; AU ; 16 ; bazis ; 4249 
 130 ; Жетон. В память коронации Николая II. D-25мм ; 1896 ;  ; Ag ; AU ; 15 ; Ohotnik ; 4365 
 131 ; Жетон. 25 копеек. Русские железные дороги, Крым. D-25мм ;  ;  ; Ж/м ; VF+ ; 24 ; Участник № 392 ; 5000 
 132 ; знак отличия ; 1856-1913 ; Георгия III ст. ; Ag ; F ; 36 ; smirnoff ; 20400 
 133 ; Георгиевский крест IV степени №545031 ; 1914-1915 ;  ;  ; VF-XF ; 25 ; sail ; 13113 
 134 ; Георгиевский крест IV ст. № 630401. Р-ры: 34х34мм ; 1914-1915 ;  ; Ag ; VF ; 86 ; Участник № 392 ; 12000 
 135 ; Медаль "За храбрость" (без степени). D-29мм. М-10,24гр ; до 1863г ;  ; Ag ; VF ; 53 ; Участник № 2 ; 70000 
 136 ; Медаль "За усердие". D-28мм. На о/с гравировка "Пр. по Московскому Военному округу №1472". Частная чеканка ;  ;  ; Ag ; XF ; 23 ; smirnoff ; 7500 
 137 ; Медаль "За труды по первой всеобщей переписи населения 1897г". СПб мон двор. D-29мм ;  ;  ; Br ; XF+ ; 28 ; Участник № 392 ; 3600 
 138 ; Медаль "За труды по отличному выполнению всеобщей мобилизации 1914г". Частная чеканка. D-28мм ;  ;  ; Br ; AU ; 13 ; 462 ; 3200 
 139 ; Медаль. В память коронации Александра I 15 сентября 1801г. D-50мм ; 1801 ;  ; Ag ; VF-XF ; 49 ; garpij ; 34000 
 140 ; Медаль "Достойнейшим из окончивших курсы в женских гимназиях". D-45мм ;  ;  ; Ag ; XF+ ; 30 ; Участник № 186 ; 16000 
 141 ; Медаль "Гордость России – русский солдат".  Российское Общество нумизматов. В память Первой мировой войны 1914–1918 гг. D-39мм ;  ;  ; Ag ; AU/XF ; 19 ; hugo ; 13274 
 142 ; Медаль "Гордость России – русский солдат".  Российское Общество нумизматов. В память Первой мировой войны 1914–1918 гг. D-33мм ;  ;  ; Ag ; AU ; 39 ; yurbor ; 13013 
 143 ; Медаль. Средне-азиатская выставка в Москве1831 года. D-39мм ;  ;  ; Br,серебрение ; XF ; 28 ; Участник № 23 ; 5500 
 144 ; Медаль "В память 100-летнего юбилея пажеского Его Императорского Величества корпуса". D-65мм ; 1902 ;  ; Br ; XF- ; 36 ; Ohotnik ; 6516 
