 151 ; Полушка (Петров-1р) ; 1741 ; Орёл 1730 г. ; Cu ; VF+ ; 23 ; SSK ; 3853 
 152 ; Полушка. Новодел ; 1757 ;  ; Cu ; AU/XF ; 48 ; Продано в зале ; 26000 
 153 ; Полушка (Петров-2,25р, Ильин-4р) ; 1792 ; КМ ; Cu ; VF+ ; 32 ; au ; 10767 
 154 ; Полушка ; 1861 ; ЕМ ; Cu ; XF ; 17 ; Продано в зале ; 3600 
 155 ; 1/4 копейки ; 1869 ; ЕМ ; Cu ; AU ; 26 ; Продано в зале ; 5400 
 156 ; 1/4 копейки ; 1881 ; СПБ ; Cu ; AU ; 58 ; kont ; 12773 
 157 ; 1/4 копейки ; 1886 ; СПБ ; Cu ; AU ; 38 ; Продано в зале ; 3800 
 158 ; 1/4 копейки. В капсуле NGC ; 1899 ; СПБ ; Cu ; MS 63 ; 13 ; mac. ; 2221 
 159 ; 1 пенни ; 1870 ; Финляндия ; Cu ; XF/AU ; 20 ; Продано в зале ; 11000 
 160 ; 5 рублей ; 1918 ; Армавир. В бронзе ;  ; XF- ; 56 ; Продано в зале ; 24000 
 161 ; 3 рубля ; 1918 ; Армавир. Кружок меньше ;  ; VF+ ; 60 ; Продано в зале ; 11000 
 162 ; 50 копеек ; 1922 ; Вторая государственная шорно-футлярная и чемоданная фабрика (Петроград) ;  ; XF ; 25 ; Молот ; 19723 
 163 ; 2 копейки ; 1922 ; Вторая государственная шорно-футлярная и чемоданная фабрика (Петроград) ;  ; XF ; 22 ; ruba ; 19037 
 164 ; Медаль. "За храбрость в водах финских августа 13 1789 года". Имп. Екатерина II. D-39мм. Убрано ушко ;  ;  ; Ag ; VF-XF ; 15 ; Продано в зале ; 72000 
 165 ; Медаль в память открытия памятника Императору Александру II в Гельсингфорсе (Хельсинки). Гельсингфорсский монетный двор. Медальер А. А. Грилихес (сын). D-69мм ; 1894 ;  ; Br ; AU ; 11 ; КовалевС ; 4590 
 166 ; Жетон. В память коронации Александра III. D-26мм ;  ;  ; Ag ; AU/XF ; 9 ; Продано в зале ; 7200 
 167 ; Цепочка с миниатюрами наград (11шт) ;  ;  ; Au,Ag,Эмаль ; AU ; 22 ; Продано в зале ; 31000 
 101 ; Двойной абаз ; 1813 ; АТ Грузия ; Ag ; VF-XF ; 35 ; нумизмат ; 18000 
 102 ; Двойной абаз ; 1831 ; АТ Грузия ; Ag ; VF+ ; 11 ; Продано в зале ; 7200 
 103 ; 10 копеек ; 1779 ; КМ "Сибирь" ; Cu ; XF- ; 5 ; Продано в зале ; 12000 
 104 ; 5 копеек (Петров-12р, Ильин-5р) ; 1730 ; ДМ ; Cu ; F+ ; 17 ; Хаа ; 10404 
 105 ; 5 копеек. В капсуле PCGS ; 1773 ; ЕМ ; Cu ; MS62 ; 36 ; Сивый ; 5009 
 106 ; 5 копеек ; 1777 ; КМ "Сибирь" ; Cu ; XF- ; 5 ; Trevor ; 9180 
 107 ; 5 копеек ; 1782 ; КМ ; Cu ; VF-XF ; 10 ; Марк Иосифович ; 2550 
 108 ; 5 копеек ; 1786 ; КМ ; Cu ; VF-XF ; 11 ; Продано в зале ; 2300 
 109 ; 5 копеек (Петров-9р, Ильин-10р) ; 1787 ; ТМ ; Cu ; VF- ; 13 ; нумизмат ; 26724 
 110 ; 5 копеек ; 1789 ; АМ ; Cu ; VF-XF ; 13 ; gri.59 ; 1300 
 111 ; 5 копеек ; 1790 ; АМ ; Cu ; XF- ; 11 ; electra ; 1530 
 112 ; 5 копеек ; 1790 ; КМ ; Cu ; VF-XF ; 28 ; Продано в зале ; 3600 
 113 ; 5 копеек ; 1791 ; АМ ; Cu ; VF-XF ; 7 ; Алексей Викторович ; 2200 
 114 ; 5 копеек ; 1792 ; АМ ; Cu ; VF-XF ; 11 ; Алексей Викторович ; 2555 
 115 ; 5 копеек. В капсуле PCGS ; 1792 ; КМ ; Cu ; MS62 ; 9 ; Продано в зале ; 9000 
 116 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF+ ; 27 ; золотник ; 12240 
 117 ; 5 копеек ; 1793 ; АМ ; Cu ; XF- ; 10 ; gri.59 ; 1400 
 118 ; 5 копеек ; 1794 ; ЕМ ; Cu ; VF-XF ; 14 ; Алексей Викторович ; 1224 
 119 ; 5 копеек ; 1794 ; АМ ; Cu ; XF- ; 11 ; Алексей Викторович ; 2091 
 120 ; 5 копеек (Петров-10р, Ильин-20р) ; 1794 ; АМ Павл.перечекан ; Cu ; F+ ; 14 ; Продано в зале ; 13000 
 121 ; 5 копеек ; 1795 ; ЕМ ; Cu ; XF- ; 19 ; Продано в зале ; 1200 
 122 ; 5 копеек. Очень редка ; 1795 ; АМ Павл.перечекан. Гурт шнур. ; Cu ; VF+ ; 37 ; Продано в зале ; 170000 
 123 ; 5 копеек ; 1795 ; КМ ; Cu ; VF-XF ; 15 ; Продано в зале ; 2200 
 124 ; 5 копеек ; 1802 ; ЕМ ; Cu ; XF ; 73 ; Алексей Викторович ; 12053 
 125 ; 5 копеек ; 1804 ; ЕМ ; Cu ; XF+ ; 21 ; Алексей Викторович ; 3978 
 126 ; 5 копеек (Петров-2р, Ильин-1р) ; 1804 ; КМ ; Cu ; VF+ ; 11 ; Trevor ; 5400 
 127 ; 5 копеек (Петров-2р, Ильин-1р) ; 1805 ; КМ ; Cu ; VF-XF ; 9 ; Продано в зале ; 7200 
 128 ; 5 копеек ; 1806 ; ЕМ ; Cu ; XF ; 33 ; Продано в зале ; 3200 
 129 ; 5 копеек (Петров-2,5р, Ильин-2р) ; 1806 ; КМ ; Cu ; VF-XF ; 23 ; Trevor ; 4800 
 130 ; 5 копеек (Ильин-3р) ; 1808 ; ЕМ ; Cu ; VF+ ; 21 ; Продано в зале ; 6200 
 131 ; 5 копеек (Петров-4р, Ильин-3р) ; 1808 ; КМ ; Cu ; VF+ ; 16 ; Хаа ; 16000 
 132 ; 5 копеек ; 1810 ; ЕМ ; Cu ; VF-XF ; 21 ; Продано в зале ; 6000 
 133 ; 5 копеек (Петров-7р, Ильин-5р) ; 1810 ; КМ ; Cu ; VF ; 69 ; Trevor ; 14000 
 134 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; AU ; 18 ; Продано в зале ; 11500 
