 101 ; 1/2 копейки ; 1869 ; ЕМ ; Cu ; XF+ ; 89 ; tisa66 ; 7000 
 102 ; 1/2 копейки ; 1871 ; ЕМ ; Cu ; XF ; 65 ; Продано в зале ; 10000 
 103 ; 1/2 копейки ; 1872 ; ЕМ ; Cu ; XF- ; 103 ; Продано в зале ; 8500 
 104 ; 1/2 копейки ; 1877 ; СПБ ; Cu ; AU ; 72 ; Продано в зале ; 6000 
 105 ; 1/2 копейки ; 1882 ; СПБ ; Cu ; XF+ ; 48 ; Продано в зале ; 6000 
 106 ; 1/2 копейки ; 1885 ; СПБ ; Cu ; AU ; 37 ; Продано в зале ; 4600 
 107 ; 1/2 копейки ; 1889 ; СПБ ; Cu ; XF+ ; 63 ; sax ; 1867 
 108 ; 1/2 копейки ; 1892 ; СПБ ; Cu ; AU/XF ; 38 ; Продано в зале ; 2300 
 109 ; 1/2 копейки (Петров-3р, Ильин-4р) ; 1894 ; СПБ ; Cu ; XF- ; 112 ; Продано в зале ; 140000 
 110 ; 1/2 копейки ; 1895 ; СПБ ; Cu ; XF+ ; 43 ; 222211 ; 3412 
 111 ; 1/2 копейки ; 1916 ;  ; Cu ; XF+ ; 115 ; Продано в зале ; 17000 
 112 ; Полушка ; 1850 ; ЕМ ; Cu ; AU ; 40 ; 222211 ; 8364 
 113 ; Полушка ; 1852 ; ЕМ ; Cu ; XF ; 47 ; Продано в зале ; 6500 
 114 ; Полушка ; 1854 ; ЕМ ; Cu ; AU/XF ; 37 ; ZOLTAN333 ; 5450 
 115 ; 1/4 копейки ; 1886 ; СПБ ; Cu ; XF+ ; 23 ; $$$ ; 4232 
 116 ; 1/4 копейки ; 1887 ; СПБ ; Cu ; XF+ ; 41 ; нумизмат ; 5634 
 117 ; Один червонец. М-8,60гр ; 1923 ; (ПЛ) ; Au ; AU ; 63 ; Продано в зале ; 200000 
 118 ; Один полтинник (гурт 1924 года) ; 1925 ; (ПЛ 9 грамм. 2з. 10,5 д.) ; Ag ; VF+ ; 38 ; legallegal ; 16238 
 119 ; Крест господня. Николай II. Р-ры: 68х42мм ;  ;  ; Ag, позол, эмал ; XF ; 51 ; 439 ; 38292 
 120 ; Жетон В память открытия памятника Петру I, 1782года. D-23мм ;  ;  ; Ag ; VF-XF ; 21 ; Продано в зале ; 18000 
 121 ; Полтина, в капсуле NGC ; 1859 ; СПБ ФБ ; Ag ; AU58 ; 40 ; Продано в зале ; 13000 
 122 ; 20 копеек, в капсуле NGC ; 1823 ; СПБ ПД ; Ag ; AU58 ; 27 ; Продано в зале ; 12000 
 123 ; 20 копеек, в капсуле PCGS ; 1855 ; СПБ HI ; Ag ; AU Details ; 49 ; Продано в зале ; 12500 
 124 ; 5 копеек. В капсуле PCGS ; 1785 ; КМ ; Cu ; XF+ ; 57 ; Rogoff ; 5253 
 125 ; 5 копеек, в капсуле NGC ; 1872 ; ЕМ ; Cu ; AU55 ; 27 ; 222211 ; 6368 
 126 ; 2 копейки. В капсуле PCGS ; 1797 ;  ; Cu ; XF- ; 33 ; нумизмат ; 14894 
 127 ; 2 копейки. В капсуле NGC ; 1799 ; КМ ; Cu ; XF- ; 9 ; Rogoff ; 1720 
 128 ; 2 копейки. В капсуле PCGS ; 1798 ; КМ ; Cu ; XF ; 13 ; уютный ; 2115 
 129 ; 2 копейки. В капсуле NGC ; 1893 ; СПБ ; Cu ; MS 62 ; 31 ; Продано в зале ; 6000 
 130 ; Копейка. В капсуле NGC ; 1898 ; СПБ ; Cu ; MS 61 ; 23 ; Продано в зале ; 3400 
 131 ; 10 копеек ; 1764 ;  ; Cu ; XF ; 53 ; Продано в зале ; 66000 
 132 ; 10 копеек ; 1776 ; КМ "Сибирь" ; Cu ; VF-XF ; 33 ; Продано в зале ; 20000 
 133 ; 5 копеек ; 1758 ;  ; Cu ; VF- ; 27 ; Продано в зале ; 1700 
 134 ; 5 копеек ; 1860 ; ЕМ ; Cu ; XF+ ; 34 ; Продано в зале ; 15000 
 135 ; 5 копеек ; 1869 ; СПБ ; Cu ; XF ; 48 ; Продано в зале ; 11000 
 136 ; 2 копейки ; 1759 ;  ; Cu ; VF-XF ; 31 ; Продано в зале ; 12000 
 137 ; Копейка Ильин-4р ; 1710 ; БК ; Cu ; XF+ ; 38 ; каламбурчик ; 45900 
 138 ; Копейка ; 1711 ; МД ; Cu ; VF ; 54 ; max96 ; 5023 
 139 ; Копейка ; 1844 ; СМ ; Cu ; XF+ ; 45 ; Продано в зале ; 7500 
 140 ; Деньга Петров-1р ; 1811 ; ИМ МК ; Cu ; VF-XF ; 64 ; Продано в зале ; 5500 
 141 ; Деньга ; 1827 ; ЕМ ИК ; Cu ; XF+ ; 23 ; Продано в зале ; 6000 
 51 ; 15 копеек ; 1877 ; СПБ HI ; Ag ; AU ; 34 ; Продано в зале ; 8500 
 52 ; 15 копеек ; 1888 ; СПБ АГ ; Ag ; VF+ ; 26 ; Продано в зале ; 4600 
 53 ; 15 копеек ; 1902 ; СПБ АР ; Ag ; Unc/AU ; 47 ; Продано в зале ; 12000 
 54 ; 10 копеек ; 1830 ; СПБ НГ ; Ag ; XF- ; 99 ; Brilev ; 10404 
 55 ; 10 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 67 ; Продано в зале ; 11000 
 56 ; 10 копеек ; 1861 ; СПБ МИ ; Ag ; VF+ ; 64 ; Продано в зале ; 13000 
 57 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 17 ; птичкин ; 990 
 58 ; 10 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 27 ; Продано в зале ; 1400 
 59 ; 10 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 41 ; tisa66 ; 3500 
 60 ; 10 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 41 ; Продано в зале ; 3600 
 61 ; 10 копеек ; 1881 ; СПБ НФ ; Ag ; AU ; 46 ; Продано в зале ; 7000 
