 351 ; 5 копеек ; 1848 ; СПБ HI ; Ag ; XF ; 27 ; dimon46 ; 2042 
 352 ; 20 копеек ; 1851 ; СПБ ПА ; Ag ; XF ; 18 ; zerkalozemli ; 3511 
 353 ; 5 копеек ; 1851 ; СПБ ПА ; Ag ; AU ; 15 ; Участник № 4 ; 5000 
 354 ; Полтина ; 1852 ; СПБ ПА ; Ag ; VF-XF ; 27 ; ААФ ; 5667 
 355 ; Лот снят ;  ;  ;  ;  ; 0 ; Не продан ; 0 
 356 ; Рубль (Петров-2,25р). В капсуле NGC ; 1799 ; СМ МБ ; Ag ; XF 45 ; 41 ; Глол ; 97027 
 357 ; 10 грошей. В капсуле NGC ; 1840 ; MW Рус.-Пол. ; Ag ; AU 58 ; 22 ; ААФ ; 2001 
 358 ; Полтина. В капсуле NGCA ; 1845 ; СПБ КБ ; Ag ; AU58 ; 6 ; Kolya-kms ; 18133 
 359 ; Рубль. В капсуле ANACS ; 1851 ; СПБ ПА ; Ag ; AU 55 ; 30 ; Участник № 1014 ; 19000 
 360 ; Рубль (Петров-2р). В капсуле ANACS ; 1880 ; СПБ НФ ; Ag ; AU 58 ; 30 ; Участник № 30 ; 28000 
 361 ; Рубль. В капсуле ANACS ; 1892 ; (АГ) ; Ag ; Au 53 ; 32 ; Глол ; 89307 
 362 ; Рубль. В капсуле NGC ; 1897 ; (АГ) ; Ag ; AU 58 ; 33 ; Участник № 62 ; 24000 
 363 ; Рубль. В капсуле NGC ; 1898 ; ( ** ) ; Ag ; AU 53 ; 53 ; AAE2006 ; 17033 
 364 ; 20 марок. В капсуле NGC ; 1912 ; S Финляндия ; Au ; MS 65 ; 22 ; ALCOM ; 12737 
 365 ; Рубль. В капсуле NGC ; 1913 ; На 300-летие Дома Романовых ; Ag ; AU 58 ; 14 ; Участник № 1014 ; 8000 
 366 ; 5 рублей ; 1860 ; СПБ ПФ  ; Au ; AU ; 20 ; Участник № 87 ; 95000 
 367 ; 5 рублей ; 1864 ; СПБ АС  ; Au ; AU ; 22 ; Участник № 87 ; 110000 
 368 ; 5 рублей ; 1863 ; СПБ МИ  ; Au ; MS-64 ; 20 ; Участник № 87 ; 95000 
 369 ; Рубль ; 1719 ; OK  ; Ag ; VF+ ; 21 ; finger ; 100000 
 370 ; Рубль ; 1721 ;  ; Ag ; VF-XF ; 24 ; Участник № 87 ; 60000 
 371 ; Рубль ; 1731 ;  ; Ag ; VF-XF ; 20 ; Участник № 87 ; 22000 
 372 ; Рубль ; 1812 ; СПБ МФ  ; Ag ; XF+ ; 62 ; Участник № 87 ; 18000 
 373 ; Рубль (Петров-3р) ; 1858 ; СПБ ФБ  ; Ag ; AU ; 35 ; Участник № 87 ; 190000 
 374 ; Рубль (Ильин-4р, редок) ; 1864 ; СПБ НФ  ; Ag ; VF+ ; 27 ; Участник № 87 ; 95000 
 375 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF ; 19 ; Участник № 87 ; 18000 
 376 ; Рубль ; 1888 ; (АГ)  ; Ag ; XF+ ; 40 ; Участник № 87 ; 140000 
 377 ; Рубль ; 1912 ; На столетие отечественной войн ; Ag ; AU ; 21 ; Участник № 87 ; 140000 
 378 ; 25 копеек (Варшавский чекан редок) ; 1857 ; MW  ; Ag ; XF ; 29 ; Участник № 87 ; 95000 
 379 ; 25 копеек ; 1894 ; (АГ) АГ  ; Ag ; AU ; 29 ; finger ; 40084 
 380 ; 15 копеек (редкое обозначение минцмейстера) ; 1912 ; СПБ ВС  ; Ag ; AU ; 43 ; Глол ; 120000 
 381 ; 3 копейки ; 1843 ; СПМ  ; Cu ; XF+ ; 24 ; Конрос бид 32 ; 37332 
 382 ; 2 копейки ; 1810 ; КМ  ; Cu ; XF ; 79 ; Участник № 87 ; 8500 
 301 ; Рубль ; 1888 ; (АГ) ; Ag ; VF ; 17 ; boroda ; 7401 
 302 ; 5 рублей ; 1890 ; (АГ) ; Au ; AU ; 13 ; niki ; 30000 
 303 ; Рубль ; 1892 ; (АГ) ; Ag ; VF-XF ; 16 ; Kolya-kms ; 14811 
 304 ; Копейка ; 1892 ; СПБ ; Cu ; AU ; 19 ; AVA01 ; 3565 
 305 ; 20 копеек ; 1893 ; СПБ АГ ; Ag ; AU ; 5 ; luda ; 5000 
 306 ; 3 копейки ; 1893 ; СПБ ; Cu ; XF ; 15 ; Gop ; 11819 
 307 ; Рубль ; 1894 ; (АГ) ; Ag ; VF-XF ; 19 ; ~~~~~~~~ ; 20910 
 308 ; Полтина ; 1894 ; (АГ) ; Ag ; VF+ ; 53 ; finger ; 9820 
 309 ; Копейка ; 1895 ; СПБ ; Cu ; AU ; 17 ; Глол ; 8401 
 310 ; Рубль ; 1896 ; (АГ) ; Ag ; XF+ ; 28 ; ZOLTAN333 ; 13770 
 311 ; Рубль ; 1896 ; ( * ) ; Ag ; XF- ; 24 ; Участник № 55 ; 3600 
 312 ; Рубль ; 1896 ; (АГ) ; Ag ; AU ; 21 ; Глол ; 20164 
 313 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; AU ; 23 ; finger ; 38495 
 314 ; Полтина ; 1896 ; ( * ) ; Ag ; VF-XF ; 11 ; ААФ ; 2001 
 315 ; 25 копеек ; 1896 ; АГ ; Ag ; XF-/XF+ ; 27 ; Участник № 133 ; 2400 
 316 ; Полтина ; 1897 ; ( * ) ; Ag ; XF+ ; 31 ; Участник № 62 ; 7500 
