 201 ; 10 копеек ; 1890 ; СПБ АГ ; Ag ; AU ; 29 ; toto ; 3264 
 202 ; 20 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 5 ; hummer ; 2001 
 203 ; 15 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 5 ; andreyx  ; 1928 
 204 ; 3 копейки ; 1891 ; СПБ ; Cu ; AU ; 21 ; Участник № 1204 ; 11000 
 205 ; 3 копейки ; 1891 ; СПБ ; Cu ; AU ; 33 ; ravs ; 3200 
 206 ; Рубль ; 1892 ; (АГ) ; Ag ; XF+ ; 62 ; Участник № 186 ; 35000 
 207 ; 20 копеек ; 1893 ; СПБ АГ ; Ag ; AU ; 9 ; Участник № 133 ; 2200 
 208 ; 15 копеек ; 1893 ; СПБ АГ ; Ag ; AU ; 6 ; СВл ; 3200 
 209 ; 25 копеек ; 1894 ; (АГ) АГ ; Ag ; XF+ ; 24 ; Участник № 746 ; 5500 
 210 ; Копейка ; 1894 ; СПБ ; Cu ; XF+ ; 11 ; на рубль больше ; 1500 
 211 ; 10 золотн. ;  ; АД ;  ; VF-XF ; 17 ; Участник № 6 ; 22000 
 212 ; 25 копеек ; 1895 ; АГ ; Ag ; AU ; 16 ; gerz ; 5100 
 213 ; 25 копеек ; 1896 ; АГ ; Ag ; AU ; 61 ; Участник № 30 ; 3800 
 214 ; Рубль ; 1896 ; (АГ) ; Ag ; VF-XF/AU ; 17 ; Участник № 746 ; 2100 
 215 ; Рубль. На гурте звездочка и птичка. Редка ; 1897 ; ( ** ) ; Ag ; VF-XF ; 25 ; Участник № 186 ; 14000 
 216 ; Рубль ; 1897 ; (АГ) ; Ag ; XF+ ; 12 ; Участник № 133 ; 8500 
 217 ; Рубль ; 1898 ; ( ** ) ; Ag ; XF+ ; 19 ; 1177 ; 6122 
 218 ; 3 копейки ; 1898 ; СПБ ; Cu ; AU ; 21 ; Basilio ; 6993 
 219 ; Рубль ; 1899 ; (ФЗ) ; Ag ; AU ; 65 ; Участник № 1204 ; 10000 
 220 ; Копейка ; 1899 ; СПБ ; Cu ; AU ; 13 ; Участник № 147 ; 4400 
 221 ; Копейка ; 1900 ; СПБ ; Cu ; AU ; 15 ; Участник № 147 ; 4600 
 222 ; 1/4 копейки ; 1900 ; СПБ ; Cu ; AU ; 11 ; Участник № 147 ; 800 
 223 ; Рубль ; 1901 ; (ФЗ) ; Ag ; VF-XF ; 7 ; Arsak ; 1360 
 224 ; Рубль ; 1901 ; (ФЗ) ; Ag ; XF ; 5 ; 1177 ; 4080 
 225 ; 10 копеек ; 1901 ; СПБ ФЗ ; Ag ; AU ; 27 ; ravs ; 2400 
 226 ; 20 копеек ; 1903 ; СПБ АР ; Ag ; AU ; 24 ; Участник № 30 ; 2600 
 227 ; 20 копеек ; 1904 ; СПБ АР ; Ag ; AU ; 11 ; Участник № 133 ; 1300 
 228 ; 20 копеек ; 1904 ; СПБ АР ; Ag ; AU ; 29 ; ravs ; 4000 
 229 ; 10 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 7 ; Участник № 147 ; 2300 
 230 ; 20 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 15 ; Участник № 147 ; 2500 
 231 ; Полтина ; 1910 ; (ЭБ) АГ ; Ag ; AU ; 18 ; Участник № 135 ; 9500 
 232 ; Полтина ; 1911 ; (ЭБ) АГ ; Ag ; Proof ; 25 ; Misha ; 35700 
 233 ; 5 копеек ; 1911 ; СПБ ; Cu ; AU ; 31 ; батя ; 2824 
 234 ; 3 копейки ; 1911 ; СПБ ; Cu ; AU ; 13 ; Участник № 147 ; 2300 
 235 ; 5 копеек ; 1912 ; СПБ ; Cu ; AU ; 44 ; SDS ; 17000 
 236 ; Рубль ; 1914 ; (ВС) ; Ag ; AU ; 40 ; Участник № 30 ; 42000 
 237 ; 2 копейки ; 1915 ;  ; Cu ; AU ; 13 ; 439 ; 501 
 238 ; Копейка ; 1915 ;  ; Cu ; AU ; 7 ; hugo ; 357 
 239 ; 1/2 копейки ; 1915 ;  ; Cu ; AU ; 7 ; 439 ; 408 
 240 ; 20 копеек ; 1916 ; ВС ; Ag ; Proof ; 25 ; niki ; 12467 
 241 ; Рубль. В капсуле NGC ; 1897 ; (АГ) ; Ag ; XF45 ; 18 ; dsidorov ; 3060 
 151 ; Полушка (Ильин-1р) ; 1859 ; ЕМ ; Cu ; XF+ ; 4 ; Участник № 584 ; 1100 
 152 ; Полтина ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 46 ; SАП ; 16830 
 153 ; 10 копеек ; 1860 ; СПБ ФБ ; Ag ; VF-XF ; 26 ; antiquar ; 4215 
