 201 ; 15 копеек. В капсуле NGC ; 1875 ; СПБ HI ; Ag ; MS 62 ; 9 ; Участник № 520 ; 2600 
 202 ; 20 копеек. В капсуле NGC ; 1864 ; СПБ НФ ; Ag ; AU 58 ; 10 ; dsidorov ; 950 
 203 ; 20 копеек. В капсуле NGC ; 1889 ; СПБ АГ ; Ag ; AU 58 ; 12 ; Участник № 520 ; 2100 
 204 ; 20 копеек. В капсуле ANACS ; 1891 ; СПБ АГ ; Ag ; AU 55 ; 20 ; Участник № 520 ; 2100 
 205 ; 25 копеек. В капсуле ANACS ; 1858 ; СПБ ФБ ; Ag ; AU 58 ; 34 ; dsidorov ; 3062 
 206 ; 25 копеек. В капсуле NGC ; 1896 ; АГ ; Ag ; AU 50 ; 16 ; dsidorov ; 2734 
 207 ; Рубль. В капсуле NGC ; 1732 ;  ; Ag ; AU 55 ; 31 ; niki ; 40802 
 208 ; Рубль. В капсуле NGC ; 1816 ; СПБ ПС ; Ag ; MS 62 ; 42 ; Участник № 30 ; 17000 
 209 ; Рубль. В капсуле NGC ; 1842 ; СПБ АЧ ; Ag ; MS 61 ; 61 ; Участник № 520 ; 13000 
 210 ; Рубль. В капсуле NGC ; 1888 ; (АГ) ; Ag ; AU 55 ; 49 ; Участник № 133 ; 54000 
 211 ; Рубль. В капсуле PCGS ; 1898 ; (АГ) ; Ag ; MS 61 ; 7 ; Участник № 1294 ; 15000 
 212 ; 10 марок. В капсуле NGC ; 1879 ; S Финляндия ; Au ; MS 63 ; 23 ; нумизмат ; 17850 
 151 ; 10 копеек ; 1894 ; СПБ АГ ; Ag ; AU ; 33 ; Участник № 520 ; 1600 
 152 ; 25 копеек ; 1895 ; АГ ; Ag ; AU ; 51 ; ZOLTAN333 ; 6500 
 153 ; Копейка ; 1895 ; СПБ ; Cu ; XF/AU ; 36 ; al69 ; 2040 
 154 ; Полтина ; 1896 ; (АГ) АГ ; Ag ; XF/AU ; 46 ; ZOLTAN333 ; 4119 
 155 ; Полтина ; 1896 ; ( * ) ; Ag ; XF/AU ; 25 ; Участник № 1341 ; 3200 
 156 ; 25 копеек ; 1896 ; АГ ; Ag ; XF ; 35 ; Участник № 1104 ; 2700 
 157 ; Копейка ; 1896 ; СПБ ; Cu ; AU ; 9 ; al69 ; 2720 
 158 ; Рубль ; 1897 ; ( ** ) ; Ag ; XF+ ; 17 ; vvt ; 5565 
 159 ; Копейка ; 1897 ; СПБ ; Cu ; AU ; 9 ; Участник № 520 ; 2400 
 160 ; Рубль ; 1898 ; (АГ) ; Ag ; AU ; 7 ; 3458 ; 5102 
 161 ; Рубль ; 1899 ; (ФЗ) ; Ag ; XF- ; 28 ; Ч.С. ; 6500 
 162 ; 20 копеек ; 1903 ; СПБ АР ; Ag ; AU ; 35 ; Участник № 520 ; 4200 
 163 ; 15 копеек ; 1904 ; СПБ АР ; Ag ; AU ; 25 ; 25 ; 3971 
 164 ; 20 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 18 ; andreyx  ; 2973 
 165 ; 15 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 11 ; 25 ; 3436 
 166 ; Полтина ; 1910 ; (ЭБ) АГ ; Ag ; AU ; 34 ; 0987654321 ; 17000 
 167 ; 1/4 копейки ; 1910 ; СПБ ; Cu ; AU ; 23 ; Участник № 1104 ; 1250 
 168 ; Полтина ; 1911 ; (ЭБ) АГ ; Ag ; XF/AU ; 11 ; int1965708 ; 6000 
 169 ; Полтина ; 1911 ; (ЭБ) АГ ; Ag ; AU ; 11 ; Участник № 1341 ; 5200 
 170 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 39 ; al69 ; 11894 
 171 ; Рубль ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ; XF+ ; 76 ; Ч.С. ; 53856 
 172 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; XF/AU ; 52 ; Участник № 1341 ; 7700 
 173 ; Рубль ; 1915 ; (ВС) ; Ag ; AU/XF ; 58 ; Участник № 1104 ; 16000 
 174 ; 15 копеек ; 1917 ; ВС ; Ag ; AU ; 11 ; TDN ; 2618 
 175 ; 10 копеек ; 1917 ; ВС ; Ag ; AU ; 4 ; Феофан ; 2914 
 176 ; 20 копеек ; 1928 ; в СССР С округлые, шт. 3 коп.1926 ; Ag ; XF+ ; 51 ; al69 ; 4374 
 177 ; Медаль. За усердие. D-30мм ;  ;  ; Ag ; VF ; 10 ; Ohotnik ; 2833 
 178 ; Медаль. За поход в Китай. D-28мм ; 1900-1901 ;  ; Ag ; VF ; 26 ; daniz ; 18358 
 179 ; Медаль. В память Русско-Японской войны. D-28мм ; 1904-1905 ;  ; Ag ; VF+ ; 13 ; Участник № 2 ; 16000 
 180 ; Медаль. 200 лет Полтавской битве 1709-1909гг. D-28мм ; 1909 ;  ; Br ; XF ; 21 ; 67 ; 7650 
 181 ; Георгиевская медаль 3 степени. Временное правительство. №270407. D-28мм ;  ;  ; Б/м ; AU ; 9 ; Участник № 186 ; 17500 
 182 ; Георгиевская медаль 3 степени. Временное правительство. №278124. D-28мм ;  ;  ; Б/м ; AU ; 7 ; ivs07 ; 15867 
 183 ; Жетон. На заключения мира с Турцией. D-21мм ; 1774 ;  ; Ag ; VF ; 15 ; 3458 ; 8160 
 184 ; Жетон. На заключение мира со Швецией. D-22мм ; 1790 ;  ; Ag ; VF+ ; 9 ; ivs07 ; 7242 
 185 ; Жетон. В память коронации Александра III. D-25мм ; 1883 ;  ; Ag ; AU ; 5 ; Участник № 7 ; 3500 
 186 ; Жетон. В память коронации Никалая II. D-25мм ; 1896 ;  ; Ag ; AU ; 7 ; and ; 4400 
 187 ; Жетон. 50 лет БСМЗ. D-25мм ; 1856-1906 ;  ; Ag ; XF ; 5 ; Участник № 2 ; 3000 
 188 ; Крест Романовых. Размеры: 41 на 63мм. Сколы эмали, ушко 12 часов ;  ;  ; Ag,эмаль ; VF+ ; 27 ; Участник № 520 ; 9500 
 189 ; Знак. Латышские стрелковые батальоны (для нижних чинов) ;  ;  ; Ж/м ; VF+ ; 11 ; ivs07 ; 17850 
 190 ; Медаль. А.С.Пушкин (1799-1837гг). Медальер Скуднов. D-67мм ;  ;  ; Ж/м ; VF-XF ; 16 ; avp ; 3133 
 191 ; Медаль. От министерства земледелия и государственных имуществ. Сельскохозяйственные произведения. D-65мм ;  ;  ; Ж/м ; VF-XF ; 19 ; 0987654321 ; 5000 
