 51 ; Рубль ; 1853 ; СПБ HI ; Ag ; AU/XF ; 52 ; 28 ; 16597 
 52 ; 10 копеек ; 1858 ; СПБ ФБ ; Ag ; AU ; 10 ; Участник № 133 ; 3800 
 53 ; 20 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 8 ; Участник № 133 ; 1600 
 54 ; 20 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 31 ; Участник № 133 ; 2300 
 55 ; 1 пенни ; 1873 ; Финляндия ; Cu ; VF-XF ; 38 ; lelic ; 1835 
 56 ; 25 копеек ; 1875 ; СПБ HI ; Ag ; AU/XF ; 71 ; Участник № 520 ; 55000 
 57 ; 10 пенни (Петров-4р). Редкая датировка ; 1875 ; Финляндия ; Cu ; VF ; 46 ; Участник № 62 ; 4600 
 58 ; Рубль ; 1876 ; СПБ HI ; Ag ; AU/XF- ; 32 ; toto ; 18728 
 59 ; Копейка ; 1879 ; СПБ ; Cu ; AU ; 18 ; 439 ; 3257 
 60 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF/AU ; 14 ; Участник № 133 ; 14000 
 61 ; Рубль ; 1886 ; (АГ) ; Ag ; VF-XF/VF+ ; 11 ; Участник № 147 ; 16000 
 62 ; Копейка ; 1887 ; СПБ ; Cu ; AU ; 14 ; DennisG ; 3071 
 63 ; 15 копеек ; 1888 ; СПБ АГ ; Ag ; VF-XF ; 76 ; Участник № 392 ; 15500 
 64 ; 10 копеек ; 1890 ; СПБ АГ ; Ag ; AU ; 10 ; verunk1 ; 3570 
 65 ; 25 копеек ; 1893 ; (АГ) АГ ; Ag ; XF+ ; 35 ; SSK ; 26293 
 66 ; 20 копеек ; 1893 ; СПБ АГ ; Ag ; AU ; 25 ; Участник № 133 ; 2700 
 67 ; Полтина ; 1896 ; ( * ) ; Ag ; XF- ; 10 ; verunk1 ; 4000 
 68 ; Рубль ; 1898 ; (АГ) На открытие памятника Александру II ; Ag ; AU ; 93 ; ВАЛЕР ; 146000 
 69 ; 1/4 копейки ; 1899 ; СПБ ; Cu ; Unc/AU ; 26 ; zuza ; 931 
 70 ; 10 копеек ; 1903 ; СПБ АР ; Ag ; AU ; 14 ; ZOLTAN333 ; 2550 
 71 ; Рубль ; 1912 ; (ЭБ) На открытие памятника Александру III ; Ag ; VF ; 26 ; RICH ; 123420 
 72 ; Рубль ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ; AU ; 74 ; 28 ; 69360 
 73 ; Рубль ; 1914 ; (ВС) ; Ag ; XF+ ; 46 ; Участник № 1974 ; 34000 
 74 ; 20 копеек. Надчеканка ; 1922 ; Николо-Павдиевский кооператив (Екатеринбург, 1922 г.) ;  ; XF ; 32 ; Участник № 133 ; 7000 
 75 ; 50 копеек ; 1922 ; Вторая государственная шорно-футлярная и чемоданная фабрика (Петроград) ; Al ; AU/XF ; 11 ; строитель ; 15001 
 76 ; 5 копеек ; 1922 ; Вторая государственная шорно-футлярная и чемоданная фабрика (Петроград) ;  ; XF+ ; 11 ; Участник № 114 ; 7500 
 1 ; Рубль (Петров-5р) ; 1720 ; OK ; Ag ; VF+ ; 56 ; Участник № 51 ; 62000 
 2 ; Рубль ; 1723 ;  ; Ag ; VF-XF ; 10 ; DennisG ; 21000 
 3 ; Рубль ; 1725 ; ОК ; Ag ; XF+ ; 31 ; armadavls ; 35789 
 4 ; Полтина (Петров-4р) ; 1725 ;  ; Ag ; VF-XF ; 32 ; _kit ; 44000 
 5 ; Рубль (Петров-3р, Ильин-3р) ; 1725 ; СПБ ; Ag ; VF+ ; 31 ; Участник № 51 ; 42000 
 6 ; 5 копеек ; 1725 ; МД Дата снизу вверх ; Cu ; VF ; 23 ; Участник № 1556 ; 2200 
 7 ; Рубль (Петров-3,5р, Ильин-3р) ; 1726 ;  ; Ag ; VF+ ; 30 ; _kit ; 35857 
 8 ; Рубль (Петров-3р) ; 1727 ;  ; Ag ; VF+ ; 40 ; leo 2 ; 36720 
 9 ; Рубль ; 1727 ;  ; Ag ; XF+ ; 53 ; 439 ; 82000 
 10 ; Рубль (ПЕРТЪ) (Петров - 15 р.) ; 1728 ;  ; Ag ; VF-XF ; 35 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 78030 
 11 ; Копейка ; 1728 ;  ; Cu ; VF+ ; 20 ; coinlover ; 4533 
 12 ; Рубль ; 1729 ;  ; Ag ; VF-XF ; 44 ; Участник № 1 ; 62000 
 13 ; Рубль (Ильин-4 р) ; 1730 ;  ; Ag ; XF- ; 52 ; RICH ; 52000 
 14 ; Рубль (Петров-3,5р, Ильин-3р) ; 1731 ;  ; Ag ; XF- ; 22 ; Участник № 520 ; 48000 
 15 ; Рубль ; 1735 ;  ; Ag ; VF+ ; 18 ; Участник № 147 ; 11000 
 16 ; Рубль ; 1740 ; СПБ ; Ag ; XF ; 35 ; Участник № 1460 ; 36000 
 17 ; Рубль (Петров - 6 р.) ; 1742 ; ММД ; Ag ; VF+ ; 33 ; Участник № 2 ; 34000 
 18 ; Рубль ; 1743 ; СПБ ; Ag ; VF+ ; 32 ; Участник № 523 ; 13000 
 19 ; Рубль ; 1762 ; СПБ НК ; Ag ; VF- ; 23 ; Mike! ; 17226 
 20 ; 5 копеек ; 1763 ; ЕМ ; Cu ; VF+ ; 7 ; SSK ; 429 
 21 ; 5 копеек ; 1767 ; ЕМ ; Cu ; VF+ ; 7 ; Участник № 1556 ; 550 
 22 ; 5 копеек ; 1769 ; ЕМ ; Cu ; VF+ ; 34 ; vvt ; 716 
 23 ; 5 копеек ; 1771 ; ЕМ ; Cu ; VF+ ; 16 ; taa ; 357 
 24 ; Гривенник ; 1772 ; СПБ TI ; Ag ; VF-XF ; 24 ; serg2010 ; 3162 
 25 ; 5 копеек ; 1772 ; ЕМ ; Cu ; VF+ ; 19 ; VGS ; 512 
 26 ; Копейка ; 1776 ; КМ "Сибирь" ; Cu ; VF ; 10 ; Участник № 66 ; 600 
 27 ; 5 копеек ; 1778 ; КМ "Сибирь" ; Cu ; VF-XF ; 42 ; Участник № 392 ; 6000 
 28 ; 2 копейки ; 1779 ; КМ "Сибирь" ; Cu ; VF+ ; 32 ; Участник № 1556 ; 2400 
 29 ; Копейка ; 1779 ; КМ "Сибирь" ; Cu ; VF ; 15 ; Участник № 66 ; 750 
 30 ; Полуполтинник ; 1781 ; СПБ АГ ; Ag ; VF+ ; 19 ; serg2010 ; 4386 
 31 ; 5 копеек ; 1783 ; КМ ; Cu ; VF-XF ; 17 ; Участник № 11 ; 3200 
