 101 ; 1 марка ; 1908 ; L Финляндия ; Ag ; VF-XF ; 6 ; Продано в зале ; 1100 
 102 ; 1 марка ; 1915 ; S Финляндия ; Ag ; AU ; 9 ; Продано в зале ; 850 
 103 ; 5 копеек ; 1723 ; Дата снизу вверх ; Cu ; VF ; 15 ; _kit ; 4533 
 104 ; 5 копеек ; 1729 ; МД Хвост широкий ; Cu ; VF ; 7 ; volod ; 2000 
 105 ; 5 копеек ; 1761 ;  ; Cu ; VF+ ; 61 ; Продано в зале ; 5500 
 106 ; 5 копеек ; 1766 ; ЕМ ; Cu ; VF+ ; 13 ; Продано в зале ; 800 
 107 ; 5 копеек ; 1784 ; КМ ; Cu ; XF- ; 15 ; igors1969 ; 2193 
 108 ; 5 копеек (Петров-2р, Ильин-1р) ; 1805 ; КМ ; Cu ; XF+ ; 21 ; Продано в зале ; 19500 
 109 ; 5 копеек ; 1912 ; СПБ ; Cu ; VF-XF ; 17 ; pmaster ; 2221 
 110 ; 4 копейки ; 1762 ;  ; Cu ; VF+ ; 15 ; Горюн ; 17125 
 111 ; 3 копейки ; 1844 ; ЕМ ; Cu ; VF+ ; 30 ; taa ; 1129 
 112 ; 2 копейки ; 1762 ;  ; Cu ; VF ; 37 ; Горюн ; 15249 
 113 ; Копейка ; 1789? ; ЕМ ; Cu ; VF+ ; 13 ; Продано в зале ; 1400 
 114 ; 2 копейки ; 1802 ; ЕМ ; Cu ; VF-XF ; 16 ; Продано в зале ; 9000 
 115 ; 2 копейки ; 1866 ; ЕМ ; Cu ; XF- ; 27 ; Продано в зале ; 3200 
 116 ; Копейка ; 1713 ; М Д ; Cu ; VF+ ; 3 ; Kariotakis ; 1400 
 117 ; Копейка ; 1714 ; НД ; Cu ; VF ; 7 ; olga88 ; 1173 
 118 ; Копейка ; 1898 ; СПБ ; Cu ; XF/AU ; 8 ; Эфес ; 1200 
 119 ; Денга ; 1783 ; КМ ; Cu ; VF ; 17 ; Продано в зале ; 1100 
 120 ; Денга ; 1785 ; КМ ; Cu ; VF ; 7 ; Продано в зале ; 800 
 121 ; Денежка ; 1851 ; ЕМ ; Cu ; XF ; 27 ; кве ; 1326 
 122 ; Денежка ; 1855 ; ЕМ ; Cu ; VF+ ; 19 ; ksv11 ; 650 
 123 ; 1/2 копейки ; 1869 ; ЕМ ; Cu ; XF+ ; 15 ; нумизмат ; 3200 
 124 ; 1/2 копейки ; 1892 ; СПБ ; Cu ; AU ; 18 ; Продано в зале ; 1300 
 125 ; 1/2 копейки ; 1895 ; СПБ ; Cu ; AU/XF ; 16 ; lelic ; 2148 
 126 ; 1/2 копейки ; 1910 ; СПБ ; Cu ; AU ; 9 ; Эфес ; 1019 
 127 ; Полушка ; 1741 ; Орёл 1730 г. ; Cu ; VF+ ; 8 ; Продано в зале ; 5000 
 128 ; Полушка ; 1768 ; КМ "Сибирь" ; Cu ; VF+ ; 17 ; zuza ; 1173 
 129 ; Полушка ; 1775 ; КМ "Сибирь" ; Cu ; VF ; 11 ; Sky2 ; 663 
 130 ; Полушка (Ильин-3р) ; 1784 ; КМ ; Cu ; F-VF ; 17 ; igors1969 ; 1530 
 131 ; Полушка (Петров-2р, Ильин-3р) ; 1799 ; КМ ; Cu ; VF ; 20 ; Продано в зале ; 2600 
 132 ; 1/4 копейки ; 1876 ; СПБ ; Cu ; XF- ; 13 ; igors1969 ; 2091 
 133 ; 1/4 копейки ; 1881 ; СПБ ; Cu ; AU/XF ; 16 ; verunk1 ; 8772 
 134 ; 1/4 копейки ; 1886 ; СПБ ; Cu ; XF+ ; 13 ; igors1969 ; 1870 
 135 ; 1/4 копейки ; 1896 ; СПБ ; Cu ; AU ; 28 ; Sky2 ; 1134 
 136 ; Рубль ; 1922 ; (АГ) ; Ag ; AU/XF ; 27 ; Продано в зале ; 15000 
 137 ; 5 копеек ; 1934 ;  ; Br ; VF ; 15 ; нумизмат ; 3400 
 138 ; 20 копеек ; 1922 ; Николо-Павдиевский кооператив (Екатеринбург, 1922 г.) ;  ; VF+ ; 11 ; диди ; 5100 
 139 ; Георгиевский крест IV ст. №654186. Р-ры: 34 на 34мм ; 1914-1915 ;  ; Ag ; XF ; 21 ; Продано в зале ; 9500 
 140 ; Георгиевский крест IV ст. №280659 ; 1916 ;  ; б.м. ; XF- ; 34 ; Продано в зале ; 10000 
 141 ; Георгиевский крест IV ст. №283009 ; 1916 ;  ; б.м. ; XF- ; 22 ; Продано в зале ; 13000 
 142 ; Георгиевская медаль IV степени №652930 ;  ;  ; Ag ; VF+ ; 25 ; аптекаръ ; 2496 
 143 ; Медаль "За усердие". D-30мм ;  ;  ; Ag ; VF ; 16 ; Продано в зале ; 2200 
 144 ; Медаль "За усердие". D-30мм ;  ;  ; Б/м ; VF-XF ; 50 ; Продано в зале ; 2900 
