 101 ; 1/4 копейки ; 1872 ; ЕМ ; Cu ; XF ; 25 ; Продано в зале ; 3200 
 102 ; 1/4 копейки ; 1876 ; СПБ ; Cu ; VF-XF ; 19 ; Продано в зале ; 2600 
 103 ; 1/4 копейки ; 1877 ; СПБ ; Cu ; XF ; 11 ; Продано в зале ; 2800 
 104 ; 1/4 копейки (Ильин-2р) ; 1879 ; СПБ ; Cu ; XF- ; 21 ; Продано в зале ; 8000 
 105 ; 1/4 копейки (Петров-1р) ; 1881 ; СПБ ; Cu ; XF+ ; 25 ; андрей&ка ; 6500 
 106 ; 1/4 копейки ; 1886 ; СПБ ; Cu ; XF+ ; 19 ; messerer ; 2142 
 107 ; 1/4 копейки (Ильин-3р) ; 1889 ; СПБ ; Cu ; VF+ ; 21 ; Продано в зале ; 11000 
 108 ; 1/4 копейки ; 1891 ; СПБ ; Cu ; XF- ; 35 ; нумизмат ; 5500 
 109 ; 1/4 копейки ; 1892 ; СПБ ; Cu ; XF- ; 27 ; messerer ; 2142 
 110 ; 1/4 копейки ; 1915 ;  ; Cu ; AU ; 38 ; андрей&ка ; 6120 
 111 ; Георгиевский крест IV ст. № 717619. Р-ры: 34х34мм ; 1914-1915 ;  ; Ag ; XF ; 16 ; Продано в зале ; 11800 
 112 ; Георгиевская медаль 4 степени №55056. D-28мм ;  ;  ; Ag ; VF-XF ; 17 ; инга ; 11322 
 113 ; Должностной знак D-42мм ;  ;  ; Б/м ; VF+ ; 22 ; Продано в зале ; 5000 
 114 ; Жетон. Антон Григорьевич Рубинштейн (1829-1894). D-25мм ;  ;  ; Ag ; VF-XF ; 11 ; Продано в зале ; 2000 
 115 ; Жетон. Имп. Александр I и Наполеон. Р-ры: 30х25мм ;  ;  ; Br ; XF+ ; 19 ; 67 ; 1845 
 116 ; Жетон. Генерал адъютант  А.А. Брусилов. Слава Союзникам (1914-1915-1916). Р-ры: 33х27мм ;  ;  ; Br ; AU ; 29 ; vvг ; 5072 
 117 ; Жетон. В память посещения России французским президентом в 1897г. Р-ры: 32х25мм ;  ;  ; Br ; XF- ; 11 ; Продано в зале ; 1800 
 118 ; Жетон. 50 лет Коньяк Шустова (1863-1913). Р--ры: 28х20мм ;  ;  ; Br ; XF+ ; 11 ; 67 ; 2600 
 119 ; Жетон. На помощь воинам Второй Отечественной войны (1914-1915). Р-ры: 35х20 ;  ;  ; Br ; AU/XF ; 5 ; Продано в зале ; 2000 
 120 ; 50 копеек ; 1922 ; Вторая государственная шорно-футлярная и чемоданная фабрика (Петроград) ; Al ; XF+ ; 28 ; Урса ; 10200 
 121 ; Жетон. 50 копеек. Ресторан "Метрополь". Р-ры: 33х33мм ;  ;  ; Br ; VF-XF ; 25 ; sotnik ; 3002 
