 101 ; Медаль "300 лет Дому Романовых 1613-1913гг". Частная мастерская. D-28мм ;  ;  ; Br ; AU ; 37 ; ddv tv ; 6528 
 102 ; Медаль Елизавета. Медальер Тимофей Иванов. D-64мм ;  ;  ; Cu ; XF+ ; 28 ; Продано в зале ; 19000 
 103 ; Медаль на коронацию Екатерины II. Медальер Тимофей Иванов. D-65мм ;  ;  ; Cu ; XF ; 35 ; валенок ; 22106 
 104 ; Медаль "В память коронования Императора Александра I". D-66мм ;  ;  ; Cu ; XF+ ; 8 ; Anat-tall ; 10552 
 105 ; Медаль в память освобождения крестьян от крепостной зависимости, 19 февраля 1861 г.  Медальер Н.А.Козин, лицевая сторона по эскизу графа Ф.П.Толстого. D-68,5мм ;  ;  ; Cu ; XF+ ; 33 ; gelo ; 7046 
 106 ; Медаль "В память открытия первого и второго Ладожского канала". Медальер П. Брусницын.  D-68 мм ;  ;  ; Cu ; XF+ ; 49 ; 222211 ; 6742 
 107 ; Медаль "В память 100-летия Горного института 1873". D-79мм ;  ;  ; Cu ; AU ; 54 ; Продано в зале ; 15000 
 108 ; Медаль "На смерть Александра II 1881г"  Медальеры В. Алексеев, А. Грилихес. D-77мм ;  ;  ; Cu ; AU ; 20 ; Начальник ; 11046 
 109 ; Медаль "В память сооружения памятника императору Александру II Санкт-Петербургским биржевым купечеством". D-77мм ;  ;  ; Cu ; AU ; 16 ; вист ; 11226 
 110 ; Медаль "На смерть Александра III 1894г"   Медальер П. Стадницкий. На л/с на рукаве подпись: "ПС", на о/с над обрезом: "П. СТАДНИЦКIЙ". D-81,5 мм ;  ;  ; Cu ; AU ; 35 ; валенок ; 18005 
 111 ; Медаль "В память открытия памятника Александру II в Гельсингфорсе. 1894". Медальер А. Грилихес-сын. D-69мм ;  ;  ; Cu ; AU ; 12 ; gelo ; 5667 
 112 ; Медаль "50-летие Финляндского общества художеств. 1896". Медальеры Е. Викстрем и Х. Ян. D-47,4мм ;  ;  ; Cu ; AU ; 30 ; gelo ; 3528 
 113 ; Знак Отличник советской торговли СССР. Коробка, удостоверение ;  ;  ; Ж/м,эмаль ; AU ; 39 ; Продано в зале ; 3200 
 51 ; 5 копеек ; 1793 ; КМ ; Cu ; VF-XF ; 5 ; Папа любит ; 1734 
 52 ; 5 копеек ; 1794 ; КМ ; Cu ; VF-XF ; 28 ; taa ; 2607 
 53 ; 5 копеек ; 1794 ; ЕМ ; Cu ; VF-XF ; 37 ; CU77 ; 2100 
 54 ; 5 копеек ; 1795 ; КМ ; Cu ; VF-XF ; 15 ; Продано в зале ; 2400 
 55 ; 5 копеек (Петров-2р) ; 1802 ; КМ ; Cu ; XF- ; 14 ; Продано в зале ; 22000 
 56 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF ; 11 ; dav_79_2010 ; 2716 
 57 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF- ; 29 ; gri.59 ; 3400 
 58 ; 5 копеек ; 1805 ; КМ ; Cu ; VF+ ; 49 ; Продано в зале ; 5200 
 59 ; 5 копеек ; 1807 ; ЕМ ; Cu ; XF- ; 27 ; Папа любит ; 2360 
 60 ; 5 копеек (Петров-7р, Ильин-5р) ; 1810 ; КМ ; Cu ; XF- ; 43 ; Папа любит ; 21987 
 61 ; 5 копеек. В капсуле NGC ; 1869 ; ЕМ ; Cu ; AU55 ; 26 ; Папа любит ; 4590 
 62 ; 5 копеек ; 1911 ; СПБ ; Cu ; AU ; 29 ; Папа любит ; 3564 
 63 ; 4 копейки ; 1762 ;  ; Cu ; VF ; 40 ; привет227 ; 26067 
 64 ; 3 копейки ; 1840 ; СПМ ; Cu ; VF-XF ; 25 ; ravs ; 2550 
 65 ; 3 копейки ; 1841 ; СПМ ; Cu ; VF-XF ; 21 ; Overshtaq ; 2605 
 66 ; 3 копейки ; 1855 ; ЕМ ; Cu ; XF- ; 38 ; нумизмат ; 3723 
 67 ; 3 копейки ; 1908 ; СПБ ; Cu ; Unc/AU ; 34 ; каламбурчик ; 5792 
 68 ; 2 копейки ; 1788 ; ММ ; Cu ; VF+ ; 25 ; vero ; 1813 
 69 ; 2 копейки (Петров-1р) ; 1797 ;  ; Cu ; VF-XF ; 27 ; ZOLTAN333 ; 13182 
 70 ; 2 копейки ; 1797 ; КМ ; Cu ; XF- ; 10 ; seimens ; 1007 
 71 ; 2 копейки ; 1798 ; КМ ; Cu ; VF-XF ; 15 ; seimens ; 1325 
 72 ; 2 копейки ; 1799 ; КМ ; Cu ; VF-XF ; 18 ; seimens ; 1532 
 73 ; 2 копейки ; 1802 ; ЕМ ; Cu ; XF- ; 46 ; 222211 ; 10555 
 74 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; VF-XF ; 5 ; seimens ; 1122 
 75 ; 2 копейки ; 1812 ; ЕМ НМ ; Cu ; XF ; 5 ; seimens ; 1122 
 76 ; 2 копейки ; 1841 ; СПМ ; Cu ; VF-XF ; 22 ; seimens ; 1022 
