 101 ; 5 копеек ; 1804 ; ЕМ ; Cu ; XF+ ; 23 ; Продано в зале ; 5200 
 102 ; 5 копеек (Петров-2р, Ильин-1р) ; 1804 ; КМ ; Cu ; VF+ ; 25 ; Продано в зале ; 8500 
 103 ; 5 копеек ; 1806 ; ЕМ ; Cu ; VF-XF ; 29 ; Продано в зале ; 4200 
 104 ; 5 копеек ; 1807 ; ЕМ ; Cu ; VF-XF ; 19 ; Продано в зале ; 2600 
 105 ; 5 копеек ; 1807 ; КМ ; Cu ; XF- ; 20 ; igors1969 ; 14021 
 106 ; 5 копеек (Ильин - 3 р.) ; 1808 ; ЕМ ; Cu ; VF-XF ; 9 ; Продано в зале ; 9500 
 107 ; 5 копеек ; 1809 ; ЕМ ; Cu ; VF-XF ; 56 ; icebreaker ; 5780 
 108 ; 5 копеек ; 1809 ; КМ ; Cu ; VF+ ; 17 ; igors1969 ; 5276 
 109 ; 5 копеек ; 1916 ;  ; Cu ; XF ; 88 ; ct200h ; 31355 
 110 ; 2 копейки ; 1797 ; ЕМ ; Cu ; XF- ; 21 ; 439 ; 1511 
 111 ; 2 копейки ; 1840 ; ЕМ ; Cu ; XF ; 29 ; Продано в зале ; 4200 
 112 ; 2 копейки ; 1896 ; СПБ ; Cu ; AU ; 42 ; 222211 ; 8500 
 113 ; Копейка (Ильин - 5р, Петров - 10р) ; 1811 ; ЕМ НМ ; Cu ; F-VF ; 13 ; Костян 92 ; 2154 
 114 ; Копейка ; 1829 ; ЕМ ИК ; Cu ; VF+ ; 33 ; electra ; 507 
 115 ; Копейка ; 1893 ; СПБ ; Cu ; AU ; 78 ; Продано в зале ; 4800 
 116 ; Копейка ; 1906 ; СПБ ; Cu ; XF+ ; 2 ; Продано в зале ; 170 
 117 ; Денга. Брак чеканки ; 1736 ;  ; Cu ; VF ; 36 ; WCN ; 2002 
 118 ; Денежка. Брак чеканки ; 1855 ; ЕМ ; Cu ; VF-XF ; 13 ; Продано в зале ; 2100 
 119 ; 1/2 копейки ; 1878 ; СПБ ; Cu ; AU ; 13 ; Продано в зале ; 4200 
 120 ; 1/2 копейки ; 1885 ; СПБ ; Cu ; AU ; 11 ; Продано в зале ; 3800 
 121 ; Полушка ; 1791 ; КМ ; Cu ; VF+ ; 9 ; Продано в зале ; 4000 
 122 ; 1/4 копейки ; 1868 ; ЕМ ; Cu ; AU ; 55 ; Продано в зале ; 15000 
 123 ; 1/4 копейки ; 1869 ; ЕМ ; Cu ; AU ; 55 ; Продано в зале ; 16000 
 124 ; 1/4 копейки ; 1870 ; ЕМ ; Cu ; AU ; 49 ; Продано в зале ; 13000 
 125 ; Жетон на заключение мира со Швецией 3 августа 1790г. D-21мм ;  ;  ; Ag ; XF- ; 21 ; Lisik ; 9000 
