 101 ; Медаль.  На открытие памятника Александру III. D - 78mm ;  ;  ; Cu ; XF+ ; 35 ; Продано в зале ; 22000 
 102 ; Знак артиста императорских театров. Размер: 34х36мм. М - 13,28г ;  ;  ; Ag,золочение ; XF ; 124 ; verunk1 ; 36425 
 103 ; Знак 50 лет Земских учреждений 1864-1914. ;  ;  ; ж/м ; XF ; 101 ; Продано в зале ; 21000 
 104 ; Знак красного креста 1877-1878 ;  ;  ; Ag,эмаль ; XF ; 44 ; Продано в зале ; 15500 
 105 ; Жетон 19 февраля 1861-1911гг. Р-ры: 20 на 29мм ;  ;  ; Ag ; XF- ; 35 ; Продано в зале ; 10500 
 51 ; Гривенник. В капсуле ННР. XF det. ; 1747 ;  ; Ag ;  ; 44 ; il468 ; 5600 
 52 ; 10 копеек ; 1802 ; СПБ АИ ; Ag ; VF-XF ; 17 ; 67 ; 30600 
 53 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 14 ; Продано в зале ; 1200 
 54 ; 10 копеек ; 1863 ; СПБ АБ ; Ag ; XF+ ; 17 ; птичкин ; 1530 
 55 ; 10 копеек ; 1877 ; СПБ HI ; Ag ; AU ; 9 ; каламбурчик ; 2383 
 56 ; 10 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 14 ; pilot2371 ; 2652 
 57 ; 10 копеек ; 1896 ; СПБ АГ ; Ag ; AU ; 54 ; verunk1 ; 24970 
 58 ; 10 копеек. В капсуле NGC. UNC ; 1901 ; СПБ ФЗ ; Ag ;  ; 23 ; Т439ТТ ; 3572 
 59 ; 5 копеек ; 1757 ; СПБ ; Ag ; VF+ ; 20 ; Sky2 ; 2123 
 60 ; 5 копеек ; 1758 ; СПБ ; Ag ; VF-XF ; 40 ; taa ; 3018 
 61 ; 5 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 24 ; мтт ; 3709 
 62 ; 5 копеек ; 1870 ; СПБ HI ; Ag ; AU ; 23 ; xert8 ; 5106 
 63 ; 5 копеек ; 1872 ; СПБ HI ; Ag ; AU ; 54 ; verunk1 ; 27115 
 64 ; 5 копеек ; 1873 ; СПБ HI ; Ag ; AU ; 22 ; verunk1 ; 15555 
 65 ; 5 копеек ; 1874 ; СПБ HI ; Ag ; AU ; 21 ; verunk1 ; 15777 
 66 ; 5 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 13 ; мтт ; 6128 
 67 ; 5 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 24 ; мтт ; 3739 
 68 ; 5 копеек ; 1881 ; СПБ НФ ; Ag ; AU ; 34 ; Хаа ; 9000 
 69 ; 5 копеек ; 1887 ; СПБ АГ ; Ag ; AU ; 23 ; drtr ; 1890 
 70 ; 5 копеек ; 1890 ; СПБ АГ ; Ag ; AU ; 23 ; bratss ; 989 
 71 ; 5 копеек. В капсуле ННР. MS61 ; 1905 ; СПБ АР ; Ag ;  ; 24 ; Продано в зале ; 1150 
 72 ; 5 копеек ; 1908 ; СПБ ЭБ ; Ag ; AU ; 22 ; ЛАВ-13 ; 2222 
 73 ; Рубль ; 1922 ; (АГ) ; Ag ; XF+ ; 34 ; Виль ; 26355 
 74 ; Рубль ; 1922 ; (ПЛ) ; Ag ; XF+ ; 28 ; Виль ; 28000 
 75 ; Рубль. В капсуле ННР. MS61 ; 1924 ; (ПЛ) ; Ag ;  ; 24 ; Sky2 ; 2720 
 76 ; 10 копеек ; 1769 ; КМ "Сибирь" ; Cu ; VF+ ; 100 ; нумизмат ; 13000 
 77 ; 5 копеек ; 1760 ;  ; Cu ; VF+ ; 22 ; slonn ; 1800 
 78 ; 5 копеек ; 1763 ; СПМ ; Cu ; VF ; 10 ; $$$ ; 1593 
 79 ; 5 копеек ; 1773 ; КМ "Сибирь" ; Cu ; VF-XF ; 28 ; Илья Владимирович ; 4284 
 80 ; 5 копеек ; 1794 ; ЕМ ; Cu ; VF-XF ; 9 ; Продано в зале ; 1200 
 81 ; 5 копеек ; 1795 ; КМ ; Cu ; XF- ; 11 ; (78да) ; 3672 
 82 ; 5 копеек. В капсуле NGC. AU 58 BN ; 1804 ; ЕМ ; Cu ;  ; 36 ; Sky2 ; 6063 
 83 ; 5 копеек (Петров - 3р, Ильин - 2р) ; 1807 ; КМ ; Cu ; VF-XF ; 32 ; амарок ; 7001 
 84 ; 2 копейки. В капсуле NNR. MS 63 RD ; 1909 ; СПБ ; Cu ;  ; 37 ; verunk1 ; 3600 
 85 ; Копейка ; 1843 ; СМ ; Cu ; VF ; 13 ; drtr ; 443 
 86 ; Копейка ; 1875 ; ЕМ ; Cu ; XF+/XF- ; 64 ; verunk1 ; 6946 
 87 ; Копейка ; 1912 ; СПБ ; Cu ; AU ; 25 ; Продано в зале ; 1150 
 88 ; Полушка. Цифра "7" в дате развёрнута ; 1720 ;  ; Cu ; VF- ; 38 ; Продано в зале ; 6000 
 89 ; 1/4 копейки ; 1877 ; СПБ ; Cu ; AU ; 27 ; Продано в зале ; 2800 
 90 ; 1/4 копейки ; 1892 ; СПБ ; Cu ; AU ; 59 ; ЛАВ-13 ; 3224 
 91 ; 1/4 копейки ; 1899 ; СПБ ; Cu ; AU ; 40 ; Продано в зале ; 2100 
 92 ; 1/4 копейки ; 1900 ; СПБ ; Cu ; AU ; 37 ; коррозия ; 2039 
 93 ; 10 пенни. В капсуле ННР. MS61RD ; 1917 ; Финляндия. Орёл ; Cu ;  ; 33 ; Sky2 ; 707 
 94 ; 3 копейки. В капсуле ННР AU58RD ; 1924 ; Гурт гладкий ; Cu ;  ; 33 ; papinazu ; 3003 
 95 ; 3 копейки ; 1934 ; Тувинская Народная Республика ;  ; VF+ ; 53 ; коррозия ; 8108 
 96 ; Георгиевский крест 4 степени № 559932. Р-ры: 34 на 34мм ;  ;  ; Ag ; XF- ; 29 ; arsenich-s ; 13830 
 97 ; Георгиевский крест. 4 степени №948125 Р-ры: 34 на 41мм ;  ;  ; Ag ; VF+ ; 27 ; lastfast ; 10608 
 98 ; Медаль. Елизавета I. Устав Московского университета 1755 года. Медальер Кучкин. D - 79mm ; 1855 ;  ; Cu ; XF+ ; 53 ; Продано в зале ; 36000 
 99 ; Медаль. На открытие памятника Николаю I. Александр II. D - 85mm ; 1859 ;  ; Cu ; XF+ ; 48 ; Продано в зале ; 32000 
 100 ; Медаль. В память 500-летия руской артиллерии. Александр III. D - 92mm ; 1889 ;  ; Cu ; XF+ ; 42 ; Продано в зале ; 22000 
 1 ; 5 рублей. М - 6,51г ; 1862 ; СПБ ПФ ; Au ; AU ; 21 ; Виль ; 115000 
 2 ; Один червонец. М - 8,6г ; 1923 ; (ПЛ) ; Au ; AU ; 28 ; Виль ; 198745 
 3 ; Рубль. VF35 ; 1718 ; L OK ; Ag ;  ; 69 ; 8128 ; 95634 
 4 ; Рубль ; 1724 ;  ; Ag ; VF ; 82 ; Продано в зале ; 21000 
 5 ; Рубль ; 1724 ;  ; Ag ; VF-/VF ; 17 ; Виль ; 23970 
 6 ; Рубль ; 1729 ;  ; Ag ; VF-XF ; 59 ; Продано в зале ; 68000 
 7 ; Рубль ; 1729 ;  ; Ag ; VF-XF ; 73 ; Продано в зале ; 71000 
 8 ; Рубль ; 1732 ;  ; Ag ; VF+ ; 33 ; Продано в зале ; 13000 
 9 ; Рубль ; 1733 ;  ; Ag ; VF+/XF- ; 39 ; Виль ; 23561 
 10 ; Рубль ; 1751 ; ММД ; Ag ; VF-XF ; 63 ; arsenich-s ; 31684 
 11 ; Рубль ; 1762 ; СПБ НК ; Ag ; F-VF ; 19 ; форсаж ; 27030 
 12 ; Рубль ; 1762 ; ММД ДМ TI ; Ag ; VF- ; 13 ; Продано в зале ; 10000 
 13 ; Рубль ; 1762 ; СПБ НК TI ; Ag ; VF+ ; 20 ; Продано в зале ; 11000 
 14 ; Рубль ; 1764 ; СПБ СА TI ; Ag ; VF-XF ; 41 ; ☆₽S ; 14280 
 15 ; Рубль ; 1765 ; ММД EI TI ; Ag ; VF/VF+ ; 37 ; Виль ; 24635 
 16 ; Рубль ; 1765 ; СПБ СА TI ; Ag ; XF- ; 39 ; ацетон ; 19332 
 17 ; Рубль ; 1775 ; СПБ QЛ TИ ; Ag ; XF+ ; 41 ; goleff ; 25500 
 18 ; Рубль. В капсуле ННР. XF40 ; 1808 ; СПБ МК ; Ag ;  ; 49 ; DAndy-2003 ; 34000 
 19 ; Рубль ; 1831 ; СПБ НГ ; Ag ; XF- ; 37 ; вадим ; 10311 
 20 ; Рубль. Цифра "2" в весе открытая ; 1831 ; СПБ НГ ; Ag ; VF-XF ; 33 ; нумизмат ; 21516 
 21 ; Рубль ; 1836 ; СПБ НГ ; Ag ; XF ; 43 ; нумизмат ; 9894 
 22 ; Рубль ; 1841 ; СПБ НГ ; Ag ; XF+ ; 25 ; Продано в зале ; 9500 
 23 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; XF- ; 20 ; bratss ; 8160 
 24 ; Рубль ; 1848 ; СПБ HI ; Ag ; XF ; 23 ; swoon ; 14790 
 25 ; Рубль (Петров - 4 руб) ; 1852 ; СПБ HI ; Ag ; XF+ ; 46 ; Продано в зале ; 66000 
 26 ; Рубль ; 1856 ; СПБ ФБ ; Ag ; XF+ ; 30 ; verunk1 ; 26010 
 27 ; Рубль. В капсуле ННР. XF det ; 1868 ; СПБ HI ; Ag ;  ; 36 ; swoon ; 17340 
 28 ; Рубль. (Брак гуртчения) ; 1877 ; СПБ НФ ; Ag ; XF- ; 10 ; Продано в зале ; 10500 
 29 ; Рубль ; 1885 ; СПБ АГ ; Ag ; XF ; 39 ; Виль ; 34000 
 30 ; Рубль ; 1892 ; (АГ) ; Ag ; VF-XF ; 50 ; хр2774 ; 15390 
