 101 ; Медаль За Русско-Турецкую войну 1877-1878гг. D-26мм ;  ;  ; Br ; VF-XF ; 33 ; Sky2 ; 3558 
 102 ; Жетон. За труды по первой всеобщей переписи населения. D - 30mm ; 1897 ;  ; ж/м ; XF- ; 28 ; Продано в зале ; 2400 
 103 ; Медаль За Русско-Японскую войну 1904-1905гг. D-28мм ;  ;  ; Cu ; XF- ; 37 ; icebreaker ; 2600 
 104 ; Медаль. Великий Князь Святослав Ярославович. D - 38mm ;  ;  ; б/м ; VF-XF ; 9 ; Продано в зале ; 1000 
 105 ; Медаль. Памятник Александру I на Дворцовой площади. Медальер Уткин. D - 50mm ;  ;  ; Cu ; VF-XF ; 57 ; Продано в зале ; 7800 
 106 ; Медаль. В память открытия памятника Александру II в Гельсингфорсе. 29 апреля 1894 г.Медалеьр Грилихес. D - 68mm. Коробка ;  ;  ; Cu ; Au ; 30 ; dsidorov ; 6262 
 107 ; Знак. III всероссийский съезд рыбопромышленников в Санкт-Петербурге ; 1910 ;  ; латунь, серебрение ; XF- ; 29 ; валенок ; 9500 
 108 ; Рубль. В капсуле ННР. AU Details ; 1779 ; "Для дворцового обихода" ; Au ;  ; 42 ; lupus47 ; 27001 
 51 ; 10 копеек ; 1868 ; СПБ HI ; Ag ; AU ; 15 ; TaraskaPeter ; 2040 
 52 ; 10 копеек. В капсуле NGC Unc Details ; 1874 ; СПБ HI ; Ag ;  ; 29 ; max96 ; 7578 
 53 ; 10 копеек. В капсуле PCGS. MS64 ; 1885 ; СПБ АГ ; Ag ;  ; 34 ; TaraskaPeter ; 8610 
 54 ; 10 копеек. В капсуле PCGS MS 62 ; 1887 ; СПБ АГ ; Ag ;  ; 17 ; max96 ; 7641 
 55 ; 10 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 22 ; TaraskaPeter ; 3000 
 56 ; 10 копеек. В капсуле PCGS MS 66 ; 1902 ; СПБ АР ; Ag ;  ; 18 ; Druja ; 6122 
 57 ; 10 копеек. В капсуле PCGS Unc Details ; 1903 ; СПБ АР ; Ag ;  ; 25 ; dsidorov ; 4011 
 58 ; 10 копеек ; 1904 ; СПБ АР ; Ag ; AU ; 22 ; tisa66 ; 5610 
 59 ; 10 копеек ; 1907 ; СПБ ЭБ ; Ag ; AU ; 41 ; Продано в зале ; 2800 
 60 ; 10 копеек. В капсуле NGC MS 66 ; 1916 ;  ; Ag ;  ; 13 ; dsidorov ; 4090 
 61 ; 5 копеек ; 1755 ; СПБ ; Ag ; VF+ ; 84 ; Продано в зале ; 7200 
 62 ; 5 копеек ; 1823 ; СПБ ПД ; Ag ; XF+ ; 33 ; Банк ; 5667 
 63 ; 5 копеек ; 1830 ; СПБ НГ ; Ag ; XF+ ; 20 ; Продано в зале ; 6400 
 64 ; 5 копеек ; 1853 ; СПБ HI ; Ag ; AU ; 37 ; slando ; 3581 
 65 ; 5 копеек ; 1855 ; СПБ HI ; Ag ; AU ; 23 ; slando ; 3583 
 66 ; 5 копеек. В капсуле NGC. UNC Details ; 1871 ; СПБ HI ; Ag ;  ; 12 ; TaraskaPeter ; 3570 
 67 ; 5 копеек ; 1872 ; СПБ HI ; Ag ; AU ; 18 ; TaraskaPeter ; 12750 
 68 ; 5 копеек ; 1873 ; СПБ HI ; Ag ; AU ; 24 ; slando ; 4182 
 69 ; 5 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 47 ; аlеx ; 8283 
 70 ; 5 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 23 ; TaraskaPeter ; 5667 
 71 ; 5 копеек ; 1883 ; СПБ АГ ; Ag ; AU ; 46 ; cr4068 ; 12342 
 72 ; 5 копеек ; 1888 ; СПБ АГ ; Ag ; AU ; 46 ; аlеx ; 3251 
 73 ; 5 копеек. В капсуле NGC. MS65 ; 1905 ; СПБ АР ; Ag ;  ; 69 ; dsidorov ; 3366 
 74 ; Алтын ; 1704 ; БК ; Ag ; VF-XF ; 64 ; lupus47 ; 8877 
 75 ; 10 копеек ; 1833 ; ЕМ ФХ ; Cu ; VF-XF ; 21 ; evgenijzhuk ; 17177 
 76 ; 5 копеек ; 1787 ; КМ ; Cu ; VF-XF ; 27 ; Продано в зале ; 2600 
 77 ; 5 копеек ; 1788 ; ММ ; Cu ; VF+ ; 20 ; max96 ; 2361 
 78 ; 5 копеек ; 1789 ; КМ ; Cu ; VF-XF ; 11 ; Продано в зале ; 2800 
 79 ; 5 копеек ; 1790 ; АМ ; Cu ; VF-XF/VF+ ; 23 ; lsp25 ; 1199 
 80 ; 5 копеек ; 1790 ; КМ ; Cu ; VF-XF ; 37 ; Sky2 ; 3865 
 81 ; 5 копеек ; 1791 ; ЕМ ; Cu ; VF-XF ; 37 ; аlеx ; 1019 
 82 ; 5 копеек (Петров - 15 руб, Ильин - 10 руб) ; 1791 ; Павл.перечекан ; Cu ; VF- ; 65 ; водкой надо ; 63392 
 83 ; 5 копеек ; 1792 ; ЕМ ; Cu ; VF-XF ; 20 ; Druja ; 793 
 84 ; 5 копеек (Ильин - 20 руб) ; 1795 ; АМ Павл.перечекан ; Cu ; VF ; 44 ; Продано в зале ; 36000 
 85 ; 5 копеек ; 1796 ; АМ ; Cu ; XF- ; 87 ; electra ; 2836 
 86 ; 5 копеек ; 1806 ; КМ ; Cu ; VF+ ; 39 ; Продано в зале ; 6400 
 87 ; 5 копеек. Новодел ; 1834 ; ЕМ Новодел ; Cu ; AU ; 38 ; Продано в зале ; 36000 
 88 ; 2 копейки ; 1769 ; КМ "Сибирь" ; Cu ; VF ; 21 ; Продано в зале ; 7200 
 89 ; 2 копейки. В капсуле ННР. Сертификат. AU53BN ; 1798 ; КМ ; Cu ;  ; 32 ; il468 ; 1664 
 90 ; 2 копейки ; 1810 ; ИМ МК ; Cu ; VF ; 23 ; Продано в зале ; 5200 
 91 ; 2 копейки ; 1841 ; СМ ; Cu ; VF ; 50 ; Sky2 ; 1400 
 92 ; Копейка (Петров - 10 руб, Ильин - 10 руб) ; 1811 ; КМ ПБ ; Cu ; VG ; 100 ; 651703 ; 13926 
 93 ; Копейка ; 1846 ; СМ ; Cu ; VF+ ; 22 ; Продано в зале ; 1300 
 94 ; Полушка (Ильин - 3 руб) ; 1805 ; КМ ; Cu ; VG ; 23 ; $$$ ; 6500 
 95 ; Лот снят ;  ;  ;  ;  ; 0 ; Не продан ; 0 
 96 ; Бисти. В капсуле ННР. XF40 ; 1810 ; Грузия ; Cu ; F-VF ; 44 ; Продано в зале ; 8000 
 97 ; Георгиевский крест IV степени № 163093 ;  ;  ; Ag ; VF-XF ; 33 ; icebreaker ; 22446 
 98 ; Медаль За Крымскую войну 1853-1856гг. D-28мм ;  ;  ; Br ; XF- ; 24 ; pt ; 3703 
 99 ; Медаль За Крымскую войну 1853-1856гг. D-28мм ;  ;  ; Cu ; XF ; 34 ; Sky2 ; 4435 
 100 ; Наперсный крест для духовенства в память Крымской войны 1853–1856 гг. ;  ;  ; Cu ; VF-XF ; 55 ; Продано в зале ; 12000 
 1 ; 5 рублей. В капсуле ННР. AU Details ; 1847 ; СПБ АГ ; Au ;  ; 56 ; lupus47 ; 37146 
 2 ; 5 рублей. М - 6,53г ; 1848 ; СПБ АГ ; Au ; AU ; 58 ; 439 ; 48710 
 3 ; 5 рублей. М - 6,52г ; 1863 ; СПБ МИ ; Au ; XF+ ; 30 ; Вот я Вам уже! ; 49614 
 4 ; 5 рублей. В капсуле ННР. AU53. сертификат ; 1889 ; (АГ) Борода короче ; Au ;  ; 29 ; direct-Grand ; 30171 
 5 ; 5 рублей. В капсуле ННР. Сертификат. MS65 ; 1903 ; (АР) ; Au ;  ; 24 ; zima ; 14355 
 6 ; Гривна новгородская. М - 198,16г. Длина 125мм ;  ;  ; Ag ;  ; 68 ; Продано в зале ; 23000 
 7 ; Полтина новгородская. М - 97,56г. Длина 65мм ;  ;  ; Ag ;  ; 36 ; oleko ; 12250 
 8 ; Рубль ; 1733 ;  ; Ag ; XF ; 47 ; Продано в зале ; 40000 
 9 ; Рубль ; 1733 ;  ; Ag ; VF-XF ; 20 ; Продано в зале ; 22000 
 10 ; Рубль ; 1735 ;  ; Ag ; XF ; 60 ; habibbulin ; 37455 
 11 ; Рубль ; 1768 ; СПБ СА TI ; Ag ; XF- ; 70 ; habibbulin ; 17000 
 12 ; Рубль ; 1792 ; СПБ ЯА TI ; Ag ; XF-/VF- ; 53 ; Продано в зале ; 8000 
 13 ; Рубль ; 1799 ; СМ МБ ; Ag ; VF-XF ; 46 ; papinazu ; 25645 
 14 ; Рубль. Ошибка (28 14/25) ; 1817 ; СПБ ПС ; Ag ; VF ; 30 ; Sky2 ; 3500 
 15 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF ; 12 ; zuza ; 12240 
