 51 ; 5 копеек ; 1819 ; СПБ ПС ; Ag ; VF-XF ; 22 ; ЛАВ-13 ; 3734 
 52 ; 5 копеек ; 1830 ; СПБ НГ ; Ag ; XF ; 20 ; taa ; 3400 
 53 ; 5 копеек ; 1833 ; СПБ НГ ; Ag ; XF ; 27 ; fgd ; 2333 
 54 ; 5 копеек. Капсула ННР ; 1850 ; СПБ ПА ; Ag ;  ; 39 ; sax ; 8000 
 55 ; 5 копеек. Капсула ННР ; 1854 ; СПБ HI ; Ag ;  ; 75 ; Продано в зале ; 13500 
 56 ; 5 копеек ; 1856 ; СПБ ФБ ; Ag ; XF+ ; 33 ; Продано в зале ; 3200 
 57 ; 5 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 59 ; Продано в зале ; 13500 
 58 ; 5 копеек ; 1864 ; СПБ НФ ; Ag ; XF+ ; 40 ; Alex22D ; 4329 
 59 ; 5 копеек. Капсула ННР ; 1876 ; СПБ HI ; Ag ;  ; 36 ; Продано в зале ; 25000 
 60 ; Солид (Петров-6р) ; 1759 ; Для Пруссии ; Ag ; VF ; 25 ; Продано в зале ; 9000 
 61 ; 10 копеек ; 1837 ; ЕМ НА ; Cu ; XF ; 49 ; Продано в зале ; 15000 
 62 ; 5 копеек ; 1778 ; КМ "Сибирь" ; Cu ; VF+ ; 16 ; Продано в зале ; 3400 
 63 ; 5 копеек ; 1779 ; КМ "Сибирь" ; Cu ; VF ; 30 ; Продано в зале ; 3000 
 64 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF ; 18 ; Выпер ; 5610 
 65 ; 5 копеек (Петров-10р, Ильин-20р) ; 1794 ; АМ Павл.перечекан ; Cu ; VF+ ; 122 ; papinazu ; 34359 
 66 ; 5 копеек (Петров-1р) ; 1809 ; ЕМ ; Cu ; VF-XF ; 38 ; Выпер ; 9009 
 67 ; 5 копеек ; 1859 ; ЕМ ; Cu ; VF-XF ; 24 ; ЛАВ-13 ; 3758 
 68 ; 5 копеек ; 1865 ; ЕМ ; Cu ; VF-XF ; 23 ; Продано в зале ; 2800 
 69 ; 5 копеек ; 1879 ; СПБ ; Cu ; XF- ; 23 ; Продано в зале ; 1300 
 70 ; 3 копейки ; 1869 ; ЕМ ; Cu ; VF-XF ; 23 ; sdv75-2010 ; 3400 
 71 ; 2 копейки ; 1765 ; ММ ; Cu ; VF- ; 55 ; Выпер ; 3400 
 72 ; 2 копейки ; 1776 ; ЕМ ; Cu ; VF ; 33 ; Sky2 ; 3200 
 73 ; 2 копейки ; 1797 ;  ; Cu ; VF ; 44 ; Продано в зале ; 8500 
 74 ; 2 копейки ; 1840 ; ЕМ ; Cu ; XF ; 24 ; 464 ; 4500 
 75 ; 2 копейки ; 1873 ; ЕМ ; Cu ; XF- ; 26 ; Продано в зале ; 3000 
