 101 ; Медаль. Наполеон Бонапарт. За строительство 2000 лодок. Франция. D-40мм ;  ;  ; Br ; XF+ ; 22 ; sm-dc ; 5406 
 102 ; Медаль. Наполеон Бонапарт. Родился в Аяччо, 15 августа 1769г. Франция. D-33мм ;  ;  ; Br ; XF ; 15 ; stilspb ; 4000 
 103 ; Медаль. Император Наполеон Бонапарт. Император галлов. Битва под Ваграмом 5 — 6 июля 1809. Франция. D-42мм ;  ;  ; Br ; AU ; 21 ; sm-dc ; 4800 
 104 ; Медаль. Император Наполеон Бонапарт. Император галлов. Регенсбургская битва 1809. Франция. D-42мм ;  ;  ; Br ; AU ; 17 ; sm-dc ; 5500 
 105 ; Медаль. Папа Пий VII. Коронование императора Наполеона I и императрицы Жозефины в соборе Парижской Богоматери 2 декабря 1804 года. Франция. D-41мм ;  ;  ; Br ; XF ; 29 ; sm-dc ; 4800 
 106 ; Медаль. Император Наполеон Бонапарт. Коронация императора Наполеона I в Милане 1805г. Франция. D-40мм ;  ;  ; Br ; AU ; 14 ; sm-dc ; 5250 
 107 ; Медаль. Император Наполеон Бонапарт. Сражение при Лютцене 2 мая 1813г. Франция. D-41мм ;  ;  ; Br ; XF+ ; 30 ; Продано в зале ; 5250 
 108 ; Медаль. Наполеон Бонапарт. В память завоевания Египта. Франция. D-41мм ;  ;  ; Br ; XF+ ; 31 ; sm-dc ; 5500 
 109 ; Медаль. Александр I, император Российской Империи. Визит Александра I в 1814 году. Франция. D-40мм ;  ;  ; Br ; XF- ; 19 ; sm-dc ; 6000 
 110 ; Медаль. Наполеон Бонапарт, Александр I, Франц II. Тильзитский мир. Франция. D-40мм ;  ;  ; Br ; XF ; 23 ; sm-dc ; 6000 
 111 ; Медаль. Император Наполеон Бонапарт. Битва под Аустерлицем. Франция. D-40мм ;  ;  ; Br ; XF+ ; 21 ; sm-dc ; 5750 
 112 ; Медаль. Император Наполеон Бонапарт. Битва при Прейсиш-Эйлау. 7 — 8 февраля 1807. Франция. D-40мм ;  ;  ; Br ; AU ; 25 ; Продано в зале ; 5000 
 113 ; Медаль. Император Наполеон Бонапарт. Бородинское сражение 7 сентября 1812г. Франция. D-40мм ;  ;  ; Br ; AU ; 31 ; Murabaha ; 12000 
 114 ; Медаль. Император Наполеон Бонапарт. Рейнский союз 1806. Франция. D-40мм ;  ;  ; Br ; AU ; 25 ; sm-dc ; 5750 
 115 ; Медаль. Император Наполеон Бонапарт. Рим, Париж. Франция. D-41мм ;  ;  ; Br ; XF- ; 15 ; stilspb ; 4600 
 116 ; Медаль. Император Наполеон Бонапарт. Битва при Йене и Ауэрштедте. Франция. D-40мм ;  ;  ; Br ; XF+ ; 17 ; Продано в зале ; 5000 
 117 ; Медаль. Император Наполеон Бонапарт. В память захвата Вены. Франция. D-42мм ;  ;  ; Br ; XF ; 19 ; sm-dc ; 4444 
 118 ; Медаль. Император Наполеон Бонапарт. В память свадьбы Стефании де Богарне и Карла Баденского. Франция. D-41мм ;  ;  ; Br ; XF+ ; 13 ; sm-dc ; 4200 
 119 ; Медаль. Наполеон Бонапарт. Организация общественного обучения. 1802. Франция. D-40мм ;  ;  ; Br ; AU ; 23 ; sm-dc ; 4444 
 120 ; Медаль. Первый консул Наполеон Бонапарт. Десять лет Французской Республики. Колонна Пьюджет. Франция. D-43мм ;  ;  ; Br ; XF+ ; 15 ; sm-dc ; 4000 
 121 ; Медаль. Наполеон Великий. Во славу Франции. Франция. D-41мм ;  ;  ; Br ; XF- ; 16 ; Ssdd4c ; 3600 
 122 ; Медаль. Император Наполеон Бонапарт. Карл Великий. В память союза с Саксонией. 1806. Франция. D-40мм ;  ;  ; Br ; AU ; 9 ; sm-dc ; 4080 
 123 ; Памятная медаль. Ганновер оккупирован французской армией в июне 1803. Франция. D-41мм ;  ;  ; Br ; XF+ ; 17 ; Продано в зале ; 4600 
 124 ; Памятная медаль. Асперн-Эсслингская битва. Франция. D-40мм ;  ;  ; Br ; XF- ; 7 ; sm-dc ; 3060 
 125 ; Медаль. Присяга английской армии императору Наполеону Бонапарту. Франция. D-41мм ;  ;  ; Br ; XF ; 13 ; sm-dc ; 4400 
